Model,Task,Accuracy,Stderr
.,bigbench_analogical_similarity_multiple_choice,0.309598,0.025765
.,bigbench_analogical_similarity_multiple_choice,0.309598,0.025765
.,bigbench_analytic_entailment_multiple_choice,0.428571,0.059576
.,bigbench_analytic_entailment_multiple_choice,0.428571,0.059576
.,bigbench_causal_judgment_multiple_choice,0.542105,0.036240
.,bigbench_causal_judgment_multiple_choice,0.542105,0.036240
.,bigbench_cause_and_effect_multiple_choice,0.816993,0.031363
.,bigbench_cause_and_effect_multiple_choice,0.816993,0.031363
.,bigbench_common_morpheme_multiple_choice,0.600000,0.069985
.,bigbench_common_morpheme_multiple_choice,0.600000,0.069985
.,bigbench_conceptual_combinations_multiple_choice,0.757282,0.042450
.,bigbench_conceptual_combinations_multiple_choice,0.757282,0.042450
.,bigbench_logical_deduction_multiple_choice,0.394000,0.012621
.,bigbench_logical_deduction_multiple_choice,0.394000,0.012621
.,bigbench_logical_sequence_multiple_choice,0.769231,0.068348
.,bigbench_logical_sequence_multiple_choice,0.769231,0.068348
.,bigbench_odd_one_out_multiple_choice,0.790698,0.044125
.,bigbench_odd_one_out_multiple_choice,0.790698,0.044125
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_analogical_similarity_multiple_choice,0.352941,0.026631
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_analogical_similarity_multiple_choice,0.352941,0.026631
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_analytic_entailment_multiple_choice,0.428571,0.059576
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_analytic_entailment_multiple_choice,0.428571,0.059576
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_causal_judgment_multiple_choice,0.626316,0.035190
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_causal_judgment_multiple_choice,0.626316,0.035190
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_cause_and_effect_multiple_choice,0.882353,0.026133
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_cause_and_effect_multiple_choice,0.882353,0.026133
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_common_morpheme_multiple_choice,0.520000,0.071371
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_common_morpheme_multiple_choice,0.520000,0.071371
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_conceptual_combinations_multiple_choice,0.844660,0.035866
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_conceptual_combinations_multiple_choice,0.844660,0.035866
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_logical_deduction_multiple_choice,0.340667,0.012241
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_logical_deduction_multiple_choice,0.340667,0.012241
google__gemma-3-12b-it/gemma-12b-results/base_model,bigbench_logical_sequence_multiple_choice,0.923077,0.043227
