family,method,lrs_attempted,safe_2pp,safe_1pp,safe_rel2pp,frac_2pp,fam_top_ret
llama_cs,LoRA+wd,7,7,6,6,1.0,27.56
llama_cs,SC-LoRA,7,2,1,1,0.29,27.56
llama_cs,LoRA,7,4,4,3,0.57,27.56
llama_cs,LoRA-Null,7,5,4,4,0.71,27.56
llama_cs,CLoRA,7,5,4,4,0.71,27.56
llama_cs,DoRA,7,4,4,3,0.57,27.56
llama_cs,MiLoRA,7,5,4,4,0.71,27.56
llama_math,LoRA+wd,6,5,5,5,0.83,33.57
llama_math,LoRA,6,1,0,0,0.17,33.57
llama_math,MiLoRA,6,1,1,1,0.17,33.57
llama_math,CLoRA,1,0,0,0,0.0,33.57
llama_math,SC-LoRA,2,0,0,0,0.0,33.57
llama_math,DoRA,1,0,0,0,0.0,33.57
llama_math,LoRA-Null,2,1,1,1,0.5,33.57
llama_math,PiSSA,1,0,0,0,0.0,33.57
qwen_cs,LoRA+wd,9,0,0,7,0.0,41.03
qwen_cs,SC-LoRA,9,0,0,1,0.0,41.03
qwen_cs,LoRA,9,0,0,0,0.0,41.03
qwen_cs,LoRA-Null,8,0,0,3,0.0,41.03
qwen_cs,CLoRA,7,0,0,3,0.0,41.03
qwen_cs,DoRA,7,0,0,0,0.0,41.03
qwen_cs,MiLoRA,9,0,0,2,0.0,41.03
qwen_math,LoRA+wd,7,7,7,7,1.0,48.19
qwen_math,SC-LoRA,7,3,2,3,0.43,48.19
qwen_math,LoRA,7,5,4,4,0.71,48.19
qwen_math,LoRA(r32),9,4,3,3,0.44,48.19
qwen_math,LoRA-Null,7,4,4,4,0.57,48.19
qwen_math,CLoRA,7,4,2,3,0.57,48.19
qwen_math,DoRA,7,4,1,3,0.57,48.19
qwen_math,MiLoRA,9,5,2,4,0.56,48.19
