method,train_rel_llama,train_rel_qwen,n_runs,trainable_params_M,extra_resident_gb,init_tax,init_class,deploy_delta_rank_factor
LoRA,1.0,1.0,16,28.0,0.0,none,0,1
LoRA+wd,1.0,1.0,18,56.1,0.0,none (free AdamW flag),0,1
CLoRA,1.17,1.17,15,56.1,3.34,k x d covariance/eigh on base weights (fast); frozen-P build,1,1
MiLoRA,1.0,1.0,19,56.1,0.0,160 base-weight SVDs (no forwards),1,2
LoRA-Null,1.0,1.0,14,28.0,0.0,256 calibration forwards + eigh,2,1
SC-LoRA,0.99,1.0,19,56.1,0.0,512 calibration forwards + eigh,2,1
DoRA,2.15,2.15,15,28.9,0.0,none,0,1
PiSSA,,,0,,0.0,160 base-weight SVDs (no forwards),1,2
CorDA,1.0,1.0,19,28.0,0.0,256 calibration forwards + inv/SVD,2,2
CorDA++,,,0,,0.0,"1280 forwards + 5x inv/SVD (~3.5e16 FLOPs, ~22.5 GB transient)",3,2
