family,method,p_on_frontier,n_cells
llama_cs,LoRA+wd,1.0,7
llama_cs,MiLoRA,0.498,7
llama_cs,DoRA,0.301,6
llama_cs,LoRA,0.219,7
llama_cs,CLoRA,0.16,8
llama_cs,SC-LoRA,0.0455,7
llama_cs,LoRA-Null,0.016,7
llama_math,LoRA+wd,1.0,5
llama_math,CLoRA,0.0,3
llama_math,DoRA,0.0,1
llama_math,LoRA,0.0,4
llama_math,LoRA-Null,0.0,2
llama_math,MiLoRA,0.0,4
llama_math,PiSSA,0.0,1
llama_math,SC-LoRA,0.0,2
qwen_cs,LoRA+wd,1.0,9
qwen_cs,CLoRA,0.0915,7
qwen_cs,LoRA-Null,0.007,8
qwen_cs,DoRA,0.0,7
qwen_cs,LoRA,0.0,9
qwen_cs,MiLoRA,0.0,9
qwen_cs,SC-LoRA,0.0,9
qwen_math,SC-LoRA,1.0,7
qwen_math,LoRA+wd,0.5285,7
qwen_math,DoRA,0.0265,7
qwen_math,LoRA,0.0195,7
qwen_math,LoRA-Null,0.018,7
qwen_math,CLoRA,0.0035,7
qwen_math,LoRA(r32),0.0,9
qwen_math,MiLoRA,0.0,9
