family,definition,rank,method,ret
llama_cs,core,1,LoRA+wd,25.86
llama_cs,core,2,SC-LoRA,24.6
llama_cs,core,3,LoRA,23.86
llama_cs,core,4,LoRA-Null,21.76
llama_cs,core,5,CLoRA,21.6
llama_cs,core,6,MiLoRA,21.43
llama_cs,core,7,DoRA,19.15
llama_cs,broad,1,SC-LoRA,33.63
llama_cs,broad,2,LoRA+wd,33.29
llama_cs,broad,3,LoRA,31.78
llama_cs,broad,4,CLoRA,30.15
llama_cs,broad,5,LoRA-Null,29.52
llama_cs,broad,6,MiLoRA,28.79
llama_cs,broad,7,DoRA,27.93
llama_cs,bbh_only,1,SC-LoRA,33.18
llama_cs,bbh_only,2,LoRA+wd,32.59
llama_cs,bbh_only,3,LoRA,32.11
llama_cs,bbh_only,4,LoRA-Null,30.99
llama_cs,bbh_only,5,CLoRA,30.3
llama_cs,bbh_only,6,MiLoRA,30.06
llama_cs,bbh_only,7,DoRA,28.04
llama_math,bbh_only,1,LoRA+wd,33.57
llama_math,bbh_only,2,MiLoRA,32.44
llama_math,bbh_only,3,LoRA,31.29
llama_math,bbh_only,4,LoRA-Null,28.9
llama_math,bbh_only,5,CLoRA,28.63
llama_math,bbh_only,6,DoRA,28.09
llama_math,bbh_only,7,SC-LoRA,27.94
llama_math,bbh_only,8,PiSSA,7.23
llama_math,core,1,LoRA+wd,25.4
llama_math,core,2,MiLoRA,23.97
llama_math,core,3,LoRA,23.02
llama_math,core,4,LoRA-Null,19.01
llama_math,core,5,CLoRA,18.95
llama_math,core,6,DoRA,18.32
llama_math,core,7,SC-LoRA,18.01
llama_math,core,8,PiSSA,3.62
qwen_cs,core,1,LoRA+wd,40.07
qwen_cs,core,2,CLoRA,39.52
qwen_cs,core,3,LoRA-Null,38.95
qwen_cs,core,4,DoRA,38.05
qwen_cs,core,5,LoRA,37.95
qwen_cs,core,6,MiLoRA,36.68
qwen_cs,core,7,SC-LoRA,27.85
qwen_cs,broad,1,CLoRA,49.7
qwen_cs,broad,2,LoRA,48.7
qwen_cs,broad,3,LoRA-Null,47.41
qwen_cs,broad,4,LoRA+wd,46.55
qwen_cs,broad,5,DoRA,46.46
qwen_cs,broad,6,MiLoRA,45.05
qwen_cs,broad,7,SC-LoRA,40.64
qwen_cs,bbh_only,1,LoRA+wd,46.04
qwen_cs,bbh_only,2,CLoRA,45.64
qwen_cs,bbh_only,3,LoRA-Null,44.78
qwen_cs,bbh_only,4,DoRA,44.32
qwen_cs,bbh_only,5,LoRA,43.98
qwen_cs,bbh_only,6,MiLoRA,42.53
qwen_cs,bbh_only,7,SC-LoRA,34.14
qwen_math,bbh_only,1,SC-LoRA,47.71
qwen_math,bbh_only,2,LoRA+wd,47.54
qwen_math,bbh_only,3,MiLoRA,46.16
qwen_math,bbh_only,4,LoRA,46.09
qwen_math,bbh_only,5,DoRA,46.08
qwen_math,bbh_only,6,LoRA-Null,44.76
qwen_math,bbh_only,7,LoRA(r32),41.76
qwen_math,bbh_only,8,CLoRA,39.98
qwen_math,core,1,LoRA+wd,45.19
qwen_math,core,2,DoRA,44.37
qwen_math,core,3,LoRA,43.72
qwen_math,core,4,SC-LoRA,43.14
qwen_math,core,5,MiLoRA,43.08
qwen_math,core,6,LoRA-Null,38.97
qwen_math,core,7,LoRA(r32),36.4
qwen_math,core,8,CLoRA,31.73
