family,method,med_seed_sd_ret,max_seed_sd_ret,med_seed_sd_adapt,n_cells
llama_cs,LoRA+wd,0.32,1.42,15.01,7
llama_cs,SC-LoRA,4.16,5.96,2.85,7
llama_cs,LoRA,0.32,0.66,4.43,7
llama_cs,LoRA-Null,0.5,1.32,10.91,7
llama_cs,CLoRA,0.32,0.41,5.43,8
llama_cs,DoRA,0.28,1.39,10.81,6
llama_cs,MiLoRA,0.49,1.4,6.3,7
llama_math,LoRA+wd,0.73,1.04,0.62,5
llama_math,LoRA,1.16,1.99,0.63,4
llama_math,MiLoRA,0.81,2.5,0.61,4
llama_math,CLoRA,0.66,0.66,0.88,1
llama_math,SC-LoRA,1.97,3.42,0.47,2
llama_math,DoRA,1.07,1.07,0.5,1
llama_math,LoRA-Null,0.63,0.63,0.59,1
llama_math,PiSSA,,,,0
qwen_cs,LoRA+wd,0.46,1.34,0.56,7
qwen_cs,SC-LoRA,7.08,15.96,1.89,7
qwen_cs,LoRA,0.85,4.04,3.81,7
qwen_cs,LoRA-Null,0.81,9.92,0.81,7
qwen_cs,CLoRA,0.85,4.52,1.73,7
qwen_cs,DoRA,5.02,7.27,0.76,3
qwen_cs,MiLoRA,0.41,1.82,0.96,7
qwen_math,LoRA+wd,0.41,1.05,2.09,6
qwen_math,SC-LoRA,0.67,2.44,1.96,7
qwen_math,LoRA,0.82,12.33,4.8,7
qwen_math,LoRA(r32),1.45,9.41,2.74,7
qwen_math,LoRA-Null,0.82,2.9,1.41,7
qwen_math,CLoRA,0.96,3.78,2.26,7
qwen_math,DoRA,0.32,2.12,4.5,5
qwen_math,MiLoRA,1.03,4.2,2.61,7
