calib_on,applied_to,predictor,rmse_raw,rmse_intercept_corrected
lrsw,lrswm,KL,1.5253946067990383,1.5012513889952919
lrsw,lrswm,logF,1.5536481708731888,1.5253460907857848
lrswm,lrsw,KL,4.677389874043204,4.591842461113245
lrswm,lrsw,logF,3.152526904887702,3.1251892552968297
frc,frm,KL,4.104119416292349,4.040156571712782
frc,frm,logF,2.80843146941646,2.7867427427398503
frm,frc,KL,3.5045481661110975,3.5024036247167114
frm,frc,logF,2.5407737712788854,2.4620803628062156
qwsw,qwswm,KL,9.499919918929635,6.713182789804355
qwsw,qwswm,logF,8.067793932622342,8.009658435273943
qwswm,qwsw,KL,11.724845019682434,9.521471760204141
qwswm,qwsw,logF,8.056030850875974,7.750272176606792
