,ret,ret_broad,adapt,logfd,logfro,lspec,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,ce,kl,loglr
ret,1.0,0.9400562306497501,0.2503613407204076,-0.9277961295809787,-0.8303357775366337,-0.8311192306077612,-0.6319828529214333,-0.3954159895167104,-0.4247133471430866,0.17920135525490066,-0.48695213950871596,-0.858250739857384,-0.8586021295284223,-0.5253836449860158
ret_broad,0.9400562306497501,1.0,0.059720239809666814,-0.9007005853492088,-0.8896572676134618,-0.8783865207190809,-0.7874173119854835,-0.5003702443185761,-0.3961590194646285,0.2574909013319094,-0.4541105394547056,-0.7063071945793171,-0.7070084947762801,-0.6594471655583732
adapt,0.2503613407204076,0.059720239809666814,1.0,-0.17973622545285306,0.08716529157727354,-0.0164862289275386,0.22054210368742377,0.2610450950079741,-0.02828032388399964,-0.13404967681019606,-0.0852291929034247,-0.38047931651815703,-0.37946132200326865,0.27552979385003157
logfd,-0.9277961295809787,-0.9007005853492087,-0.17973622545285306,0.9999999999999999,0.9217717367713231,0.9255457276900844,0.5713755249312755,0.32271898030905083,0.3052359030157972,-0.2187073082167338,0.3088456535195658,0.839936516389347,0.8404352190108255,0.6384789274069291
logfro,-0.8303357775366337,-0.8896572676134618,0.08716529157727354,0.9217717367713231,1.0,0.9467933473524345,0.6673684577293872,0.4241742237858471,0.24795436275014243,-0.27292634702445,0.19520925082072113,0.6711953542496821,0.6720334562668867,0.7868254172649067
lspec,-0.8311192306077612,-0.8783865207190809,-0.0164862289275386,0.9255457276900843,0.9467933473524344,0.9999999999999999,0.6165793692984641,0.30905800554893925,0.2188741836761908,-0.26935670959250646,0.13649070466814534,0.6825617246654498,0.6834113626863779,0.7937821781616923
stable_rank_w,-0.6319828529214333,-0.7874173119854836,0.22054210368742377,0.5713755249312755,0.6673684577293871,0.6165793692984641,1.0,0.8213592391524664,0.3829331505821077,-0.06780682662429187,0.45276597869923035,0.33806888188422884,0.3387680889753203,0.6158645294101011
eff_rank_w,-0.3954159895167105,-0.5003702443185761,0.2610450950079742,0.32271898030905083,0.42417422378584707,0.30905800554893925,0.8213592391524664,1.0,0.2891092743047549,0.3422715265741335,0.37457817357110795,0.19857838705225792,0.1990694876501677,0.3276471813898572
e_top_w,-0.4247133471430866,-0.39615901946462845,-0.028280323883999637,0.3052359030157972,0.24795436275014243,0.2188741836761908,0.3829331505821077,0.2891092743047549,1.0,-0.2865000534119705,0.7855886735930372,0.3167042642815732,0.31750173503767715,0.12776241955135006
e_bot_w,0.1792013552549007,0.2574909013319093,-0.13404967681019606,-0.2187073082167338,-0.27292634702445,-0.26935670959250646,-0.06780682662429187,0.3422715265741335,-0.2865000534119705,1.0,-0.1824853158622617,-0.09151024597581389,-0.09174685423057287,-0.32988326829861214
amp_top_w,-0.48695213950871596,-0.4541105394547056,-0.0852291929034247,0.3088456535195657,0.19520925082072113,0.13649070466814534,0.45276597869923035,0.374578173571108,0.7855886735930372,-0.18248531586226166,0.9999999999999999,0.3412670015272982,0.34190932642156685,-0.025218674622288266
ce,-0.858250739857384,-0.706307194579317,-0.38047931651815703,0.8399365163893472,0.6711953542496821,0.6825617246654498,0.33806888188422884,0.19857838705225792,0.31670426428157317,-0.09151024597581389,0.3412670015272982,1.0,0.9998884268479294,0.3960293660977826
kl,-0.8586021295284222,-0.70700849477628,-0.37946132200326865,0.8404352190108254,0.6720334562668867,0.6834113626863779,0.33876808897532024,0.1990694876501677,0.3175017350376771,-0.09174685423057287,0.34190932642156685,0.9998884268479294,1.0,0.3968185563078542
loglr,-0.5253836449860158,-0.6594471655583731,0.27552979385003157,0.638478927406929,0.7868254172649066,0.7937821781616923,0.6158645294101012,0.32764718138985727,0.12776241955135006,-0.3298832682986121,-0.025218674622288266,0.3960293660977826,0.3968185563078541,1.0
