,ret,ret_broad,adapt,logfd,logfro,lspec,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,ce,kl,loglr
ret,1.0,0.9527195708968934,0.8624132535883017,-0.9290146901252209,-0.9116687843930377,-0.8674236747739319,-0.29618899001240667,-0.0745083025646413,-0.2582066422782942,0.07026446293516465,-0.37704246386541856,-0.9018724863305184,-0.9019608777024413,-0.4720594245217451
ret_broad,0.9527195708968934,0.9999999999999998,0.7649401880047929,-0.9028510583292708,-0.946828474713078,-0.8399265994527257,-0.44986218488965807,-0.24070876397363442,-0.23759196663406648,0.12137086926593961,-0.367347390685726,-0.8072368295938573,-0.8072223018532649,-0.4385605933726858
adapt,0.8624132535883017,0.764940188004793,1.0,-0.9245164639385565,-0.7543847993488236,-0.8144735854330835,0.09215268487332244,0.33444962074545204,-0.024769495959808527,-0.10807679365122921,-0.17396132187795008,-0.9372285202644564,-0.9368275382766331,-0.45575043008749055
logfd,-0.9290146901252209,-0.9028510583292708,-0.9245164639385565,1.0,0.9359978142650183,0.9269341881628618,0.19238174663123095,-0.04791266921297607,0.1259572402943108,-0.0011080222963137712,0.23165825074928703,0.9238886078558823,0.9237228390380212,0.5037754710460265
logfro,-0.9116687843930377,-0.946828474713078,-0.7543847993488237,0.9359978142650183,1.0,0.8908632050599746,0.4537642703905859,0.24600721231523395,0.1867600163313288,-0.08229381746044849,0.24896900856332824,0.8173544367072118,0.8174008704392217,0.45783588388692453
lspec,-0.8674236747739318,-0.8399265994527257,-0.8144735854330833,0.9269341881628618,0.8908632050599747,0.9999999999999998,0.23918370137152514,0.011049689642190025,0.26102269519081267,-0.04381852632459796,0.26192387437193576,0.8445614404963737,0.8448277889877868,0.5829867179161479
stable_rank_w,-0.2961889900124066,-0.44986218488965807,0.09215268487332243,0.19238174663123098,0.453764270390586,0.23918370137152514,0.9999999999999999,0.9368061877660803,0.39533464844207,-0.47393540142661517,0.36887123194856997,0.03925395082175499,0.04037119314937231,0.39925435198207987
eff_rank_w,-0.0745083025646413,-0.24070876397363442,0.33444962074545204,-0.04791266921297607,0.24600721231523393,0.011049689642190025,0.9368061877660803,1.0,0.41941160053728754,-0.4990129531560019,0.42073074979597125,-0.19069650019863815,-0.19004860329372075,0.13346968795446523
e_top_w,-0.25820664227829426,-0.23759196663406648,-0.024769495959808527,0.12595724029431082,0.18676001633132877,0.26102269519081267,0.39533464844207006,0.41941160053728754,1.0,-0.3983103951323926,0.6904545797089273,0.1353377047494842,0.1356099669218901,0.2146920131964646
e_bot_w,0.07026446293516465,0.12137086926593961,-0.10807679365122921,-0.0011080222963137712,-0.08229381746044849,-0.043818526324597956,-0.4739354014266151,-0.4990129531560019,-0.39831039513239264,0.9999999999999999,-0.36241274342741275,0.06042303984379299,0.05890709009682257,-0.27425949384918263
amp_top_w,-0.3770424638654186,-0.367347390685726,-0.17396132187795008,0.23165825074928703,0.24896900856332824,0.2619238743719357,0.36887123194856997,0.4207307497959713,0.6904545797089272,-0.3624127434274128,0.9999999999999999,0.2217394390537585,0.22118809020272096,0.027805074527959227
ce,-0.9018724863305184,-0.8072368295938573,-0.9372285202644564,0.9238886078558823,0.8173544367072118,0.8445614404963737,0.039253950821754986,-0.19069650019863815,0.13533770474948417,0.060423039843792985,0.2217394390537585,1.0,0.9999567630512642,0.4536013206924323
kl,-0.9019608777024414,-0.8072223018532649,-0.936827538276633,0.9237228390380212,0.8174008704392216,0.8448277889877868,0.04037119314937231,-0.19004860329372078,0.13560996692189006,0.058907090096822566,0.22118809020272096,0.9999567630512642,1.0,0.45563425046017864
loglr,-0.4720594245217451,-0.4385605933726858,-0.4557504300874905,0.5037754710460264,0.45783588388692453,0.5829867179161478,0.39925435198207987,0.13346968795446523,0.2146920131964646,-0.27425949384918263,0.02780507452795923,0.4536013206924323,0.45563425046017864,1.0
