,ret,ret_broad,adapt,logfd,logfro,lspec,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,ce,kl,loglr
ret,1.0,0.9369153548031559,0.15455828946662767,-0.8862157229621992,-0.8269563077052801,-0.8180700167249016,-0.4203048671193937,-0.20829700798644404,-0.0054843150563648755,0.15009855991620813,-0.1741146246205588,-0.8593809903265033,-0.8593922659023063,-0.7137054516183247
ret_broad,0.9369153548031559,1.0,-0.05235059471917363,-0.8091543574035972,-0.8624720697633403,-0.8235197061393233,-0.6288499763591862,-0.37648858500524557,0.015570573011809254,0.22211247472896373,-0.13304161233288156,-0.7180959751940278,-0.7181541172143785,-0.826503407757436
adapt,0.15455828946662767,-0.052350594719173624,1.0,-0.20305718880325252,-0.014717307175430454,-0.0917257678061239,0.3944798096695105,0.4074965501284498,-0.015265133263072368,-0.10777005907897658,0.049575090347431384,-0.3668214780760001,-0.3671299098751843,0.11624586121489107
logfd,-0.8862157229621993,-0.8091543574035973,-0.20305718880325255,0.9999999999999998,0.9166744997517653,0.9364881909751954,0.167883235456346,-0.021625704116968167,-0.06282570614099368,-0.12891862618071012,0.022349906408261143,0.8740352247753441,0.8743574582505339,0.7468714101489409
logfro,-0.8269563077052802,-0.8624720697633405,-0.014717307175430454,0.9166744997517652,0.9999999999999998,0.9638046913962214,0.3830592073834317,0.1539766975609713,-0.08429001135549102,-0.21510945231693968,-0.08816192781141761,0.7388213266132956,0.7390445222330395,0.9275915647599347
lspec,-0.8180700167249018,-0.8235197061393235,-0.09172576780612392,0.9364881909751954,0.9638046913962214,1.0,0.2448835514099823,-0.013510754990100913,-0.10275499799095583,-0.1676797869533389,-0.12188507014498466,0.7933290246841485,0.7937651053529704,0.8692388813319197
stable_rank_w,-0.4203048671193937,-0.6288499763591862,0.3944798096695105,0.167883235456346,0.38305920738343174,0.24488355140998228,1.0,0.8833626379333764,0.07478351693157494,-0.24603977640539743,0.23193350281979536,0.06564742124130545,0.06600473006935742,0.5484030747954093
eff_rank_w,-0.20829700798644404,-0.37648858500524557,0.4074965501284498,-0.021625704116968167,0.1539766975609713,-0.013510754990100913,0.8833626379333765,0.9999999999999998,0.15129333873012443,-0.21755522048668133,0.467199681496562,-0.08696771592959908,-0.08709137365056632,0.2822800048657467
e_top_w,-0.0054843150563648755,0.015570573011809254,-0.015265133263072366,-0.06282570614099368,-0.08429001135549102,-0.10275499799095583,0.07478351693157494,0.1512933387301244,0.9999999999999998,-0.29662085824831697,0.6612451938631986,0.014808805009432057,0.01605146320337144,-0.09310072929970561
e_bot_w,0.15009855991620816,0.22211247472896373,-0.10777005907897658,-0.1289186261807101,-0.21510945231693968,-0.1676797869533389,-0.24603977640539743,-0.21755522048668133,-0.29662085824831697,1.0,-0.24765092978281697,-0.07532508076228689,-0.07563655536930705,-0.2201042154809108
amp_top_w,-0.1741146246205588,-0.13304161233288156,0.049575090347431384,0.022349906408261143,-0.08816192781141761,-0.12188507014498465,0.23193350281979538,0.467199681496562,0.6612451938631986,-0.24765092978281694,1.0,0.10991205857538067,0.10980538999085845,-0.1930532475076805
ce,-0.8593809903265033,-0.7180959751940278,-0.3668214780760001,0.8740352247753441,0.7388213266132956,0.7933290246841485,0.06564742124130545,-0.08696771592959908,0.014808805009432057,-0.07532508076228689,0.10991205857538068,1.0,0.9999124384166044,0.5803168740727245
kl,-0.8593922659023063,-0.7181541172143785,-0.3671299098751843,0.8743574582505338,0.7390445222330395,0.7937651053529703,0.06600473006935742,-0.08709137365056632,0.01605146320337144,-0.07563655536930705,0.10980538999085845,0.9999124384166043,1.0,0.5803281455617342
loglr,-0.7137054516183248,-0.826503407757436,0.11624586121489107,0.7468714101489408,0.9275915647599349,0.8692388813319197,0.5484030747954093,0.2822800048657467,-0.09310072929970561,-0.22010421548091083,-0.19305324750768046,0.5803168740727244,0.5803281455617342,1.0
