,ret,ret_broad,adapt,logfd,logfro,lspec,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,ce,kl,loglr
ret,0.9999999999999999,0.9567186777421215,-0.21859166238029623,-0.8645639168744359,-0.7896929539324128,-0.7554385857048882,-0.8161469829292959,-0.5700651384713276,-0.4720506433933644,0.2550992980474604,-0.19373995594864438,-0.9233296322242267,-0.9250466248132667,-0.7181286909254172
ret_broad,0.9567186777421215,1.0,-0.1438741241596609,-0.9058511964283279,-0.831015387745563,-0.8066670405840947,-0.7799481836295288,-0.5063883261779577,-0.4156070267606049,0.27321768266596097,-0.11533505431942712,-0.9294477179956752,-0.9303694118343339,-0.7511662234390125
adapt,-0.21859166238029626,-0.14387412415966086,1.0,0.05953854192123709,0.38018025724949184,0.11395551527669275,0.48180736293018034,0.6599765945200466,0.4621714213346688,-0.32099981275795003,0.3587788176380181,0.03543850307030849,0.03919482099860869,0.4199432052673053
logfd,-0.8645639168744359,-0.905851196428328,0.05953854192123709,1.0,0.8483321539873829,0.9062221737358658,0.6497331763467945,0.31604657619457593,0.3516051816087596,-0.2419270310057506,0.008637867326695584,0.9060118604949805,0.9050808878557335,0.7729909574375226
logfro,-0.7896929539324129,-0.8310153877455632,0.38018025724949184,0.8483321539873829,1.0,0.9165409792694934,0.7082541737333343,0.48193812291950217,0.2959411090211947,-0.33501804243220623,-0.12088844156257407,0.8098928664136,0.8083144473701724,0.9748638250682828
lspec,-0.7554385857048881,-0.8066670405840946,0.11395551527669275,0.9062221737358658,0.9165409792694934,0.9999999999999999,0.5451293178345132,0.2361685558176939,0.27958105393440674,-0.3305597593902726,-0.17346428663304458,0.8484364976937705,0.8453475431466844,0.8646095068715204
stable_rank_w,-0.8161469829292958,-0.7799481836295288,0.4818073629301803,0.6497331763467944,0.7082541737333342,0.5451293178345132,1.0,0.8951994717658893,0.584911330196205,-0.28386032344271556,0.3770164793739232,0.7331951299124181,0.7346230496883025,0.7080499375511894
eff_rank_w,-0.5700651384713276,-0.5063883261779577,0.6599765945200466,0.31604657619457593,0.4819381229195022,0.2361685558176939,0.8951994717658892,1.0,0.6604946872040534,-0.2307478090591488,0.5769491029251881,0.44299142086737525,0.44631944740269236,0.48800842120275556
e_top_w,-0.47205064339336444,-0.41560702676060485,0.4621714213346688,0.3516051816087596,0.2959411090211947,0.27958105393440674,0.5849113301962049,0.6604946872040534,1.0,-0.41622580548142823,0.8602364744836526,0.39825833115622067,0.40258815014982946,0.20059405429592767
e_bot_w,0.2550992980474604,0.2732176826659609,-0.32099981275795003,-0.2419270310057506,-0.33501804243220623,-0.33055975939027266,-0.28386032344271556,-0.23074780905914877,-0.4162258054814283,1.0,-0.18764340820570932,-0.22387061922943607,-0.22396974663346536,-0.283977916081264
amp_top_w,-0.19373995594864435,-0.11533505431942712,0.35877881763801805,0.008637867326695584,-0.12088844156257407,-0.17346428663304458,0.37701647937392313,0.5769491029251881,0.8602364744836527,-0.18764340820570935,0.9999999999999998,0.06284790334244472,0.06845604289565005,-0.2158559780904841
ce,-0.9233296322242266,-0.9294477179956752,0.03543850307030849,0.9060118604949805,0.8098928664136,0.8484364976937705,0.733195129912418,0.44299142086737525,0.39825833115622067,-0.22387061922943607,0.06284790334244472,1.0,0.9991833174554325,0.729853622352289
kl,-0.9250466248132667,-0.9303694118343339,0.03919482099860869,0.9050808878557335,0.8083144473701724,0.8453475431466844,0.7346230496883025,0.44631944740269236,0.40258815014982946,-0.22396974663346536,0.06845604289565006,0.9991833174554325,0.9999999999999999,0.7274406248511942
loglr,-0.7181286909254173,-0.7511662234390125,0.4199432052673053,0.7729909574375226,0.974863825068283,0.8646095068715204,0.7080499375511894,0.4880084212027555,0.20059405429592767,-0.28397791608126405,-0.2158559780904841,0.729853622352289,0.7274406248511943,1.0
