,ret,ret_broad,adapt,logfd,logfro,lspec,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,ce,kl,loglr
ret,0.9999999999999999,0.9672663430156416,0.4900556442743858,-0.8399286841349857,-0.7256534966848135,-0.7913638770830201,-0.5461855396839255,-0.2334574446989846,-0.13940978617830177,0.11385257414297352,-0.16491980469475934,-0.6376873705125602,-0.6370938389172576,-0.6706130602675549
ret_broad,0.9672663430156416,1.0,0.5033962656411531,-0.9172640508906648,-0.8306095042001823,-0.8613541486600885,-0.6635273829396676,-0.3444888303867278,-0.10778734955617977,0.1237721423292128,-0.1663513125457426,-0.6528317913026224,-0.6520931067306303,-0.7748738717907041
adapt,0.4900556442743858,0.5033962656411531,0.9999999999999998,-0.6087195420519875,-0.3892022758210193,-0.5194056760660244,-0.18454539603190243,-0.03975449419769623,-0.06902665936062585,0.023138231337553,-0.05203550146564764,-0.7954671587672807,-0.7949783713177203,-0.3610470852203066
logfd,-0.8399286841349857,-0.9172640508906647,-0.6087195420519876,1.0,0.9020455079625017,0.9098352061909231,0.6482424276694719,0.3570660439838046,0.08914546952861632,-0.08530440460914221,0.12382946041797392,0.8107921013653009,0.8106273352331052,0.8535825739692031
logfro,-0.7256534966848135,-0.8306095042001823,-0.3892022758210193,0.9020455079625017,1.0,0.9344890833719258,0.6894679319664831,0.35941074847318655,0.0048791178662393915,-0.2196700286943919,-0.05187976152873606,0.5141113367099802,0.5139913234459574,0.9701726526765424
lspec,-0.7913638770830201,-0.8613541486600885,-0.5194056760660244,0.9098352061909232,0.9344890833719257,1.0,0.4950790155588605,0.12439240481855215,0.02321462611052879,-0.2275597256300861,-0.10006016092888889,0.681184659278647,0.681072251914094,0.9073409589296314
stable_rank_w,-0.5461855396839255,-0.6635273829396676,-0.18454539603190243,0.6482424276694719,0.6894679319664833,0.49507901555886047,1.0,0.8615190034180524,-0.08456018133822234,0.0037657308125002985,0.1654984843614925,0.18783778213797042,0.18623901298765916,0.666413541649452
eff_rank_w,-0.2334574446989846,-0.3444888303867278,-0.03975449419769623,0.35706604398380454,0.35941074847318655,0.12439240481855214,0.8615190034180524,1.0,-0.12393425160789528,0.19379505403695804,0.3095589370366812,-0.0029172573511074785,-0.004418449050130889,0.3140580076723342
e_top_w,-0.13940978617830177,-0.10778734955617976,-0.06902665936062587,0.08914546952861632,0.0048791178662393915,0.023214626110528793,-0.08456018133822234,-0.12393425160789528,0.9999999999999998,-0.35970008458113856,0.7563497533506841,0.13516491437411116,0.13422285162242312,0.009812436205705604
e_bot_w,0.11385257414297352,0.12377214232921281,0.023138231337553,-0.08530440460914221,-0.2196700286943919,-0.2275597256300861,0.0037657308125002985,0.19379505403695801,-0.35970008458113856,1.0,-0.26826656765387036,0.03139919473621738,0.03376094669406731,-0.19636411077758378
amp_top_w,-0.16491980469475934,-0.1663513125457426,-0.05203550146564765,0.12382946041797392,-0.05187976152873606,-0.10006016092888889,0.1654984843614925,0.3095589370366812,0.7563497533506841,-0.26826656765387036,0.9999999999999998,0.07601610579872417,0.07378854580414175,-0.1346375290391515
ce,-0.6376873705125602,-0.6528317913026223,-0.7954671587672808,0.810792101365301,0.5141113367099802,0.681184659278647,0.18783778213797042,-0.0029172573511074785,0.13516491437411113,0.03139919473621738,0.07601610579872417,0.9999999999999999,0.9998775549179593,0.49800445757024125
kl,-0.6370938389172577,-0.6520931067306304,-0.7949783713177203,0.8106273352331053,0.5139913234459574,0.681072251914094,0.18623901298765916,-0.0044184490501308895,0.13422285162242312,0.03376094669406731,0.07378854580414175,0.9998775549179593,1.0,0.497895143453697
loglr,-0.6706130602675549,-0.7748738717907042,-0.3610470852203066,0.853582573969203,0.9701726526765424,0.9073409589296314,0.666413541649452,0.3140580076723342,0.009812436205705604,-0.19636411077758378,-0.1346375290391515,0.4980044575702412,0.497895143453697,0.9999999999999998
