,ret,ret_broad,adapt,logfd,logfro,lspec,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,ce,kl,loglr
ret,1.0,0.9885313465265109,0.7054631159992492,-0.8303191219209047,-0.7064340272440843,-0.777905246612024,-0.27713248394421347,-0.017863074172896346,-0.1494150147191573,0.06646399028302448,-0.17107697959593585,-0.7920274142128557,-0.7916502279570434,-0.5548312054663764
ret_broad,0.988531346526511,1.0,0.742922163333149,-0.8480945663549283,-0.7261428773125569,-0.8062758623668256,-0.283543129997213,-0.012118487642541684,-0.13217313021789134,0.05819447876644752,-0.14233538252077577,-0.8092845587106207,-0.8089945244644042,-0.5760413666302335
adapt,0.705463115999249,0.742922163333149,0.9999999999999999,-0.5251315108073428,-0.28824956901609505,-0.5005060542078169,0.18855886010629033,0.2698144526667976,-0.06477423109392143,-0.18345657824989436,0.036584710927789935,-0.7450238089628447,-0.7460794083799412,-0.14254064289841345
logfd,-0.8303191219209046,-0.8480945663549283,-0.5251315108073428,1.0,0.91036981842084,0.9544938758319579,0.37923170385728006,0.07715317728121455,0.08305542525285894,-0.04054174751872733,0.12151863560985612,0.8290994277840206,0.8286756029752603,0.7869988797678639
logfro,-0.7064340272440844,-0.7261428773125569,-0.288249569016095,0.91036981842084,1.0,0.9401573805819303,0.5755624732826709,0.17347302621454902,0.007033945428905625,-0.2035621939890178,0.010486369623359392,0.5755491506216386,0.574696853175416,0.9565044131133048
lspec,-0.777905246612024,-0.8062758623668257,-0.5005060542078169,0.954493875831958,0.9401573805819302,1.0,0.320491901935225,-0.06567986074716017,0.04583942218411419,-0.1825468045047334,-0.029440608073568936,0.7706987484644549,0.7700156527242202,0.8602178073652306
stable_rank_w,-0.2771324839442135,-0.283543129997213,0.18855886010629033,0.37923170385728006,0.5755624732826709,0.320491901935225,1.0,0.8254409481738243,-0.1819891382505196,-0.055943399088571426,0.1300185601193101,-0.0009033108600788752,-0.001348132932737511,0.6063756513444053
eff_rank_w,-0.017863074172896346,-0.012118487642541684,0.2698144526667976,0.07715317728121454,0.17347302621454902,-0.06567986074716019,0.8254409481738243,1.0,-0.2058243272760714,0.22827137981005197,0.2437776666789219,-0.17529107759632126,-0.17496111722801053,0.17089741400676497
e_top_w,-0.14941501471915727,-0.13217313021789134,-0.06477423109392143,0.08305542525285893,0.007033945428905624,0.04583942218411419,-0.1819891382505196,-0.20582432727607142,1.0,-0.4179518809839204,0.7953070621351922,0.1487686034950241,0.1487601995755028,-0.08028338055541949
e_bot_w,0.06646399028302448,0.05819447876644752,-0.18345657824989434,-0.04054174751872733,-0.20356219398901781,-0.1825468045047334,-0.05594339908857143,0.22827137981005197,-0.41795188098392033,1.0,-0.32637173774771716,-0.011002232772027418,-0.009113851109328724,-0.20827382076414924
amp_top_w,-0.17107697959593585,-0.14233538252077577,0.036584710927789935,0.12151863560985611,0.010486369623359392,-0.029440608073568943,0.1300185601193101,0.2437776666789219,0.7953070621351922,-0.3263717377477171,1.0,0.13553749371191973,0.13510427719287968,-0.12419896228878707
ce,-0.7920274142128557,-0.8092845587106207,-0.7450238089628448,0.8290994277840206,0.5755491506216386,0.7706987484644547,-0.0009033108600788754,-0.17529107759632123,0.1487686034950241,-0.011002232772027418,0.13553749371191975,0.9999999999999998,0.9999569504155019,0.42864553167663944
kl,-0.7916502279570433,-0.8089945244644042,-0.7460794083799412,0.8286756029752604,0.574696853175416,0.7700156527242202,-0.001348132932737511,-0.17496111722801055,0.1487601995755028,-0.009113851109328724,0.13510427719287968,0.9999569504155019,1.0,0.42762275411305717
loglr,-0.5548312054663764,-0.5760413666302335,-0.14254064289841342,0.7869988797678638,0.9565044131133049,0.8602178073652305,0.6063756513444052,0.17089741400676497,-0.0802833805554195,-0.20827382076414924,-0.12419896228878709,0.42864553167663944,0.42762275411305717,1.0
