,ret,ret_broad,adapt,logfd,logfro,lspec,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,ce,kl,loglr
ret,1034,1032,1034,1034,1034,1034,1034,1034,1034,1034,1034,911,911,1034
ret_broad,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,909,909,1032
adapt,1034,1032,1034,1034,1034,1034,1034,1034,1034,1034,1034,911,911,1034
logfd,1034,1032,1034,1034,1034,1034,1034,1034,1034,1034,1034,911,911,1034
logfro,1034,1032,1034,1034,1034,1034,1034,1034,1034,1034,1034,911,911,1034
lspec,1034,1032,1034,1034,1034,1034,1034,1034,1034,1034,1034,911,911,1034
stable_rank_w,1034,1032,1034,1034,1034,1034,1034,1034,1034,1034,1034,911,911,1034
eff_rank_w,1034,1032,1034,1034,1034,1034,1034,1034,1034,1034,1034,911,911,1034
e_top_w,1034,1032,1034,1034,1034,1034,1034,1034,1034,1034,1034,911,911,1034
e_bot_w,1034,1032,1034,1034,1034,1034,1034,1034,1034,1034,1034,911,911,1034
amp_top_w,1034,1032,1034,1034,1034,1034,1034,1034,1034,1034,1034,911,911,1034
ce,911,909,911,911,911,911,911,911,911,911,911,911,911,911
kl,911,909,911,911,911,911,911,911,911,911,911,911,911,911
loglr,1034,1032,1034,1034,1034,1034,1034,1034,1034,1034,1034,911,911,1034
