,ret,ret_broad,adapt,logfd,logfro,lspec,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,ce,kl,loglr
ret,1.0,0.9601380545375349,0.31280078340543277,-0.8466328654465954,-0.7533242871096211,-0.7659380811710239,-0.31178661981902983,-0.19774959131688222,0.15708305067708012,0.3327104721202415,-0.18653964922053531,-0.6321729220244963,-0.6475046927498531,-0.5273681552398595
ret_broad,0.9601380545375349,1.0,0.2559615542647305,-0.8053244847072759,-0.7355656726861235,-0.739302745130759,-0.30939102666028245,-0.21723278819557926,0.26142001513106855,0.3915675515473802,-0.14161463203507,-0.47982400702741335,-0.4998686636040449,-0.5186901634907094
adapt,0.3128007834054327,0.2559615542647305,0.9999999999999998,-0.28928939502843304,-0.07034524440478511,-0.1706440701479601,0.12148337021594806,0.15606998470654923,0.1001360526310502,0.0026014362049810646,-0.016119367076572466,-0.40626818937349385,-0.4108517473512454,0.0417636594292554
logfd,-0.8466328654465956,-0.8053244847072758,-0.28928939502843304,1.0,0.9062164060214198,0.9307005613430227,0.3163696691409544,0.17204920232417467,-0.13403471462603161,-0.26304405012064036,0.11729228714910875,0.7930917237574149,0.8029203501482148,0.6727259834718611
logfro,-0.7533242871096211,-0.7355656726861234,-0.07034524440478512,0.9062164060214197,1.0,0.9452768204429063,0.4971396968159112,0.3223247185300532,-0.11598717594777568,-0.32098119751158233,0.006758429469604753,0.6439221891620995,0.6512256175181143,0.8630171452223304
lspec,-0.7659380811710239,-0.7393027451307591,-0.1706440701479601,0.9307005613430227,0.9452768204429063,1.0,0.3862544455332277,0.20804130085236563,-0.12532483154988858,-0.3117225881998328,-0.02033452798735494,0.7120367232301177,0.7200712244740303,0.7973846787256618
stable_rank_w,-0.31178661981902983,-0.30939102666028245,0.12148337021594806,0.3163696691409544,0.4971396968159112,0.3862544455332277,1.0,0.9155433040473301,0.04561206844032326,-0.09925745029290128,0.18781872868111127,0.22270862865207547,0.22272307281136303,0.5023644692514072
eff_rank_w,-0.19774959131688222,-0.21723278819557926,0.15606998470654923,0.17204920232417467,0.3223247185300531,0.20804130085236566,0.9155433040473301,0.9999999999999999,0.013735407702899412,0.0003478262033032409,0.24510093354838472,0.11153642953739644,0.11294887074776812,0.2804963716111193
e_top_w,0.15708305067708012,0.2614200151310685,0.10013605263105022,-0.13403471462603161,-0.11598717594777569,-0.12532483154988855,0.04561206844032326,0.013735407702899412,0.9999999999999998,-0.08686016881910429,0.6241664363143827,0.08900318524444349,0.07744955266937922,-0.0636665983897369
e_bot_w,0.3327104721202415,0.3915675515473802,0.0026014362049810646,-0.26304405012064036,-0.3209811975115824,-0.3117225881998328,-0.09925745029290128,0.0003478262033032409,-0.08686016881910429,0.9999999999999998,-0.219484746375161,-0.07223891210770945,-0.08393265570279577,-0.25468919692497866
amp_top_w,-0.18653964922053531,-0.14161463203506996,-0.016119367076572466,0.11729228714910875,0.006758429469604754,-0.020334527987354935,0.18781872868111127,0.24510093354838472,0.6241664363143827,-0.219484746375161,1.0,0.1642387011267292,0.16555884440502477,-0.13382951699861
ce,-0.6321729220244963,-0.47982400702741324,-0.40626818937349385,0.7930917237574148,0.6439221891620996,0.7120367232301177,0.2227086286520755,0.11153642953739644,0.08900318524444349,-0.07223891210770945,0.16423870112672923,1.0,0.9994893614647664,0.43519889778755005
kl,-0.6475046927498531,-0.49986866360404486,-0.41085174735124536,0.8029203501482148,0.6512256175181143,0.7200712244740304,0.222723072811363,0.11294887074776809,0.07744955266937924,-0.08393265570279577,0.1655588444050248,0.9994893614647663,1.0,0.4381960338319904
loglr,-0.5273681552398596,-0.5186901634907094,0.0417636594292554,0.6727259834718611,0.8630171452223305,0.7973846787256618,0.5023644692514072,0.2804963716111193,-0.0636665983897369,-0.2546891969249786,-0.13382951699861,0.4351988977875501,0.43819603383199046,0.9999999999999999
