,ret,ret_broad,adapt,logfd,logfro,lspec,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,ce,kl,loglr
ret,1.0,0.9633670609281221,0.3877517576638557,-0.8049607719476836,-0.7288138618843003,-0.7336219649709531,-0.41523753268172797,-0.19077042796936908,-0.1667912510445564,0.10546507937123005,-0.22652754410551085,-0.7372720993585996,-0.7372186791608609,-0.5691314548034727
ret_broad,0.9633670609281221,1.0,0.30138234319222124,-0.795227308940603,-0.7762684334610458,-0.7585637596669293,-0.515819471258974,-0.2767069947557837,-0.143288648326281,0.12497429886990567,-0.20159683444333454,-0.642055058403786,-0.6420425430974552,-0.6481489990068948
adapt,0.3877517576638557,0.30138234319222124,1.0,-0.3632193528961157,-0.12373113723648695,-0.2369040686098863,0.18849713749443636,0.28100649668018757,-0.024270094482373324,-0.09860300076198011,0.0002853983145571062,-0.5054031471670875,-0.505038616793845,0.032594661838925454
logfd,-0.8049607719476837,-0.7952273089406031,-0.3632193528961157,1.0,0.8976821256648022,0.9245604191738419,0.3613838228125375,0.12560773513779352,0.08030431247351169,-0.08594116823491686,0.12571227759892808,0.8410215078570348,0.841199650712018,0.6920475440395342
logfro,-0.7288138618843004,-0.7762684334610458,-0.12373113723648695,0.8976821256648022,1.0,0.9343874808442839,0.5414514779349755,0.2861759159205277,0.04220299935104339,-0.20059207190033393,0.011855012848918416,0.651170215572054,0.6513471898876058,0.8807504815752699
lspec,-0.7336219649709532,-0.7585637596669292,-0.2369040686098863,0.9245604191738419,0.9343874808442839,1.0,0.379099625327463,0.09586465059583515,0.04718246258538644,-0.17557242806075612,-0.019734294807647264,0.7283262034139547,0.7286375568158451,0.811235697817369
stable_rank_w,-0.4152375326817279,-0.515819471258974,0.18849713749443636,0.36138382281253745,0.5414514779349755,0.37909962532746294,1.0,0.8679410677406999,0.08947295957593986,-0.07761254259562396,0.27397798781341864,0.15057899877556397,0.15105134770087364,0.5557903244839675
eff_rank_w,-0.19077042796936908,-0.2767069947557837,0.2810064966801876,0.1256077351377935,0.28617591592052777,0.09586465059583515,0.8679410677406999,1.0,0.08573804793993443,0.10335232850410869,0.38148443659593323,-0.017025581009495975,-0.01671334657475861,0.2779499988501651
e_top_w,-0.1667912510445564,-0.14328864832628102,-0.024270094482373328,0.08030431247351169,0.04220299935104339,0.04718246258538645,0.08947295957593986,0.08573804793993443,1.0,-0.34316300556470647,0.7136378242162429,0.12593399691065313,0.12642102347387726,-0.0013027992862966087
e_bot_w,0.10546507937123005,0.12497429886990567,-0.09860300076198013,-0.08594116823491685,-0.20059207190033393,-0.1755724280607561,-0.07761254259562396,0.10335232850410869,-0.34316300556470647,1.0,-0.2337084229583825,-0.032844508038190744,-0.03239633325385029,-0.21131561292308085
amp_top_w,-0.22652754410551085,-0.20159683444333454,0.00028539831455710613,0.12571227759892808,0.011855012848918416,-0.01973429480764726,0.27397798781341864,0.38148443659593323,0.7136378242162428,-0.23370842295838254,1.0,0.17018616588918356,0.1702997131951608,-0.13032398923188473
ce,-0.7372720993585996,-0.642055058403786,-0.5054031471670875,0.8410215078570347,0.651170215572054,0.7283262034139546,0.15057899877556397,-0.01702558100949598,0.12593399691065313,-0.03284450803819075,0.17018616588918356,1.0,0.9999136048005364,0.4236909499634432
kl,-0.7372186791608609,-0.6420425430974552,-0.505038616793845,0.841199650712018,0.6513471898876058,0.7286375568158452,0.15105134770087367,-0.016713346574758613,0.12642102347387726,-0.03239633325385029,0.1702997131951608,0.9999136048005364,1.0,0.42398706435495087
loglr,-0.5691314548034728,-0.6481489990068948,0.032594661838925454,0.6920475440395342,0.88075048157527,0.8112356978173692,0.5557903244839675,0.2779499988501651,-0.0013027992862966087,-0.21131561292308088,-0.13032398923188473,0.4236909499634432,0.42398706435495087,0.9999999999999999
