,ret,ret_broad,adapt,logfd,logfro,lspec,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,ce,kl,loglr
ret,1.0,0.9730700978608097,0.1839722573556652,-0.9228673861549956,-0.8341661376101908,-0.8182881270266421,-0.4033125032577019,-0.29864017637361284,0.04477657101100013,0.4540158893666897,-0.11680773382913018,-0.7918806995447525,-0.8615347014356588,-0.6024372202038025
ret_broad,0.9730700978608098,1.0,0.16475639762964348,-0.9347192878504833,-0.8442618922350521,-0.8421947384542404,-0.4028368912335361,-0.2959244110719687,0.06715885222120346,0.4867664441804594,-0.10868967919808317,-0.7641804272885963,-0.8410087990665961,-0.6290047393321173
adapt,0.1839722573556652,0.16475639762964348,1.0,-0.09599276661685885,-0.006565943297492592,-0.013617860184233463,0.11180044916354641,0.10525398475518633,0.17722498486300448,-0.03169735205455321,-0.051550730836007606,-0.04350383402997137,-0.08298845341756754,0.03561967568225099
logfd,-0.9228673861549956,-0.9347192878504832,-0.09599276661685886,1.0,0.9475683791412608,0.9216423622866252,0.47654870133269683,0.3196313265732276,-0.015718288216753157,-0.4357165059195908,0.06343635747130622,0.8680683115965162,0.9259036239570518,0.7321336266757643
logfro,-0.8341661376101908,-0.8442618922350522,-0.006565943297492591,0.9475683791412608,1.0,0.9491906644620945,0.5686391253775515,0.37648265527666924,0.05044211912159706,-0.3762078779677,-0.04222675085080396,0.9090836636053923,0.9368325954537762,0.834374379995105
lspec,-0.8182881270266421,-0.8421947384542404,-0.013617860184233463,0.9216423622866251,0.9491906644620945,1.0,0.4982473530051844,0.306986107246667,0.039502206940268694,-0.3891721045650428,-0.01526902792430644,0.8080158068083425,0.8515249790811407,0.8286491917414048
stable_rank_w,-0.4033125032577019,-0.4028368912335361,0.11180044916354641,0.47654870133269683,0.5686391253775515,0.4982473530051844,1.0,0.921915309647509,0.25544262109981675,-0.32272453826606184,0.12587071565877123,0.6080984815279682,0.5801032984029244,0.5790457230665373
eff_rank_w,-0.2986401763736129,-0.2959244110719687,0.10525398475518633,0.3196313265732277,0.37648265527666924,0.306986107246667,0.921915309647509,1.0,0.18235879310346514,-0.319423129169943,0.12849897787812545,0.4553421881313885,0.4340312471205049,0.32310597384741024
e_top_w,0.04477657101100013,0.06715885222120345,0.1772249848630045,-0.015718288216753157,0.05044211912159706,0.039502206940268694,0.25544262109981675,0.18235879310346514,1.0,0.06733505119987883,0.7401432595581477,0.14631234269092686,0.08892788312728711,0.14422644099657006
e_bot_w,0.4540158893666897,0.48676644418045933,-0.0316973520545532,-0.4357165059195908,-0.3762078779677,-0.3891721045650428,-0.32272453826606184,-0.319423129169943,0.06733505119987883,1.0,-0.16940166551694893,-0.2653237515054322,-0.3246735708392905,-0.26135910593966555
amp_top_w,-0.11680773382913016,-0.10868967919808317,-0.0515507308360076,0.06343635747130622,-0.04222675085080396,-0.01526902792430644,0.12587071565877123,0.12849897787812545,0.7401432595581477,-0.16940166551694893,1.0,0.003579309524911293,0.010588741409090123,-0.04296992039377614
ce,-0.7918806995447525,-0.7641804272885963,-0.04350383402997137,0.8680683115965162,0.9090836636053923,0.8080158068083424,0.6080984815279681,0.4553421881313885,0.14631234269092686,-0.2653237515054322,0.003579309524911293,1.0,0.9757625736491092,0.6829001976214689
kl,-0.8615347014356588,-0.8410087990665961,-0.08298845341756754,0.9259036239570518,0.9368325954537763,0.8515249790811407,0.5801032984029245,0.43403124712050484,0.08892788312728711,-0.3246735708392905,0.010588741409090122,0.9757625736491092,1.0,0.6954919925429289
loglr,-0.6024372202038025,-0.6290047393321173,0.03561967568225099,0.7321336266757643,0.834374379995105,0.8286491917414048,0.5790457230665372,0.3231059738474102,0.14422644099657006,-0.26135910593966555,-0.04296992039377614,0.682900197621469,0.6954919925429289,1.0
