,ret,ret_broad,adapt,logfd,logfro,lspec,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,ce,kl,loglr
ret,1.0,0.943721693659586,0.09111741662851292,-0.8064913145503705,-0.7607822923986453,-0.6936688609072227,-0.5820284730996557,-0.4171640275732918,-0.15131405512194934,-0.044590245007051915,-0.11689635592202968,-0.7647663064057266,-0.7633814893353393,-0.5892051054380212
ret_broad,0.9437216936595861,1.0,0.04083108354119248,-0.8759909196375083,-0.8387940958489296,-0.7788409707664875,-0.6623899097069139,-0.4883336483037302,-0.17971419327089028,-0.0041657046211250395,-0.1115218722925399,-0.7892972400191568,-0.7888100269614059,-0.6970571650630072
adapt,0.0911174166285129,0.04083108354119248,1.0,-0.029957020481432263,0.005921243161229454,0.005957405802913965,0.1403103143257335,0.18054663987570413,0.0034401157942665177,-0.11499718698829058,-0.04890550071609923,-0.18004350960572096,-0.1797890762386144,0.09607720111140783
logfd,-0.8064913145503704,-0.8759909196375083,-0.029957020481432263,1.0,0.9545881730701884,0.9006093081551841,0.6867260000509725,0.4747015744496184,0.16733876289527208,-0.07688429016389514,0.06336947228268185,0.8731282939876012,0.8731203818861126,0.7847990043457597
logfro,-0.7607822923986454,-0.8387940958489296,0.005921243161229454,0.9545881730701885,1.0,0.9356744258503269,0.6689768499055591,0.4477279289835872,0.14321953817346414,-0.11690923906367509,-0.04528979024872918,0.833833093867954,0.8336761533403709,0.8606828636810675
lspec,-0.6936688609072227,-0.7788409707664875,0.005957405802913965,0.9006093081551841,0.9356744258503269,1.0,0.5715211074438381,0.32759075157681206,0.17830516897866538,-0.11417883386612725,-0.02732799213872556,0.7551623531544938,0.7552023183899765,0.8572173310673535
stable_rank_w,-0.5820284730996557,-0.662389909706914,0.1403103143257335,0.6867260000509725,0.6689768499055591,0.5715211074438381,1.0,0.9088089602706778,0.2070152591430949,-0.14056233744698354,0.13663852786590228,0.5874853031437511,0.5881332065899959,0.6186751806320674
eff_rank_w,-0.4171640275732918,-0.48833364830373016,0.18054663987570413,0.4747015744496185,0.4477279289835872,0.32759075157681206,0.9088089602706778,1.0,0.16467588370369102,-0.06956671143041195,0.14073563361848254,0.44232056870085684,0.4432778138625745,0.3686806316632772
e_top_w,-0.15131405512194934,-0.17971419327089028,0.003440115794266518,0.16733876289527208,0.14321953817346414,0.17830516897866538,0.2070152591430949,0.16467588370369102,1.0,-0.42008886668922546,0.8424147410922905,0.1719761935599523,0.17410430266987018,0.15562557380577047
e_bot_w,-0.044590245007051915,-0.0041657046211250395,-0.11499718698829058,-0.07688429016389514,-0.11690923906367509,-0.11417883386612725,-0.14056233744698354,-0.06956671143041195,-0.42008886668922546,1.0,-0.24039210177379677,-0.2334527567209577,-0.2335230371271205,-0.1410198113648267
amp_top_w,-0.11689635592202971,-0.11152187229253989,-0.04890550071609923,0.06336947228268185,-0.04528979024872918,-0.02732799213872556,0.13663852786590228,0.14073563361848254,0.8424147410922905,-0.24039210177379677,1.0,0.030590808591825686,0.032089266845175136,-0.06072954004368599
ce,-0.7647663064057266,-0.7892972400191569,-0.18004350960572094,0.8731282939876012,0.833833093867954,0.7551623531544938,0.5874853031437511,0.44232056870085684,0.1719761935599523,-0.2334527567209577,0.030590808591825683,0.9999999999999998,0.9984710837356832,0.5952013389701207
kl,-0.7633814893353393,-0.7888100269614059,-0.1797890762386144,0.8731203818861126,0.8336761533403709,0.7552023183899765,0.5881332065899959,0.4432778138625744,0.17410430266987018,-0.2335230371271205,0.032089266845175136,0.9984710837356832,0.9999999999999998,0.5950947378249198
loglr,-0.5892051054380212,-0.6970571650630073,0.09607720111140783,0.7847990043457597,0.8606828636810675,0.8572173310673535,0.6186751806320674,0.3686806316632772,0.15562557380577044,-0.1410198113648267,-0.06072954004368599,0.5952013389701207,0.5950947378249198,1.0
