metric,label,pooled_raw,pooled_partial,spearman_partial,cell_partial,n,lrsw,lrswm,qwsw,qwswm,frc,frm
ret_broad,retention (broad),0.9601380545375349,0.9633670609281221,0.9437216936595861,0.9664780605015375,1032,0.9369153548031559,0.9567186777421215,0.9672663430156416,0.988531346526511,0.9400562306497501,0.9527195708968934
adapt,adaptation,0.3128007834054327,0.3877517576638557,0.0911174166285129,0.4759190586844895,1034,0.15455828946662767,-0.21859166238029626,0.4900556442743858,0.705463115999249,0.2503613407204076,0.8624132535883017
logfd,log10 F_delta,-0.8466328654465956,-0.8049607719476837,-0.8064913145503704,-0.8149546887942671,1034,-0.8862157229621993,-0.8645639168744359,-0.8399286841349857,-0.8303191219209046,-0.9277961295809787,-0.9290146901252209
logfro,log10 ||dW||_F,-0.7533242871096211,-0.7288138618843004,-0.7607822923986454,-0.7625205289594998,1034,-0.8269563077052802,-0.7896929539324129,-0.7256534966848135,-0.7064340272440844,-0.8303357775366337,-0.9116687843930377
lspec,log10 spec_max,-0.7659380811710239,-0.7336219649709532,-0.6936688609072227,-0.7583514626376144,1034,-0.8180700167249018,-0.7554385857048881,-0.7913638770830201,-0.777905246612024,-0.8311192306077612,-0.8674236747739318
stable_rank_w,stable rank,-0.31178661981902983,-0.4152375326817279,-0.5820284730996557,-0.44394438204626563,1034,-0.4203048671193937,-0.8161469829292958,-0.5461855396839255,-0.2771324839442135,-0.6319828529214333,-0.2961889900124066
eff_rank_w,effective rank,-0.19774959131688222,-0.19077042796936908,-0.4171640275732918,-0.18982396796442877,1034,-0.20829700798644404,-0.5700651384713276,-0.2334574446989846,-0.017863074172896346,-0.3954159895167105,-0.0745083025646413
e_top_w,e_top (base top-subspace),0.15708305067708012,-0.1667912510445564,-0.15131405512194934,-0.1329918209038798,1034,-0.0054843150563648755,-0.47205064339336444,-0.13940978617830177,-0.14941501471915727,-0.4247133471430866,-0.25820664227829426
e_bot_w,e_bot,0.3327104721202415,0.10546507937123005,-0.044590245007051915,0.12322522849018387,1034,0.15009855991620816,0.2550992980474604,0.11385257414297352,0.06646399028302448,0.1792013552549007,0.07026446293516465
amp_top_w,amp_top,-0.18653964922053531,-0.22652754410551085,-0.11689635592202971,-0.20631788302477833,1034,-0.1741146246205588,-0.19373995594864435,-0.16491980469475934,-0.17107697959593585,-0.48695213950871596,-0.3770424638654186
ce,CE drift (forgetting_ce),-0.6321729220244963,-0.7372720993585996,-0.7647663064057266,-0.7116724461114582,911,-0.8593809903265033,-0.9233296322242266,-0.6376873705125602,-0.7920274142128557,-0.858250739857384,-0.9018724863305184
kl,KL drift (CE - base H),-0.6475046927498531,-0.7372186791608609,-0.7633814893353393,-0.711461163875843,911,-0.8593922659023063,-0.9250466248132667,-0.6370938389172577,-0.7916502279570433,-0.8586021295284222,-0.9019608777024414
loglr,log10 LR,-0.5273681552398596,-0.5691314548034728,-0.5892051054380212,-0.618030080040218,1034,-0.7137054516183248,-0.7181286909254173,-0.6706130602675549,-0.5548312054663764,-0.5253836449860158,-0.4720594245217451
