scheme,model,r2_oos,rmse,n
leave-cells-out,FE only,0.35072696890309885,7.578981959561655,911
leave-cells-out,magnitude,0.7828724509418012,4.382830309704623,911
leave-cells-out,magnitude+geometry,0.8073412130367642,4.128493470817887,911
leave-cells-out,magnitude+CE,0.7852084458062217,4.35918992940308,911
leave-cells-out,magnitude+geometry+CE,0.8154511390181086,4.0406652798744584,911
leave-cells-out,CE only,0.6997466369365497,5.153961043713233,911
LOFO raw,magnitude,0.6284707873372606,5.733154888498199,911
LOFO intercept-oracle (within-family),magnitude,0.5777158044476425,4.832092658550641,911
LOFO raw,magnitude+geometry,0.6587043867415887,5.494934809894714,911
LOFO intercept-oracle (within-family),magnitude+geometry,0.579784191264995,4.820244114858813,911
LOFO raw,magnitude+CE,0.6119823568184877,5.858992310934964,911
LOFO intercept-oracle (within-family),magnitude+CE,0.557544251590705,4.946155440516488,911
LOFO raw,magnitude+geometry+CE,0.6389190422470188,5.6519652656392,911
LOFO intercept-oracle (within-family),magnitude+geometry+CE,0.5669821247269966,4.893118708852907,911
LOFO raw,CE only,0.27890537555097006,7.987177213868382,911
LOFO intercept-oracle (within-family),CE only,0.4831652460471786,5.34575061367121,911
