rank,metric,label,block,n,dr2_fe,r2_fe,t_cluster,n911_dr2,t911,cell_dr2,lrsw,lrswm,qwsw,qwswm,frc,frm
1,logfd,log10 F_delta,magnitude,1034,0.3953770494843648,0.7851913527232097,-12.127111432757758,0.4197658166639089,-11.959413812077644,0.36953583230961984,0.7853783076254136,0.7474707663612665,0.7054801944327286,0.6894298442275021,0.8608056580654442,0.8630682944684601
2,lspec,log10 spec_max,magnitude,1034,0.3284026665849501,0.718216969823795,-14.94080281153971,0.3486970030974086,-15.779332238281535,0.3199857869347248,0.6692385522642811,0.5706874567718015,0.6262567859518694,0.6051365727065139,0.6907591754860368,0.7524238315583118
3,logfro,log10 ||dW||_F,magnitude,1034,0.32411212010032286,0.7139264233391678,-14.672176326222058,0.3484218701829822,-15.51273927210653,0.32351372617451446,0.68385673485355,0.6236149614905,0.5265729972508967,0.4990490348482958,0.689457503457366,0.831139972436679
4,ce,CE drift (forgetting_ce),CE drift,911,0.33976076650872833,0.7147733164262116,-12.11836443336021,0.33976076650872833,-12.11836443336021,0.2912640453156281,0.7385356865345615,0.8525376097433255,0.4066451825112232,0.6273074248647025,0.736594332465747,0.8133739815999911
5,kl,KL drift (CE - base H),CE drift,911,0.33971153250190755,0.7147240824193908,-12.12257717214478,0.33971153250190755,-12.12257717214478,0.2911919586004682,0.7385550666927004,0.8557112580784166,0.4058885595863287,0.6267100834244387,0.7371976168307415,0.8135334249057584
6,loglr,log10 LR,training knob,1034,0.19764562298820643,0.5874599262270513,-11.164842643425102,0.20683635644726595,-11.501011961508851,0.21252442852480347,0.509375471669717,0.5157088167302536,0.44972187660141516,0.3078376665592724,0.27602797441879184,0.22284010027980117
7,stable_rank_w,stable rank,geometry,1034,0.10520956545972004,0.49502386869856496,-7.170895893206009,0.11584695626765185,-7.332227470355227,0.10965962588884692,0.17665618132425118,0.6660958977445922,0.2983186437598209,0.07680241365708977,0.399402326386714,0.08772791780456951
8,amp_top_w,amp_top,geometry,1034,0.0313115132043027,0.4211258164431476,-4.610267443669651,0.031895508632871494,-4.669880616247592,0.02368445397115948,0.0303159025067581,0.03753517053098265,0.027198541980557565,0.02926733294766825,0.23712238617211598,0.1421610195577055
9,eff_rank_w,effective rank,geometry,1034,0.02220670540281766,0.4120210086416626,-2.8980531825156937,0.025384340845624687,-2.86094747571568,0.020048954288147902,0.043387643536104734,0.32497426210033387,0.054502378485379456,0.0003190894189063965,0.15635380476547928,0.005551487151064134
10,e_top_w,e_top (base top-subspace),geometry,1034,0.016974952027141277,0.4067892552659862,-2.9555743445794715,0.01528267965432295,-2.720659232957678,0.009841005977270445,3.0077711637470466e-05,0.22283180992808932,0.01943508848227982,0.022324846623525983,0.180381427241484,0.06667067011663101
11,e_bot_w,e_bot,geometry,1034,0.0067870240930772985,0.3966013273319222,3.973044323299733,0.007959450632166298,4.6684476436716915,0.008448680659847052,0.02252957768891953,0.06507565186430703,0.012962408638981283,0.0044174620043419726,0.03211312572519312,0.0049370947515671275
