knob,value,lr,fd,ret,adapt,cell
wd,0.0,0.001,5.811015930927799,4.18,38.92333333333334,frc_lorawd_wd0_lr1e3_c256
wd,0.0,0.0001,0.2991993991086067,26.5,79.9725,frc_lorawd_wd0_lr1e4_c256
wd,0.0,0.0002,0.511982357447655,24.345,68.2425,frc_lorawd_wd0_lr2e4_c256
wd,0.0,2e-05,0.22229495301484434,26.599999999999998,20.646666666666665,frc_lorawd_wd0_lr2e5_c256
wd,0.0,0.0003,0.7435362319656041,22.2725,75.2775,frc_lorawd_wd0_lr3e4_c256
wd,0.0,0.0005,1.1529370486462904,17.674,72.822,frc_lorawd_wd0_lr5e4_c256
wd,0.0,0.0007,1.5044183320800248,16.19333333333333,65.17,frc_lorawd_wd0_lr7e4_c256
wd,0.10000000000000002,0.001,0.990711252346661,19.39,73.58333333333333,frc_lorawd_wd0p1_lr1e3_c256
wd,0.1,0.0001,0.2729844894758692,27.04,70.17,frc_lorawd_wd0p1_lr1e4_c256
wd,0.1,0.0002,0.420424607123551,25.53,70.2025,frc_lorawd_wd0p1_lr2e4_c256
wd,0.1,0.0003,0.5526672701378984,24.465,71.6125,frc_lorawd_wd0p1_lr3e4_c256
wd,0.1,0.0005,0.742515641824948,22.105,78.4975,frc_lorawd_wd0p1_lr5e4_c256
wd,0.10000000000000002,0.0007,0.8596323939045131,21.423333333333332,76.50999999999999,frc_lorawd_wd0p1_lr7e4_c256
wd,0.20000000000000004,0.001,0.6369186545886175,23.74,79.36666666666666,frc_lorawd_wd0p2_lr1e3_c256
wd,0.2,0.0001,0.2520721959151095,27.3575,55.465,frc_lorawd_wd0p2_lr1e4_c256
wd,0.2,0.0002,0.35529306986651443,26.362000000000002,71.78200000000001,frc_lorawd_wd0p2_lr2e4_c256
wd,0.20000000000000004,2e-05,0.2165232830931724,26.8,23.093333333333334,frc_lorawd_wd0p2_lr2e5_c256
wd,0.2,0.0003,0.4299917685583714,25.91,79.11,frc_lorawd_wd0p2_lr3e4_c256
wd,0.2,0.0005,0.526849518187754,24.525,75.6575,frc_lorawd_wd0p2_lr5e4_c256
wd,0.20000000000000004,0.0007,0.5903807419991326,23.206666666666667,80.63,frc_lorawd_wd0p2_lr7e4_c256
wd,0.3,0.001,0.45072441207652975,25.5,81.26,frc_lorawd_wd0p3_lr1e3_c256
wd,0.3,0.0001,0.23509243609945735,27.302,60.120000000000005,frc_lorawd_wd0p3_lr1e4_c256
wd,0.3,0.0002,0.3079558058023123,26.7675,63.785,frc_lorawd_wd0p3_lr2e4_c256
wd,0.3,2e-05,0.21449114606386854,26.846666666666664,34.3,frc_lorawd_wd0p3_lr2e5_c256
wd,0.3,0.0003,0.35020184122419196,26.3475,68.64,frc_lorawd_wd0p3_lr3e4_c256
wd,0.3,0.0005,0.4016023978920241,25.942500000000003,81.8575,frc_lorawd_wd0p3_lr5e4_c256
wd,0.3,0.0007,0.43212029356431,25.72666666666667,75.75333333333333,frc_lorawd_wd0p3_lr7e4_c256
wd,0.5,0.001,0.4479602030642822,21.32,66.85000000000001,frc_lorawd_wd0p5_lr1e3_c256
wd,0.5,0.0001,0.2092482468024071,27.877499999999998,68.0875,frc_lorawd_wd0p5_lr1e4_c256
wd,0.5,0.0002,0.24272860868681492,27.33,71.5575,frc_lorawd_wd0p5_lr2e4_c256
wd,0.5,0.0003,0.25745891770523716,25.563333333333333,67.96,frc_lorawd_wd0p5_lr3e4_c256
wd,0.5,0.0005,0.2753546919815189,26.322499999999998,81.125,frc_lorawd_wd0p5_lr5e4_c256
wd,0.5,0.0007,0.28895404275545,26.833333333333332,81.41333333333334,frc_lorawd_wd0p5_lr7e4_c256
clora_k,128.0,0.0003,0.6147576464813276,22.6825,76.835,frc_clora_k128_lr3e4_c256
clora_k,256.0,0.0003,0.5859223702062956,23.30666666666667,78.91333333333334,frc_clora_k256_lr3e4_c256
clora_k,512.0,0.0003,0.5204226966163782,23.31,79.386,frc_clora_k512_lr3e4_c256
clora_k,1024.0,0.0003,0.44849993517873926,24.13,74.875,frc_clora_k1024_lr3e4_c256
clora_k,2048.0,0.0003,0.34652390972160735,25.258,69.384,frc_clora_k2048_lr3e4_c256
rank,8.0,0.0003,0.5163612193347741,24.695,74.3725,frc_lora_r8_lr3e4_c256
rank,16.0,0.0003,0.6026997344103815,23.560000000000002,79.36666666666666,frc_lora_r16_lr3e4_c256
rank,32.0,0.0003,0.7465001922998066,22.130000000000003,77.046,frc_lora_r32_lr3e4_c256
