rn,fam,seed,cell,method,fd,logfd,ret,ret_broad,adapt,adapt_task,bbh,mmlu_pro,mmlu,arc_c,truthfulqa,dw_sv_max,dw_sv_mean,lr,wd,clora_k,rank,quarantined,straggler,in_family,cs_boolq,cs_piqa,cs_social_i_qa,cs_hellaswag,cs_winogrande,cs_ARC_Easy,cs_ARC_Challenge,cs_openbookqa,forgetting_ce,base_entropy,forgetting_kl,fro_total,spec_max,spec_mean,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,ein_top_w,ein_bot_w,amp_top_w,depth_centroid,eff_n_mat,share_q,share_k,share_v,share_up,share_down
qwsw_clora_k1024_lr2e4_s43,qwsw,43.0,qwsw_clora_k1024_lr2e4,clora,0.2146,-0.6683702823700677,39.89,47.62,86.19,cs,44.62,35.17,69.39,42.66,46.27,20.4597,5.2805,0.0002,,1024.0,,False,False,True,74.8,86.45,79.63,94.13,85.95,93.27,84.9,90.4,2.1846737900870177,1.8790178806577968,0.3056559094292208,244.12841866865517,20.465227127075195,5.282269580897368,8.333127814733704,23.180223797449496,0.054090076369458,0.0426062320162017,0.0599970130478553,0.0442945572113831,0.0446828625297474,0.5597856686134729,54.8451024178393,0.040649533729739666,3.3979371244571675e-10,5.895819815526754e-10,0.553663829023903,0.40568663631698143
qwswm_lora_null_r16_lr5e4_s44,qwswm,44.0,qwswm_lora_null_r16_lr5e4,lora_null,0.1775,-0.7508016426088872,40.13,51.45,59.44,gsm8k,42.01,38.25,70.67,52.73,53.6,16.0783,4.9078,0.0005,,,16.0,False,False,True,,,,,,,,,2.0926891530440144,1.9346918347336524,0.157997318310362,215.3761164397996,16.07663345336914,4.908067025031362,10.665637444669729,17.40636052862144,0.1323921466315852,0.0869970913260113,0.0714521932361262,0.0979774049782716,0.0819050060305671,0.5457670853188644,65.67785015424816,0.14753428003117425,0.017649148927613965,0.009378357959260735,0.5390623092346455,0.2863759038473058
frc_lorawd_wd0p1_lr2e4_c256_s43,frc,43.0,frc_lorawd_wd0p1_lr2e4_c256,lorawd,0.4115,-0.3856301604517114,25.92,34.43,38.65,cs,33.42,18.41,43.83,40.44,36.07,27.0828,10.7004,0.0002,0.1,,,False,False,True,72.23,65.83,8.39,56.05,43.09,19.57,18.43,25.6,2.0924865910622445,1.810069211692996,0.2824173793692488,302.03104822650374,27.095577239990234,10.70460266172886,5.022200205687788,16.77746368348651,0.0695277049533851,0.0472621454714351,0.0782719195322538,0.0490177070949337,0.0681609579347306,0.5418582864182281,124.5598983540134,0.13486196445026566,0.14984303255632841,0.09844613587871207,0.3448739522861495,0.27197491482854436
qwswm_lorawd_wd0p3_lr1e3_s44,qwswm,44.0,qwswm_lorawd_wd0p3_lr1e3,lorawd,0.2126,-0.672436739812722,42.92,52.76,72.93,gsm8k,46.98,38.85,69.33,52.9,55.72,32.8957,4.2757,0.001,0.3,,,False,False,True,,,,,,,,,2.097952807556372,1.9346918347336524,0.163260972822719,208.6168063980461,32.928009033203125,4.276823737365859,14.829541931666588,27.48743022124504,0.1085313681352651,0.0903069913026441,0.0673224942225082,0.0451030497147588,0.0700470737011194,0.5502952138080405,61.03547282358092,0.11896574804040605,0.011260256127810597,0.008348388631712224,0.47762589284022045,0.38379971435985083
frm_lorawd_wd0_lr2e4_c256_s43,frm,43.0,frm_lorawd_wd0_lr2e4_c256,lorawd,0.852,-0.0695604052332998,20.3,28.09,62.4,math_faithful,30.59,10.01,25.62,32.25,41.97,81.172,14.7974,0.0002,0.0,,,False,False,True,,,,,,,,,2.859160897766794,1.810069211692996,1.0490916860737982,705.0592939668969,81.16973876953125,14.79878034889698,15.794269606429886,45.459752060699365,0.0680530380551385,0.046570215644127,0.0691164642672584,0.0509298365595075,0.0650479612432213,0.5707913666724964,124.1298657115478,0.1696081623898407,0.1858210175388505,0.10821865745302123,0.3111660466525597,0.22518611596572796
frc_milora_a1r_lr1e3_c256_s44,frc,44.0,frc_milora_a1r_lr1e3_c256,milora,1.5127,0.1797528068974981,14.84,24.17,65.04,cs,21.87,7.8,23.07,31.4,36.69,244.543,28.1704,0.001,,,,False,False,True,63.33,72.91,74.31,55.25,72.14,64.56,50.0,67.8,3.198534623921109,1.810069211692996,1.3884654122281133,1290.7323887517707,244.54440307617188,28.17267630696297,15.014835019010578,27.138656644059427,0.0774817937437921,0.0493088255202393,0.0685153456332403,0.0550992231571433,0.0707181996011832,0.5035066198251349,100.88850634470784,0.23814669612787936,0.24408367345546564,0.12369543880178911,0.2318876778380016,0.16218651377686422
qwsw_lorawd_wd0p3_lr1e4_s42,qwsw,42.0,qwsw_lorawd_wd0p3_lr1e4,lorawd,0.1373,-0.862329462763245,41.01,49.76,87.48,cs,45.91,36.11,71.4,47.61,47.77,11.5435,3.5195,0.0001,0.3,,,False,False,True,74.43,90.37,80.09,95.49,85.0,95.62,88.48,90.4,,,,100.44313756475054,11.553292274475098,3.5212096554892405,4.173905354622653,14.28141238349045,0.1168228902113532,0.0922882352345868,0.0814278463521742,0.0473927047150332,0.0749055742905494,0.5410904952300959,61.84502307228174,0.08291254288895514,0.010948740011931635,0.009957997466629483,0.5206932928633317,0.37548742676915225
frm_lorawd_wd0p5_lr5e4_c256_s42,frm,42.0,frm_lorawd_wd0p5_lr5e4_c256,lorawd,0.2581,-0.5882119954561311,24.83,33.24,65.43,math_faithful,32.85,16.8,34.82,38.74,43.0,27.288,3.416,0.0005,0.5,,,False,False,True,,,,,,,,,2.034725961468198,1.8520239240816387,0.1827020373865591,157.95737175866324,27.28788185119629,3.416314784437418,15.15081841251537,39.67706035433317,0.0843717288211916,0.0466230756025226,0.0986574552164011,0.0470838970886436,0.0812074445243477,0.5603495004863364,98.57848155426034,0.1138326822677175,0.1542352099325012,0.08868373153545495,0.3740993151987503,0.2691490610655761
frc_milora_a1r_lr1e4_c256_s45,frc,45.0,frc_milora_a1r_lr1e4_c256,milora,0.2454,-0.6101254416090145,27.31,36.17,74.29,cs,34.71,19.91,47.24,42.92,36.06,11.6294,6.0261,0.0001,,,,False,False,True,32.84,83.03,79.89,89.37,82.95,81.86,67.75,76.6,1.9310410345718372,1.810069211692996,0.1209718228788416,122.19849769553817,11.629400253295898,6.026789873838425,3.5491619330555406,11.18462539400782,0.063775854706662,0.162873654694716,0.0850082852716776,0.1475345925068265,0.0682478202924157,0.5530343353138403,127.5373277986849,0.1453777010903266,0.1544651744033618,0.12021578584390341,0.34997759179120425,0.22996374687120386
frc_lora_r32_lr3e4_c256_s46,frc,46.0,frc_lora_r32_lr3e4_c256,lora,0.7621,-0.1179880383733413,22.66,30.29,77.81,cs,29.8,15.51,34.08,37.97,34.07,57.4887,17.7444,0.0003,,,32.0,False,False,True,70.34,80.47,78.92,87.39,82.24,80.98,64.93,77.2,2.4444308105325567,1.810069211692996,0.634361598839561,592.2331711483135,57.48810195922852,17.746307069063185,7.341343577997672,21.39064476835021,0.0693359294155408,0.0462179883096237,0.0703331238781795,0.0500413105438631,0.065706666472526,0.5360564760763938,135.07903771939047,0.17027372145124633,0.19138008661337025,0.10597872437981212,0.3046786136532014,0.22768885390236987
