rn,fam,seed,cell,method,fd,logfd,ret,ret_broad,adapt,adapt_task,bbh,mmlu_pro,mmlu,arc_c,truthfulqa,dw_sv_max,dw_sv_mean,lr,wd,clora_k,rank,quarantined,straggler,in_family,cs_boolq,cs_piqa,cs_social_i_qa,cs_hellaswag,cs_winogrande,cs_ARC_Easy,cs_ARC_Challenge,cs_openbookqa,forgetting_ce,base_entropy,forgetting_kl,fro_total,spec_max,spec_mean,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,ein_top_w,ein_bot_w,amp_top_w
qwsw_clora_k1024_lr2e4_s43,qwsw,43.0,qwsw_clora_k1024_lr2e4,clora,0.2146,-0.6683702823700677,39.89,47.62,86.19,cs,44.62,35.17,69.39,42.66,46.27,20.4597,5.2805,0.0002,,1024.0,,False,False,True,74.8,86.45,79.63,94.13,85.95,93.27,84.9,90.4,2.1846737900870177,1.8790178806577968,0.30565590942922083,244.12841866865514,20.465227127075195,5.282269580897368,8.333127814733704,23.180223797449496,0.054090076369458,0.042606232016201756,0.05999701304785531,0.044294557211383125,0.044682862529747486
qwswm_lora_null_r16_lr5e4_s44,qwswm,44.0,qwswm_lora_null_r16_lr5e4,lora_null,0.1775,-0.7508016426088872,40.13,51.45,59.44,gsm8k,42.01,38.25,70.67,52.73,53.6,16.0783,4.9078,0.0005,,,16.0,False,False,True,,,,,,,,,2.0926891530440144,1.9346918347336524,0.157997318310362,215.37611643979957,16.07663345336914,4.908067025031362,10.665637444669729,17.40636052862144,0.13239214663158527,0.08699709132601131,0.0714521932361262,0.0979774049782716,0.08190500603056718
mtxm_lorawd_wd1p0_s44,mtxm,44.0,mtxm_lorawd_wd1p0,lorawd,0.1787,-0.7478754474943557,26.6,34.25,47.23,gsm8k,34.45,18.74,32.18,45.65,40.25,8.409,2.928,,1.0,,,False,False,False,,,,,,,,,1.9062658731566229,1.8100692116929957,0.09619666146362715,95.4047799108885,8.411057472229004,2.929009500145912,6.2703823130156,17.059995197660694,0.07505707572742426,0.051992340988302875,0.09694655440184355,0.04932671315204443,0.07447554853095463
mtx_milora_r16_s42,mtx,42.0,mtx_milora_r16,milora,0.4902,-0.30962669308394086,25.2,34.34,80.0,cs,32.94,17.45,46.24,38.57,36.49,34.3886,14.6523,,,,16.0,False,False,False,71.47,82.86,79.84,88.78,83.58,85.02,68.26,80.2,2.1356655296985734,1.8520239240816387,0.28364160561693463,327.8717137557739,34.388465881347656,14.656911051273346,3.7028856203237104,8.563922879042597,0.06643912946271362,0.07829468842284,0.07672827141800934,0.07887375425086847,0.06677351132353089
frc_lorawd_wd0p1_lr2e4_c256_s43,frc,43.0,frc_lorawd_wd0p1_lr2e4_c256,lorawd,0.4115,-0.3856301604517114,25.92,34.43,38.65,cs,33.42,18.41,43.83,40.44,36.07,27.0828,10.7004,0.0002,0.1,,,False,False,True,72.23,65.83,8.39,56.05,43.09,19.57,18.43,25.6,2.0924865910622445,1.8100692116929957,0.2824173793692488,302.03104822650374,27.095577239990234,10.70460266172886,5.0222002056877875,16.77746368348651,0.06952770495338512,0.047262145471435146,0.07827191953225383,0.04901770709493372,0.06816095793473066
qwswm_lorawd_wd0p3_lr1e3_s44,qwswm,44.0,qwswm_lorawd_wd0p3_lr1e3,lorawd,0.2126,-0.672436739812722,42.92,52.76,72.93,gsm8k,46.98,38.85,69.33,52.9,55.72,32.8957,4.2757,0.001,0.3,,,False,False,True,,,,,,,,,2.0979528075563714,1.9346918347336524,0.163260972822719,208.6168063980461,32.928009033203125,4.276823737365859,14.829541931666588,27.487430221245038,0.10853136813526511,0.09030699130264415,0.06732249422250823,0.045103049714758814,0.07004707370111944
frm_lorawd_wd0_lr2e4_c256_s43,frm,43.0,frm_lorawd_wd0_lr2e4_c256,lorawd,0.852,-0.06956040523329989,20.3,28.09,62.4,math_faithful,30.59,10.01,25.62,32.25,41.97,81.172,14.7974,0.0002,0.0,,,False,False,True,,,,,,,,,2.859160897766794,1.8100692116929957,1.0490916860737982,705.0592939668969,81.16973876953125,14.79878034889698,15.794269606429886,45.459752060699365,0.06805303805513858,0.04657021564412706,0.06911646426725847,0.050929836559507544,0.06504796124322139
frc_milora_a1r_lr1e3_c256_s44,frc,44.0,frc_milora_a1r_lr1e3_c256,milora,1.5127,0.17975280689749815,14.84,24.17,65.04,cs,21.87,7.8,23.07,31.4,36.69,244.543,28.1704,0.001,,,,False,False,True,63.33,72.91,74.31,55.25,72.14,64.56,50.0,67.8,3.198534623921109,1.8100692116929957,1.3884654122281133,1290.7323887517707,244.54440307617188,28.172676306962966,15.014835019010578,27.138656644059427,0.07748179374379215,0.049308825520239304,0.06851534563324034,0.05509922315714333,0.07071819960118324
qwsw_lorawd_wd0p3_lr1e4_s42,qwsw,42.0,qwsw_lorawd_wd0p3_lr1e4,lorawd,0.1373,-0.862329462763245,41.01,49.76,87.48,cs,45.91,36.11,71.4,47.61,47.77,11.5435,3.5195,0.0001,0.3,,,False,False,True,74.43,90.37,80.09,95.49,85.0,95.62,88.48,90.4,,,,100.44313756475054,11.553292274475098,3.5212096554892405,4.173905354622653,14.28141238349045,0.11682289021135328,0.0922882352345868,0.08142784635217423,0.047392704715033276,0.07490557429054943
frm_lorawd_wd0p5_lr5e4_c256_s42,frm,42.0,frm_lorawd_wd0p5_lr5e4_c256,lorawd,0.2581,-0.5882119954561311,24.83,33.24,65.43,math_faithful,32.85,16.8,34.82,38.74,43.0,27.288,3.416,0.0005,0.5,,,False,False,True,,,,,,,,,2.034725961468198,1.8520239240816387,0.1827020373865591,157.95737175866324,27.28788185119629,3.416314784437418,15.15081841251537,39.67706035433317,0.08437172882119166,0.04662307560252265,0.09865745521640112,0.047083897088643675,0.08120744452434774
frc_milora_a1r_lr1e4_c256_s45,frc,45.0,frc_milora_a1r_lr1e4_c256,milora,0.2454,-0.6101254416090145,27.31,36.17,74.29,cs,34.71,19.91,47.24,42.92,36.06,11.6294,6.0261,0.0001,,,,False,False,True,32.84,83.03,79.89,89.37,82.95,81.86,67.75,76.6,1.9310410345718374,1.8100692116929957,0.12097182287884167,122.19849769553817,11.629400253295898,6.026789873838425,3.5491619330555406,11.184625394007819,0.06377585470666204,0.162873654694716,0.08500828527167764,0.14753459250682657,0.06824782029241573
frc_lora_r32_lr3e4_c256_s46,frc,46.0,frc_lora_r32_lr3e4_c256,lora,0.7621,-0.11798803837334136,22.66,30.29,77.81,cs,29.8,15.51,34.08,37.97,34.07,57.4887,17.7444,0.00030000000000000003,,,32.0,False,False,True,70.34,80.47,78.92,87.39,82.24,80.98,64.93,77.2,2.4444308105325567,1.8100692116929957,0.634361598839561,592.2331711483135,57.488101959228516,17.746307069063185,7.341343577997672,21.39064476835021,0.0693359294155408,0.046217988309623745,0.07033312387817958,0.05004131054386317,0.06570666647252604
frc_lorawd_wd0p2_lr1e4_c256_s42,frc,42.0,frc_lorawd_wd0p2_lr1e4_c256,lorawd,0.254,-0.595166283380062,27.42,35.12,35.41,cs,34.63,20.22,45.9,40.36,34.49,18.059,6.2778,0.0001,0.2,,,False,False,True,51.93,0.54,22.98,53.87,76.16,26.09,21.5,30.2,1.985747811139539,1.8520239240816387,0.13372388705790028,141.0965906143857,18.095829010009766,6.279496379196644,3.0693731560632687,10.5964428470115,0.07111872578868017,0.04988724107460875,0.0895671727071807,0.050215765345344804,0.07163050343880682
qwsw_milora_r32_lr1e4_s43,qwsw,43.0,qwsw_milora_r32_lr1e4,milora,0.182,-0.7399286120149252,38.47,48.31,87.45,cs,45.43,31.51,69.78,45.48,49.34,9.8242,2.959,0.0001,,,32.0,False,False,True,73.64,89.83,80.35,94.99,84.45,94.7,89.25,92.4,,,,100.38359069306972,9.82607364654541,2.959487840959004,8.133888918264288,24.959880129992943,0.060831231620780045,0.378987738523124,0.062045641904099,0.23323954718808024,0.051033920965957845
