metric,family,method,n,mean,sd,min,max
retention_mean,lrsw,lora,25,24.094,3.208,16.93,27.46
retention_mean,lrsw,lora_null,25,24.217,2.99,17.36,27.42
retention_mean,lrsw,lorawd,27,24.604,7.154,0.0,27.8
retention_mean,lrsw,milora,25,24.272,3.612,14.84,27.57
retention_mean,lrsw,milorawd,2,27.325,0.94,26.66,27.99
retention_mean,lrsw,clora,27,21.957,7.142,1.17,27.48
retention_mean,lrsw,dora,25,19.734,9.364,0.0,27.3
retention_mean,lrsw,sclora,24,18.11,7.541,3.19,27.02
retention_mean,lrswm,lora,21,23.542,2.338,19.08,26.07
retention_mean,lrswm,lorawd,21,24.94,1.219,22.32,26.4
retention_mean,lrswm,milora,21,23.637,2.571,17.94,25.94
retention_mean,lrswm,clora,21,23.752,2.241,19.13,26.15
retention_mean,lrswm,dora,21,23.32,2.455,17.89,25.92
retention_mean,lrswm,sclora,15,20.259,5.234,6.76,26.03
retention_mean,qwsw,lora,23,30.273,12.785,6.02,39.33
retention_mean,qwsw,lora_null,21,33.533,11.233,6.92,40.64
retention_mean,qwsw,lorawd,23,38.163,8.382,0.0,41.44
retention_mean,qwsw,milora,25,30.89,12.158,6.41,40.07
retention_mean,qwsw,clora,23,34.163,10.066,6.32,40.72
retention_mean,qwsw,dora,13,26.545,13.089,6.96,38.88
retention_mean,qwsw,sclora,23,24.773,14.658,2.23,39.8
retention_mean,qwswm,lora,46,38.314,12.31,0.0,44.84
retention_mean,qwswm,lora_null,20,42.408,1.731,38.54,44.2
retention_mean,qwswm,lorawd,24,40.76,12.576,0.0,45.86
retention_mean,qwswm,milora,23,37.779,12.936,0.0,44.55
retention_mean,qwswm,clora,20,41.582,4.393,31.48,45.57
retention_mean,qwswm,dora,11,39.452,7.298,22.56,44.28
retention_mean,qwswm,sclora,20,32.18,12.982,6.36,44.56
retention_mean,frc,lora,16,23.172,1.16,21.6,25.04
retention_mean,frc,lora_null,26,18.338,7.267,1.08,26.52
retention_mean,frc,lorawd,121,24.291,4.463,3.12,27.99
retention_mean,frc,lorawdr16,10,26.794,0.272,26.27,27.25
retention_mean,frc,milora,51,21.319,6.205,0.0,27.56
retention_mean,frc,clora,21,23.81,1.067,22.09,25.49
retention_mean,frc,dora,3,21.61,1.021,20.9,22.78
retention_mean,frc,sclora,24,15.406,7.614,0.64,27.56
retention_mean,frc,pissa,4,11.355,1.712,9.38,13.25
retention_mean,frm,lora,3,18.107,0.306,17.84,18.44
retention_mean,frm,lora_null,4,19.98,1.975,18.64,22.9
retention_mean,frm,lorawd,105,21.621,6.356,0.0,26.43
retention_mean,frm,milora,12,15.314,9.072,0.44,24.04
retention_mean,frm,clora,10,18.751,0.341,18.3,19.21
retention_mean,frm,dora,3,18.317,0.758,17.76,19.18
retention_mean,frm,sclora,6,15.67,2.6,12.66,18.32
retention_mean,frm,pissa,1,3.62,,3.62,3.62
retention_mean,lrsw,corda [WITHHELD],23,17.389,8.402,0.0,26.17
retention_mean,qwsw,corda [WITHHELD],5,36.862,5.384,27.27,39.84
retention_mean,frc,cordapp [WITHHELD],8,19.474,8.886,0.0,26.56
retention_mean,frm,cordapp [WITHHELD],3,19.003,5.073,13.22,22.7
retention_broad,lrsw,lora,25,32.497,3.996,24.82,36.89
retention_broad,lrsw,lora_null,25,33.004,3.753,25.23,37.11
retention_broad,lrsw,lorawd,27,33.738,4.273,20.04,36.9
retention_broad,lrsw,milora,25,32.994,4.257,24.17,36.85
retention_broad,lrsw,milorawd,2,35.265,0.827,34.68,35.85
retention_broad,lrsw,clora,27,31.683,5.611,20.17,37.37
retention_broad,lrsw,dora,25,30.219,6.146,19.82,36.95
retention_broad,lrsw,sclora,24,27.991,5.48,19.23,36.58
retention_broad,lrswm,lora,21,31.602,2.422,27.01,34.41
retention_broad,lrswm,lorawd,21,33.358,1.105,29.91,34.35
retention_broad,lrswm,milora,21,31.899,2.463,26.83,34.16
retention_broad,lrswm,clora,21,31.841,2.098,27.17,34.07
retention_broad,lrswm,dora,21,31.333,2.417,26.59,33.8
retention_broad,lrswm,sclora,15,29.758,3.666,21.77,33.58
retention_broad,qwsw,lora,23,42.04,9.86,21.58,50.71
retention_broad,qwsw,lora_null,21,45.252,8.315,25.02,52.3
retention_broad,qwsw,lorawd,23,47.314,6.389,19.43,50.96
retention_broad,qwsw,milora,25,42.132,9.314,21.73,51.4
retention_broad,qwsw,clora,23,44.856,7.629,26.0,51.07
retention_broad,qwsw,dora,13,38.764,9.984,21.54,49.97
retention_broad,qwsw,sclora,23,35.81,10.395,19.99,48.15
retention_broad,qwswm,lora,46,49.318,9.125,19.49,54.11
retention_broad,qwswm,lora_null,20,52.564,1.547,49.07,53.7
retention_broad,qwswm,lorawd,24,50.922,9.612,19.23,54.48
retention_broad,qwswm,milora,23,48.995,9.136,19.26,53.43
retention_broad,qwswm,clora,20,51.736,3.889,42.35,54.18
retention_broad,qwswm,dora,11,49.873,7.43,31.3,53.96
retention_broad,qwswm,sclora,20,45.191,10.629,22.01,54.42
retention_broad,frc,lora,16,31.127,1.341,28.28,32.98
retention_broad,frc,lora_null,26,27.949,5.149,18.97,36.47
retention_broad,frc,lorawd,121,32.343,3.792,19.94,36.96
retention_broad,frc,lorawdr16,8,34.698,0.943,33.13,35.84
retention_broad,frc,milora,51,30.325,4.962,19.69,36.88
retention_broad,frc,clora,21,32.0,1.65,29.18,34.8
retention_broad,frc,dora,3,29.89,0.97,28.93,30.87
retention_broad,frc,sclora,24,25.634,4.933,18.8,36.63
retention_broad,frc,pissa,4,22.868,0.834,22.11,23.8
retention_broad,frm,lora,3,27.093,0.434,26.63,27.49
retention_broad,frm,lora_null,4,28.345,1.29,27.33,30.17
retention_broad,frm,lorawd,105,31.115,3.99,19.68,35.55
retention_broad,frm,milora,12,26.806,4.672,20.2,32.75
retention_broad,frm,clora,10,27.355,0.515,26.51,28.1
