run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,on_pool,retention_mean,retention_broad,adapt,bbh,mmlu_pro,mmlu,arc_c,truthfulqa,fdelta,log10_fdelta
frc_clora_k1024_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k1024_lr3e4_c256,False,False,True,24.3,32.72,80.14,31.72,16.88,43.52,39.51,31.96,0.4413,-0.3552660725528074
frc_clora_k1024_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k1024_lr3e4_c256,False,False,True,24.32,31.69,59.72,32.05,16.6,36.79,37.88,35.14,0.4408,-0.3557584141562713
frc_clora_k1024_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,44.0,frc_clora_k1024_lr3e4_c256,False,False,True,24.54,32.46,79.93,32.59,16.5,38.71,39.42,35.1,0.4514,-0.3454384452582567
frc_clora_k1024_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k1024_lr3e4_c256,False,False,True,23.36,32.34,79.71,31.15,15.58,39.61,38.4,36.97,0.4608,-0.3364875295848444
frc_clora_k128_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k128_lr3e4_c256,False,False,True,22.64,29.95,79.53,29.96,15.33,35.59,35.67,33.18,0.61,-0.2146701649892329
frc_clora_k128_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k128_lr3e4_c256,False,False,True,22.88,30.65,78.91,31.09,14.66,37.04,36.69,33.77,0.6168,-0.2098556349570994
frc_clora_k128_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,44.0,frc_clora_k128_lr3e4_c256,False,False,True,22.92,30.15,79.21,29.95,15.89,33.24,37.71,33.96,0.5998,-0.2219935385764916
frc_clora_k128_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k128_lr3e4_c256,False,False,True,22.29,30.1,69.69,30.56,14.02,33.49,38.57,33.84,0.6329,-0.1986649043254534
frc_clora_k2048_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k2048_lr3e4_c256,False,False,True,25.02,33.99,68.53,32.51,17.54,44.17,40.7,35.02,0.3436,-0.4639468448407953
frc_clora_k2048_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k2048_lr3e4_c256,False,False,True,25.27,34.65,75.63,33.64,16.9,44.86,40.02,37.83,0.3516,-0.4539511335982656
frc_clora_k2048_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,44.0,frc_clora_k2048_lr3e4_c256,False,False,True,25.22,34.3,65.73,33.6,16.83,44.37,41.04,35.66,0.349,-0.4571745730408201
frc_clora_k2048_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k2048_lr3e4_c256,False,False,True,25.29,33.23,71.52,33.44,17.14,38.42,40.27,36.88,0.3359,-0.4737899961583357
frc_clora_k2048_lr3e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,46.0,frc_clora_k2048_lr3e4_c256,False,False,True,25.49,34.8,65.51,33.8,17.19,45.06,38.48,39.46,0.3528,-0.4524714235402178
frc_clora_k256_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k256_lr3e4_c256,False,False,True,22.66,31.27,79.41,30.86,14.45,37.76,38.48,34.81,0.6048,-0.2183882175068499
frc_clora_k256_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k256_lr3e4_c256,False,False,True,24.18,32.88,78.61,32.31,16.05,40.61,38.31,37.12,0.5696,-0.2444300193712
frc_clora_k256_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k256_lr3e4_c256,False,False,True,23.08,29.88,78.72,31.53,14.62,34.94,37.03,31.27,0.5839,-0.2336615247487127
frc_clora_k512_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k512_lr3e4_c256,False,False,True,23.6,32.1,78.86,31.3,15.89,42.64,37.88,32.81,0.5069,-0.2950777087765982
frc_clora_k512_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k512_lr3e4_c256,False,False,True,22.09,29.18,79.2,30.55,13.63,32.32,37.03,32.35,0.5413,-0.2665619729089387
frc_clora_k512_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,44.0,frc_clora_k512_lr3e4_c256,False,False,True,23.18,31.46,79.74,31.41,14.94,39.92,36.35,34.66,0.5411,-0.2667224660674182
frc_clora_k512_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k512_lr3e4_c256,False,False,True,24.16,31.47,79.49,32.04,16.29,39.12,36.86,33.06,0.502,-0.2992962828549806
frc_clora_k512_lr3e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,46.0,frc_clora_k512_lr3e4_c256,False,False,True,23.52,32.72,79.64,31.76,15.29,38.71,39.42,38.4,0.5122,-0.2905604258675891
frc_cordapp_a1r_lr2e5_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),2e-05,42.0,frc_cordapp_a1r_lr2e5_c256,True,False,False,26.56,36.32,37.73,34.27,18.84,42.52,46.5,39.49,0.1737,-0.7602001815529014
frc_cordapp_lr1e3_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.001,42.0,frc_cordapp_lr1e3_c256,True,True,False,0.0,19.84,1.44,0.0,0.0,22.95,26.54,49.72,110.3962,2.042954124593958
frc_cordapp_lr1e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0001,42.0,frc_cordapp_lr1e4_c256,True,False,False,25.53,34.84,52.1,33.05,18.02,44.36,45.31,33.44,0.4333,-0.3632113109656252
frc_cordapp_lr2e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0002,42.0,frc_cordapp_lr2e4_c256,True,False,False,22.98,33.66,73.51,31.53,14.44,43.58,43.43,35.3,0.5616,-0.2505729008782511
frc_cordapp_lr2e5_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),2e-05,42.0,frc_cordapp_lr2e5_c256,True,False,False,26.03,35.85,52.18,33.74,18.32,43.06,45.14,38.97,0.2288,-0.6405439798790133
frc_cordapp_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0003,42.0,frc_cordapp_lr3e4_c256,True,False,False,22.44,32.17,78.5,31.25,13.63,41.33,40.87,33.76,0.7653,-0.1161682866705475
frc_cordapp_lr5e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0005,42.0,frc_cordapp_lr5e4_c256,True,True,False,16.27,26.26,77.77,25.5,7.05,25.59,37.03,36.15,10.5845,1.0246703472520045
frc_cordapp_lr7e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0007,42.0,frc_cordapp_lr7e4_c256,True,True,False,15.98,25.82,71.82,26.77,5.19,23.63,36.35,37.14,31.046,1.4920056531492256
frc_dora_r32_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,dora,DoRA,0.0003,42.0,frc_dora_r32_lr3e4_c256,False,False,True,20.9,29.87,78.54,27.14,14.67,34.25,37.12,36.17,0.8973,-0.0470623322490194
frc_dora_r32_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,dora,DoRA,0.0003,43.0,frc_dora_r32_lr3e4_c256,False,False,True,22.78,30.87,78.98,31.21,14.34,36.85,38.05,33.88,0.936,-0.0287241512618947
frc_dora_r32_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,dora,DoRA,0.0003,44.0,frc_dora_r32_lr3e4_c256,False,False,True,21.15,28.93,78.84,29.92,12.38,30.6,37.46,34.31,0.9182,-0.037062711569998
frc_lora_l2_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,42.0,frc_lora_l2_lr3e4_c256,False,False,True,21.7,29.99,78.38,29.52,13.89,36.03,36.18,34.33,0.7172,-0.1443597191098548
frc_lora_l2_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,43.0,frc_lora_l2_lr3e4_c256,False,False,True,22.57,30.51,77.63,30.56,14.58,37.29,36.26,33.84,0.7153,-0.1455117749555695
frc_lora_l2_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,44.0,frc_lora_l2_lr3e4_c256,False,False,True,23.0,31.18,78.42,31.45,14.55,40.34,36.35,33.19,0.7235,-0.1405614645449437
frc_lora_l2_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,45.0,frc_lora_l2_lr3e4_c256,False,False,True,23.38,30.5,78.87,31.29,15.48,35.96,35.41,34.36,0.7332,-0.1347775437098209
