family,fd_bin,method,n,mean,sd
lrsw,-1.0,lora,10,26.716,0.43
lrsw,-1.0,lora_null,10,26.412,0.418
lrsw,-1.0,lorawd,14,27.149,0.463
lrsw,-1.0,milora,10,26.987,0.59
lrsw,-1.0,milorawd,2,27.325,0.94
lrsw,-1.0,clora,10,26.826,0.342
lrsw,-1.0,dora,9,26.818,0.376
lrsw,-1.0,sclora,4,26.332,0.776
lrsw,-0.5,lora,12,23.611,1.775
lrsw,-0.5,lora_null,12,23.99,1.913
lrsw,-0.5,lorawd,11,25.839,0.993
lrsw,-0.5,milora,12,23.963,2.091
lrsw,-0.5,clora,11,23.793,1.843
lrsw,-0.5,dora,6,24.363,0.955
lrsw,-0.5,sclora,11,21.851,2.925
lrsw,0.0,lora,3,17.29,0.317
lrsw,0.0,lora_null,3,17.807,0.564
lrsw,0.0,milora,3,16.46,1.404
lrsw,0.0,clora,5,12.338,5.531
lrsw,0.0,dora,3,19.153,1.391
lrsw,0.0,sclora,9,9.884,4.836
lrswm,-1.0,lorawd,9,25.613,0.168
lrswm,-1.0,milora,9,25.57,0.253
lrswm,-1.0,clora,12,25.281,0.69
lrswm,-1.0,sclora,5,24.98,0.926
lrswm,-0.5,lora,18,24.228,1.712
lrswm,-0.5,lorawd,12,24.436,1.426
lrswm,-0.5,milora,9,23.456,1.343
lrswm,-0.5,clora,9,21.714,1.93
lrswm,-0.5,dora,18,24.114,1.54
lrswm,-0.5,sclora,8,19.965,1.911
lrswm,0.0,lora,3,19.427,0.323
lrswm,0.0,milora,3,18.383,0.516
lrswm,0.0,dora,3,18.56,0.696
lrswm,0.0,sclora,2,9.63,4.059
qwsw,-1.0,lora,14,38.154,0.767
qwsw,-1.0,lora_null,13,38.945,1.062
qwsw,-1.0,lorawd,22,39.898,1.049
qwsw,-1.0,milora,15,38.315,1.197
qwsw,-1.0,clora,11,38.982,1.281
qwsw,-1.0,dora,6,38.117,0.682
qwsw,-1.0,sclora,9,38.623,1.2
qwsw,-0.5,lora,9,18.016,13.072
qwsw,-0.5,lora_null,5,15.902,10.827
qwsw,-0.5,milora,10,19.752,12.737
qwsw,-0.5,clora,6,21.137,12.883
qwsw,-0.5,dora,4,20.815,10.762
qwsw,-0.5,sclora,11,18.993,11.704
qwswm,-1.5,lora,18,43.649,0.438
qwswm,-1.5,lora_null,8,43.46,0.597
qwswm,-1.5,lorawd,13,44.369,0.767
qwswm,-1.5,milora,10,43.647,0.583
qwswm,-1.5,clora,9,43.771,0.8
qwswm,-1.5,dora,6,43.62,0.287
qwswm,-1.5,sclora,3,44.333,0.205
qwswm,-1.0,lora,19,43.508,1.371
qwswm,-1.0,lora_null,6,42.315,1.187
qwswm,-1.0,lorawd,9,44.604,0.805
qwswm,-1.0,milora,10,41.569,1.885
qwswm,-1.0,clora,6,42.66,1.692
qwswm,-1.0,dora,3,40.237,3.949
qwswm,-1.0,sclora,9,39.596,3.261
qwswm,-0.5,lora,8,18.764,13.265
qwswm,-0.5,lora_null,3,38.973,0.716
qwswm,-0.5,milora,2,8.38,1.584
qwswm,-0.5,clora,3,31.733,0.439
qwswm,-0.5,dora,2,25.77,4.54
qwswm,-0.5,sclora,8,19.279,11.001
frc,-1.0,lora_null,6,25.41,0.959
frc,-1.0,lorawd,49,26.873,0.765
frc,-1.0,milora,10,27.078,0.402
frc,-1.0,sclora,3,27.217,0.297
frc,-0.5,lora,16,23.172,1.16
frc,-0.5,lora_null,9,21.272,2.331
frc,-0.5,lorawd,61,24.147,2.577
frc,-0.5,lorawdr16,9,26.764,0.271
frc,-0.5,milora,25,23.612,1.725
frc,-0.5,clora,21,23.81,1.067
frc,-0.5,dora,3,21.61,1.021
frc,-0.5,sclora,8,18.898,2.325
frc,0.0,lora_null,8,15.992,1.406
frc,0.0,lorawd,8,17.119,0.828
frc,0.0,milora,13,16.878,1.605
frc,0.0,sclora,10,13.407,3.529
frc,0.0,pissa,4,11.355,1.712
frc,0.5,lora_null,3,1.647,0.737
frc,0.5,lorawd,3,4.18,1.666
frc,0.5,milora,2,3.375,1.761
frc,0.5,sclora,3,0.947,0.269
frm,-0.5,lora_null,4,19.98,1.975
frm,-0.5,lorawd,61,23.1,1.668
frm,-0.5,milora,5,22.688,1.763
frm,-0.5,sclora,3,18.01,0.37
frm,0.0,lora,3,18.107,0.306
frm,0.0,lorawd,10,14.22,5.356
frm,0.0,milora,5,13.794,6.726
frm,0.0,clora,10,18.751,0.341
frm,0.0,dora,3,18.317,0.758
frm,0.0,sclora,3,13.33,0.581
