family,fd_bin,method,n,mean,sd
lrsw,-1.0,lora,10,1.022,0.255
lrsw,-1.0,lora_null,10,0.709,0.244
lrsw,-1.0,lorawd,14,1.103,0.21
lrsw,-1.0,milora,10,0.827,0.289
lrsw,-1.0,milorawd,2,1.301,0.131
lrsw,-1.0,clora,10,0.872,0.206
lrsw,-1.0,dora,9,0.971,0.237
lrsw,-1.0,sclora,4,0.656,0.19
lrsw,-0.5,lora,12,1.72,0.192
lrsw,-0.5,lora_null,12,1.468,0.219
lrsw,-0.5,lorawd,11,1.543,0.164
lrsw,-0.5,milora,12,1.715,0.272
lrsw,-0.5,clora,11,1.33,0.108
lrsw,-0.5,dora,6,1.641,0.141
lrsw,-0.5,sclora,11,1.205,0.253
lrsw,0.0,lora,3,2.375,0.064
lrsw,0.0,lora_null,3,2.198,0.056
lrsw,0.0,milora,3,2.419,0.079
lrsw,0.0,clora,5,1.762,0.267
lrsw,0.0,dora,3,2.319,0.038
lrsw,0.0,sclora,9,1.936,0.328
lrswm,-1.0,lorawd,9,1.161,0.076
lrswm,-1.0,milora,9,0.777,0.184
lrswm,-1.0,clora,12,0.934,0.176
lrswm,-1.0,sclora,5,0.756,0.171
lrswm,-0.5,lora,18,1.296,0.282
lrswm,-0.5,lorawd,12,1.301,0.292
lrswm,-0.5,milora,9,1.525,0.206
lrswm,-0.5,clora,9,1.334,0.1
lrswm,-0.5,dora,18,1.348,0.357
lrswm,-0.5,sclora,8,1.272,0.275
lrswm,0.0,lora,3,2.212,0.045
lrswm,0.0,milora,3,2.203,0.028
lrswm,0.0,dora,3,2.62,0.023
lrswm,0.0,sclora,2,2.257,0.01
qwsw,-1.0,lora,14,1.08,0.272
qwsw,-1.0,lora_null,13,1.025,0.202
qwsw,-1.0,lorawd,22,1.034,0.151
qwsw,-1.0,milora,15,0.905,0.266
qwsw,-1.0,clora,11,1.271,0.121
qwsw,-1.0,dora,6,1.175,0.29
qwsw,-1.0,sclora,9,0.749,0.164
qwsw,-0.5,lora,9,1.727,0.27
qwsw,-0.5,lora_null,5,1.664,0.245
qwsw,-0.5,milora,10,1.588,0.309
qwsw,-0.5,clora,6,1.688,0.209
qwsw,-0.5,dora,4,1.649,0.183
qwsw,-0.5,sclora,11,1.381,0.259
qwswm,-1.5,lora,18,0.581,0.187
qwswm,-1.5,lora_null,8,0.724,0.157
qwswm,-1.5,lorawd,13,0.667,0.215
qwswm,-1.5,milora,10,0.412,0.21
qwswm,-1.5,clora,9,0.786,0.176
qwswm,-1.5,dora,6,0.561,0.193
qwswm,-1.5,sclora,3,0.262,0.006
qwswm,-1.0,lora,19,1.163,0.134
qwswm,-1.0,lora_null,6,1.096,0.092
qwswm,-1.0,lorawd,9,0.966,0.213
qwswm,-1.0,milora,10,1.119,0.183
qwswm,-1.0,clora,6,1.146,0.131
qwswm,-1.0,dora,3,1.21,0.234
qwswm,-1.0,sclora,9,0.725,0.208
qwswm,-0.5,lora,8,1.727,0.179
qwswm,-0.5,lora_null,3,1.506,0.088
qwswm,-0.5,milora,2,1.618,0.091
qwswm,-0.5,clora,3,1.503,0.086
qwswm,-0.5,dora,2,1.94,0.152
qwswm,-0.5,sclora,8,1.492,0.295
frc,-1.0,lora_null,6,0.959,0.272
frc,-1.0,lorawd,49,1.173,0.235
frc,-1.0,milora,10,1.021,0.29
frc,-1.0,sclora,3,0.822,0.025
frc,-0.5,lora,16,1.72,0.076
frc,-0.5,lora_null,9,1.667,0.204
frc,-0.5,lorawd,61,1.659,0.221
frc,-0.5,lorawdr16,8,1.311,0.052
frc,-0.5,milora,25,1.728,0.225
frc,-0.5,clora,21,1.355,0.09
frc,-0.5,dora,3,2.087,0.067
frc,-0.5,sclora,8,1.405,0.192
frc,0.0,lora_null,8,2.233,0.104
frc,0.0,lorawd,8,2.233,0.101
frc,0.0,milora,13,2.314,0.117
frc,0.0,sclora,10,2.12,0.203
frc,0.0,pissa,4,1.731,0.015
frc,0.5,lora_null,3,2.584,0.044
frc,0.5,lorawd,3,2.768,0.067
frc,0.5,milora,2,2.835,0.106
frc,0.5,sclora,3,2.781,0.097
frm,-0.5,lora_null,4,1.795,0.29
frm,-0.5,lorawd,61,1.696,0.181
frm,-0.5,milora,5,1.7,0.199
frm,-0.5,sclora,3,1.575,0.021
frm,0.0,lora,3,2.188,0.022
frm,0.0,lorawd,10,2.239,0.219
frm,0.0,milora,5,2.325,0.187
frm,0.0,clora,10,1.456,0.024
frm,0.0,dora,3,2.846,0.018
frm,0.0,sclora,3,2.196,0.017
