family,method,lr,cell,n_seeds,adapt_mean,adapt_sd,fdelta_mean,fdelta_sd,spec_max_mean,spec_max_sd,fro_total_mean,fro_total_sd,dw_sv_max_mean,dw_sv_max_sd
lrsw,milorawd,0.0005,lrsw_milorawd_wd0p3_r32_lr5e4,1,80.22,,0.296,,24.727,,186.801,,24.728,
lrsw,sclora,5e-05,lrsw_sclora_r32_lr5e5,3,80.613,0.41,0.376,0.158,8.167,2.708,101.138,14.346,8.165,2.705
lrsw,lorawd,0.0005,lrsw_lorawd_wd0p3_lr5e4,4,81.75,0.168,0.399,0.012,35.878,2.241,266.803,0.524,35.879,2.241
lrsw,lora,0.0003,lrsw_lora_r16_lr3e4,4,79.17,0.2,0.616,0.011,46.183,4.328,469.28,1.039,46.145,4.311
lrsw,clora,0.0005,lrsw_clora_k1024_lr5e4,4,78.29,0.249,0.645,0.012,28.228,1.113,556.288,0.424,28.237,1.112
lrsw,lora_null,0.0005,lrsw_lora_null_r16_lr5e4,4,78.865,0.166,0.702,0.005,55.362,2.6,574.783,3.817,55.362,2.6
lrsw,milora,0.0005,lrsw_milora_r32_lr5e4,4,77.192,0.42,0.852,0.013,115.124,26.372,704.24,4.819,115.124,26.371
lrsw,dora,0.0005,lrsw_dora_r16_lr5e4,3,76.233,1.65,1.226,0.018,208.918,18.431,825.381,6.28,208.92,18.43
lrswm,clora,0.0003,lrswm_clora_k1024_lr3e4,3,48.62,1.091,0.322,0.006,16.922,0.482,274.453,0.054,16.904,0.48
lrswm,sclora,0.0001,lrswm_sclora_r32_lr1e4,2,59.095,0.375,0.391,0.0,9.902,0.087,145.278,0.195,9.901,0.089
lrswm,lorawd,0.0005,lrswm_lorawd_wd0p3_lr5e4,3,50.67,1.325,0.408,0.012,28.036,4.096,287.311,0.563,28.036,4.096
lrswm,milora,0.0003,lrswm_milora_r32_lr3e4,3,47.613,0.723,0.457,0.013,30.908,6.485,306.808,0.598,30.908,6.485
