run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,on_pool,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,log10_fdelta,retention_mean
frc_clora_k1024_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k1024_lr3e4_c256,False,False,True,7.465596397687664,22.098794024618247,0.0583157600609842,0.0473420166396864,0.0564837242340196,-0.3552660725528074,24.3
frc_clora_k1024_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k1024_lr3e4_c256,False,False,True,7.44785036999762,22.07402706618889,0.0584381050511309,0.047339638843884,0.0565745675954304,-0.3557584141562713,24.32
frc_clora_k1024_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,44.0,frc_clora_k1024_lr3e4_c256,False,False,True,7.4604129749533135,22.128028477455025,0.0584833654324494,0.0472685121906571,0.056627465260644,-0.3454384452582567,24.54
frc_clora_k1024_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k1024_lr3e4_c256,False,False,True,7.347158193279949,21.964719353277708,0.0588235424192417,0.0472903657445623,0.0567712058771447,-0.3364875295848444,23.36
frc_clora_k128_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k128_lr3e4_c256,False,False,True,8.814808413358941,23.96263260813208,0.0631749777543946,0.046045279484169,0.0611170450111732,-0.2146701649892329,22.64
frc_clora_k128_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k128_lr3e4_c256,False,False,True,8.55526439630947,23.6161350178482,0.0632113875440523,0.0459538572435616,0.0613242322696262,-0.2098556349570994,22.88
frc_clora_k128_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,44.0,frc_clora_k128_lr3e4_c256,False,False,True,8.91212388943116,24.00752223290976,0.0630912107495296,0.0462789470276952,0.0611075866937429,-0.2219935385764916,22.92
frc_clora_k128_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k128_lr3e4_c256,False,False,True,8.613040690293094,23.821291540443116,0.0634017760709365,0.0460561360884856,0.0613148318345096,-0.1986649043254534,22.29
frc_clora_k2048_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k2048_lr3e4_c256,False,False,True,5.956689094837085,18.9361682783548,0.0544507238074988,0.0489520418302155,0.0527624623120514,-0.4639468448407953,25.02
frc_clora_k2048_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k2048_lr3e4_c256,False,False,True,5.863729316438789,18.76077019098201,0.0544711135704068,0.0485567113775272,0.0527505573386624,-0.4539511335982656,25.27
frc_clora_k2048_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,44.0,frc_clora_k2048_lr3e4_c256,False,False,True,5.967829816887521,18.89431685301264,0.054416378923452,0.0484176348798666,0.0528034079428856,-0.4571745730408201,25.22
frc_clora_k2048_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k2048_lr3e4_c256,False,False,True,6.10197041875656,19.011965913960704,0.0546448898902872,0.04880412256214,0.0528106616249021,-0.4737899961583357,25.29
frc_clora_k2048_lr3e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,46.0,frc_clora_k2048_lr3e4_c256,False,False,True,6.014800522068945,18.83265870020233,0.0542912294688923,0.0484457819341873,0.0526632380707187,-0.4524714235402178,25.49
frc_clora_k256_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k256_lr3e4_c256,False,False,True,8.57339128931401,23.820533371307075,0.0623248819107585,0.0461088721989065,0.060115338713608,-0.2183882175068499,22.66
frc_clora_k256_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k256_lr3e4_c256,False,False,True,8.637434339162308,23.719205522500133,0.0624530467424574,0.046075803912136,0.0603919626459415,-0.2444300193712,24.18
frc_clora_k256_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k256_lr3e4_c256,False,False,True,8.511127375249147,23.623109237232025,0.0623169194070859,0.0462222491326332,0.0602036281455362,-0.2336615247487127,23.08
frc_clora_k512_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k512_lr3e4_c256,False,False,True,8.542781003726393,23.43726811987103,0.0611743614276391,0.046360416953588,0.058820124912822,-0.2950777087765982,23.6
frc_clora_k512_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k512_lr3e4_c256,False,False,True,8.143385601586635,23.238090768006128,0.0608780064711582,0.0464811365335557,0.0588356733769959,-0.2665619729089387,22.09
frc_clora_k512_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,44.0,frc_clora_k512_lr3e4_c256,False,False,True,8.250801516439951,23.32356332495161,0.0609318571207444,0.0464794004459245,0.0588365908351486,-0.2667224660674182,23.18
frc_clora_k512_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k512_lr3e4_c256,False,False,True,8.383942808382479,23.418004666902824,0.060981358813767,0.0464943831947653,0.0588723382677348,-0.2992962828549806,24.16
frc_clora_k512_lr3e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,46.0,frc_clora_k512_lr3e4_c256,False,False,True,8.356628729909856,23.286665697311165,0.0608623797252066,0.046505439116803,0.0587771263846488,-0.2905604258675891,23.52
frc_cordapp_a1r_lr2e5_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),2e-05,42.0,frc_cordapp_a1r_lr2e5_c256,True,False,False,1.317785773927053,2.46660837062914,0.1402568932809232,0.0506946813775715,0.1113139944556002,-0.7602001815529014,26.56
frc_cordapp_lr1e3_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.001,42.0,frc_cordapp_lr1e3_c256,True,True,False,1.3213385355448637,2.010800556914527,0.2099370258621807,0.0250626616035173,0.2620740769329459,2.042954124593958,0.0
frc_cordapp_lr1e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0001,42.0,frc_cordapp_lr1e4_c256,True,False,False,1.945331579146462,6.076634969718126,0.1778978378241427,0.0337973273974859,0.1176165236634376,-0.3632113109656252,25.53
frc_cordapp_lr2e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0002,42.0,frc_cordapp_lr2e4_c256,True,False,False,2.519619123756399,8.820616845370857,0.1796400719087354,0.0303569990094039,0.1164004669726353,-0.2505729008782511,22.98
frc_cordapp_lr2e5_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),2e-05,42.0,frc_cordapp_lr2e5_c256,True,False,False,1.5196606330210325,4.05184459412315,0.1518140102888719,0.0440265986598354,0.1066191675196353,-0.6405439798790133,26.03
frc_cordapp_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0003,42.0,frc_cordapp_lr3e4_c256,True,False,False,3.281927361386587,10.176968385708232,0.1420936811147327,0.0314449329888804,0.1147481549895893,-0.1161682866705475,22.44
frc_cordapp_lr5e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0005,42.0,frc_cordapp_lr5e4_c256,True,True,False,1.7752485260895694,3.632882341142681,0.1887411152849674,0.0227098323750928,0.2506931930782489,1.0246703472520045,16.27
frc_cordapp_lr7e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,cordapp,CorDA++ (withheld),0.0007,42.0,frc_cordapp_lr7e4_c256,True,True,False,1.2069287404943685,1.7125810360857336,0.1852963766045258,0.0234652171176873,0.3221906041730837,1.4920056531492256,15.98
frc_dora_r32_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,dora,DoRA,0.0003,42.0,frc_dora_r32_lr3e4_c256,False,False,True,7.210838771736299,20.86886329780365,0.0802678696439447,0.0458391647863746,0.073671575079553,-0.0470623322490194,20.9
frc_dora_r32_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,dora,DoRA,0.0003,43.0,frc_dora_r32_lr3e4_c256,False,False,True,6.914366758444561,20.662163755285324,0.0792884639848702,0.0457085209882155,0.0731104924243888,-0.0287241512618947,22.78
frc_dora_r32_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,dora,DoRA,0.0003,44.0,frc_dora_r32_lr3e4_c256,False,False,True,7.232031456940945,20.87877233944694,0.0831334642481129,0.0456606266722044,0.0753582835089765,-0.037062711569998,21.15
frc_lora_l2_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,42.0,frc_lora_l2_lr3e4_c256,False,False,True,7.500934054462585,21.49889859651197,0.0695333310793881,0.0461806697339288,0.0655872244935032,-0.1443597191098548,21.7
frc_lora_l2_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,43.0,frc_lora_l2_lr3e4_c256,False,False,True,7.5469177684643265,21.56993788123892,0.0686657905725078,0.0462461893666891,0.0655359543277528,-0.1455117749555695,22.57
frc_lora_l2_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,44.0,frc_lora_l2_lr3e4_c256,False,False,True,7.453350380248687,21.438122011719887,0.0697401941927186,0.0463103862011474,0.0660469148229332,-0.1405614645449437,23.0
frc_lora_l2_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,45.0,frc_lora_l2_lr3e4_c256,False,False,True,7.391720298746203,21.433406228712844,0.0688855050990021,0.0462912887190256,0.065504997014331,-0.1347775437098209,23.38
frc_lora_null_lr1e3_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.001,42.0,frc_lora_null_lr1e3_c256,False,True,True,12.254565233539733,25.87678702811841,0.10025618170507,0.0476140569868148,0.109306789877308,0.8853555651186297,2.48
