metric,family,fd_bin,method,n,mean,sd
stable_rank_w,lrsw,-1.0,lora,10,1.809,0.459
stable_rank_w,lrsw,-1.0,lora_null,10,4.974,0.459
stable_rank_w,lrsw,-1.0,lorawd,14,3.051,1.327
stable_rank_w,lrsw,-1.0,milora,10,3.129,0.334
stable_rank_w,lrsw,-1.0,milorawd,2,6.018,2.635
stable_rank_w,lrsw,-1.0,clora,10,3.0,0.687
stable_rank_w,lrsw,-1.0,dora,9,1.766,0.456
stable_rank_w,lrsw,-1.0,sclora,4,8.351,0.93
stable_rank_w,lrsw,-0.5,lora,12,5.207,1.712
stable_rank_w,lrsw,-0.5,lora_null,12,7.155,0.949
stable_rank_w,lrsw,-0.5,lorawd,11,9.265,2.053
stable_rank_w,lrsw,-0.5,milora,12,6.495,1.951
stable_rank_w,lrsw,-0.5,clora,11,8.241,2.622
stable_rank_w,lrsw,-0.5,dora,6,4.035,0.623
stable_rank_w,lrsw,-0.5,sclora,11,11.214,3.133
stable_rank_w,lrsw,0.0,lora,3,9.962,0.017
stable_rank_w,lrsw,0.0,lora_null,3,10.389,0.108
stable_rank_w,lrsw,0.0,milora,3,15.02,0.068
stable_rank_w,lrsw,0.0,clora,5,16.327,0.245
stable_rank_w,lrsw,0.0,dora,3,6.95,0.06
stable_rank_w,lrsw,0.0,sclora,9,15.121,2.247
stable_rank_w,lrswm,-1.0,lorawd,9,3.529,1.062
stable_rank_w,lrswm,-1.0,milora,9,3.205,0.467
stable_rank_w,lrswm,-1.0,clora,12,4.032,1.444
stable_rank_w,lrswm,-1.0,sclora,5,9.048,1.195
stable_rank_w,lrswm,-0.5,lora,18,3.364,1.79
stable_rank_w,lrswm,-0.5,lorawd,12,7.969,4.73
stable_rank_w,lrswm,-0.5,milora,9,5.965,1.444
stable_rank_w,lrswm,-0.5,clora,9,11.068,3.346
stable_rank_w,lrswm,-0.5,dora,18,3.319,1.718
stable_rank_w,lrswm,-0.5,sclora,8,13.672,1.692
stable_rank_w,lrswm,0.0,lora,3,10.448,0.065
stable_rank_w,lrswm,0.0,milora,3,14.198,0.43
stable_rank_w,lrswm,0.0,dora,3,9.215,0.07
stable_rank_w,lrswm,0.0,sclora,2,18.698,0.075
stable_rank_w,qwsw,-1.0,lora,14,2.98,1.218
stable_rank_w,qwsw,-1.0,lora_null,13,6.624,1.224
stable_rank_w,qwsw,-1.0,lorawd,22,6.79,4.121
stable_rank_w,qwsw,-1.0,milora,15,8.099,1.224
stable_rank_w,qwsw,-1.0,clora,11,7.839,2.574
stable_rank_w,qwsw,-1.0,dora,6,3.57,1.462
stable_rank_w,qwsw,-1.0,sclora,9,11.252,2.756
stable_rank_w,qwsw,-0.5,lora,9,8.782,1.788
stable_rank_w,qwsw,-0.5,lora_null,5,10.426,0.767
stable_rank_w,qwsw,-0.5,milora,10,13.687,2.412
stable_rank_w,qwsw,-0.5,clora,6,16.718,1.181
stable_rank_w,qwsw,-0.5,dora,4,8.321,1.235
stable_rank_w,qwsw,-0.5,sclora,11,15.66,2.074
stable_rank_w,qwswm,-1.5,lora,18,4.153,1.376
stable_rank_w,qwswm,-1.5,lora_null,8,7.968,0.817
stable_rank_w,qwswm,-1.5,lorawd,13,5.867,2.38
stable_rank_w,qwswm,-1.5,milora,10,9.391,1.236
stable_rank_w,qwswm,-1.5,clora,9,8.676,2.086
stable_rank_w,qwswm,-1.5,dora,6,3.187,0.76
stable_rank_w,qwswm,-1.5,sclora,3,12.381,0.006
stable_rank_w,qwswm,-1.0,lora,19,9.214,2.506
stable_rank_w,qwswm,-1.0,lora_null,6,10.146,0.649
stable_rank_w,qwswm,-1.0,lorawd,9,14.043,1.737
stable_rank_w,qwswm,-1.0,milora,10,12.678,1.566
stable_rank_w,qwswm,-1.0,clora,6,15.812,2.34
stable_rank_w,qwswm,-1.0,dora,3,7.304,1.961
stable_rank_w,qwswm,-1.0,sclora,9,15.183,0.665
stable_rank_w,qwswm,-0.5,lora,8,14.82,2.91
stable_rank_w,qwswm,-0.5,lora_null,3,11.558,0.072
stable_rank_w,qwswm,-0.5,milora,2,18.159,0.047
stable_rank_w,qwswm,-0.5,clora,3,19.526,0.411
stable_rank_w,qwswm,-0.5,dora,2,10.884,0.288
stable_rank_w,qwswm,-0.5,sclora,8,18.101,1.234
stable_rank_w,frc,-1.0,lora_null,6,7.566,1.798
stable_rank_w,frc,-1.0,lorawd,49,4.289,2.482
stable_rank_w,frc,-1.0,milora,10,3.411,0.511
stable_rank_w,frc,-1.0,sclora,3,13.78,0.364
stable_rank_w,frc,-0.5,lora,16,5.866,1.921
stable_rank_w,frc,-0.5,lora_null,9,11.887,1.136
stable_rank_w,frc,-0.5,lorawd,61,9.321,3.614
stable_rank_w,frc,-0.5,lorawdr16,8,6.126,1.261
stable_rank_w,frc,-0.5,milora,25,6.714,1.647
stable_rank_w,frc,-0.5,clora,21,7.711,1.091
stable_rank_w,frc,-0.5,dora,3,7.119,0.178
stable_rank_w,frc,-0.5,sclora,8,13.614,1.274
stable_rank_w,frc,0.0,lora_null,8,16.335,0.175
stable_rank_w,frc,0.0,lorawd,8,13.706,1.307
stable_rank_w,frc,0.0,milora,13,13.624,1.413
stable_rank_w,frc,0.0,sclora,10,16.814,0.652
stable_rank_w,frc,0.0,pissa,4,18.058,0.04
stable_rank_w,frc,0.5,lora_null,3,12.312,0.246
stable_rank_w,frc,0.5,lorawd,3,12.441,0.471
stable_rank_w,frc,0.5,milora,2,12.504,0.508
stable_rank_w,frc,0.5,sclora,3,12.196,0.333
stable_rank_w,frm,-0.5,lora_null,4,24.261,2.968
stable_rank_w,frm,-0.5,lorawd,61,17.678,4.817
stable_rank_w,frm,-0.5,milora,5,12.74,3.809
stable_rank_w,frm,-0.5,sclora,3,23.802,0.007
stable_rank_w,frm,0.0,lora,3,23.244,0.102
stable_rank_w,frm,0.0,lorawd,10,25.028,4.557
stable_rank_w,frm,0.0,milora,5,26.005,3.146
stable_rank_w,frm,0.0,clora,10,25.549,0.258
stable_rank_w,frm,0.0,dora,3,19.266,0.175
stable_rank_w,frm,0.0,sclora,3,27.827,0.086
e_top_w,lrsw,-1.0,lora,10,0.068,0.004
e_top_w,lrsw,-1.0,lora_null,10,0.211,0.036
e_top_w,lrsw,-1.0,lorawd,14,0.07,0.003
e_top_w,lrsw,-1.0,milora,10,0.059,0.005
e_top_w,lrsw,-1.0,milorawd,2,0.071,0.004
e_top_w,lrsw,-1.0,clora,10,0.061,0.002
e_top_w,lrsw,-1.0,dora,9,0.067,0.004
e_top_w,lrsw,-1.0,sclora,4,0.092,0.001
e_top_w,lrsw,-0.5,lora,12,0.068,0.001
e_top_w,lrsw,-0.5,lora_null,12,0.134,0.028
e_top_w,lrsw,-0.5,lorawd,11,0.075,0.002
e_top_w,lrsw,-0.5,milora,12,0.068,0.002
e_top_w,lrsw,-0.5,clora,11,0.059,0.001
e_top_w,lrsw,-0.5,dora,6,0.07,0.002
e_top_w,lrsw,-0.5,sclora,11,0.094,0.013
e_top_w,lrsw,0.0,lora,3,0.08,0.001
e_top_w,lrsw,0.0,lora_null,3,0.087,0.006
e_top_w,lrsw,0.0,milora,3,0.079,0.001
e_top_w,lrsw,0.0,clora,5,0.067,0.005
e_top_w,lrsw,0.0,dora,3,0.084,0.002
e_top_w,lrsw,0.0,sclora,9,0.093,0.013
e_top_w,lrswm,-1.0,lorawd,9,0.069,0.001
e_top_w,lrswm,-1.0,milora,9,0.054,0.004
e_top_w,lrswm,-1.0,clora,12,0.06,0.001
e_top_w,lrswm,-1.0,sclora,5,0.104,0.005
e_top_w,lrswm,-0.5,lora,18,0.065,0.003
e_top_w,lrswm,-0.5,lorawd,12,0.069,0.006
e_top_w,lrswm,-0.5,milora,9,0.063,0.001
e_top_w,lrswm,-0.5,clora,9,0.059,0.001
e_top_w,lrswm,-0.5,dora,18,0.066,0.004
e_top_w,lrswm,-0.5,sclora,8,0.101,0.001
e_top_w,lrswm,0.0,lora,3,0.072,0.0
e_top_w,lrswm,0.0,milora,3,0.071,0.0
e_top_w,lrswm,0.0,dora,3,0.095,0.001
e_top_w,lrswm,0.0,sclora,2,0.094,0.0
e_top_w,qwsw,-1.0,lora,14,0.111,0.006
e_top_w,qwsw,-1.0,lora_null,13,0.177,0.024
e_top_w,qwsw,-1.0,lorawd,22,0.114,0.004
e_top_w,qwsw,-1.0,milora,15,0.059,0.016
e_top_w,qwsw,-1.0,clora,11,0.055,0.002
e_top_w,qwsw,-1.0,dora,6,0.111,0.005
e_top_w,qwsw,-1.0,sclora,9,0.121,0.036
e_top_w,qwsw,-0.5,lora,9,0.115,0.004
e_top_w,qwsw,-0.5,lora_null,5,0.123,0.007
e_top_w,qwsw,-0.5,milora,10,0.1,0.011
e_top_w,qwsw,-0.5,clora,6,0.055,0.004
e_top_w,qwsw,-0.5,dora,4,0.112,0.002
e_top_w,qwsw,-0.5,sclora,11,0.13,0.035
e_top_w,qwswm,-1.5,lora,18,0.124,0.001
e_top_w,qwswm,-1.5,lora_null,8,0.194,0.016
e_top_w,qwswm,-1.5,lorawd,13,0.123,0.003
e_top_w,qwswm,-1.5,milora,10,0.043,0.006
e_top_w,qwswm,-1.5,clora,9,0.055,0.003
e_top_w,qwswm,-1.5,dora,6,0.124,0.001
e_top_w,qwswm,-1.5,sclora,3,0.151,0.0
e_top_w,qwswm,-1.0,lora,19,0.114,0.003
e_top_w,qwswm,-1.0,lora_null,6,0.145,0.013
e_top_w,qwswm,-1.0,lorawd,9,0.114,0.003
e_top_w,qwswm,-1.0,milora,10,0.076,0.011
e_top_w,qwswm,-1.0,clora,6,0.049,0.001
e_top_w,qwswm,-1.0,dora,3,0.114,0.003
e_top_w,qwswm,-1.0,sclora,9,0.157,0.002
e_top_w,qwswm,-0.5,lora,8,0.111,0.003
e_top_w,qwswm,-0.5,lora_null,3,0.115,0.001
e_top_w,qwswm,-0.5,milora,2,0.102,0.001
e_top_w,qwswm,-0.5,clora,3,0.05,0.0
e_top_w,qwswm,-0.5,dora,2,0.111,0.0
e_top_w,qwswm,-0.5,sclora,8,0.145,0.009
e_top_w,frc,-1.0,lora_null,6,0.128,0.011
e_top_w,frc,-1.0,lorawd,49,0.071,0.004
e_top_w,frc,-1.0,milora,10,0.063,0.004
e_top_w,frc,-1.0,sclora,3,0.035,0.0
e_top_w,frc,-0.5,lora,16,0.068,0.001
e_top_w,frc,-0.5,lora_null,9,0.099,0.005
e_top_w,frc,-0.5,lorawd,61,0.073,0.005
e_top_w,frc,-0.5,lorawdr16,8,0.072,0.0
e_top_w,frc,-0.5,milora,25,0.068,0.001
e_top_w,frc,-0.5,clora,21,0.06,0.003
e_top_w,frc,-0.5,dora,3,0.081,0.002
e_top_w,frc,-0.5,sclora,8,0.075,0.0
e_top_w,frc,0.0,lora_null,8,0.086,0.001
e_top_w,frc,0.0,lorawd,8,0.075,0.003
e_top_w,frc,0.0,milora,13,0.076,0.003
e_top_w,frc,0.0,sclora,10,0.079,0.002
e_top_w,frc,0.0,pissa,4,0.221,0.0
e_top_w,frc,0.5,lora_null,3,0.099,0.002
e_top_w,frc,0.5,lorawd,3,0.095,0.002
e_top_w,frc,0.5,milora,2,0.093,0.0
e_top_w,frc,0.5,sclora,3,0.1,0.001
