family,method,lr,cell,n_seeds,adapt_mean,adapt_sd,stable_rank_w_mean,stable_rank_w_sd,eff_rank_w_mean,eff_rank_w_sd,e_top_w_mean,e_top_w_sd,e_bot_w_mean,e_bot_w_sd,amp_top_w_mean,amp_top_w_sd
lrsw,lora,0.0003,lrsw_lora_r16_lr3e4,4,79.17,0.2,4.749,0.014,11.54,0.015,0.067,0.0,0.046,0.0,0.066,0.0
lrsw,dora,0.0005,lrsw_dora_r16_lr5e4,3,76.233,1.65,6.95,0.06,13.328,0.072,0.084,0.002,0.045,0.0,0.077,0.001
lrsw,milorawd,0.0005,lrsw_milorawd_wd0p3_r32_lr5e4,1,80.22,,7.881,,20.976,,0.074,,0.065,,0.074,
lrsw,sclora,5e-05,lrsw_sclora_r32_lr5e5,3,80.613,0.41,8.339,1.415,32.31,3.671,0.098,0.013,0.037,0.001,0.183,0.036
lrsw,lora_null,0.0005,lrsw_lora_null_r16_lr5e4,4,78.865,0.166,8.358,0.065,15.728,0.127,0.107,0.013,0.042,0.0,0.088,0.009
lrsw,milora,0.0005,lrsw_milora_r32_lr5e4,4,77.192,0.42,9.024,0.071,20.824,0.076,0.07,0.001,0.061,0.0,0.065,0.0
lrsw,lorawd,0.0005,lrsw_lorawd_wd0p3_lr5e4,4,81.75,0.168,10.652,0.048,23.729,0.079,0.075,0.0,0.046,0.0,0.073,0.0
lrsw,clora,0.0005,lrsw_clora_k1024_lr5e4,4,78.29,0.249,11.385,0.135,25.629,0.043,0.058,0.0,0.046,0.0,0.056,0.0
lrswm,dora,0.0003,lrswm_dora_r16_lr3e4,3,46.45,1.037,4.454,0.019,11.133,0.051,0.065,0.0,0.048,0.0,0.065,0.0
lrswm,lora,0.0003,lrswm_lora_r16_lr3e4,3,47.817,1.218,4.534,0.115,11.295,0.112,0.065,0.0,0.048,0.0,0.065,0.0
lrswm,milora,0.0003,lrswm_milora_r32_lr3e4,3,47.613,0.723,5.483,0.068,15.801,0.049,0.063,0.0,0.101,0.0,0.064,0.0
lrswm,clora,0.0003,lrswm_clora_k1024_lr3e4,3,48.62,1.091,7.608,0.075,22.399,0.088,0.058,0.0,0.049,0.0,0.056,0.0
lrswm,lorawd,0.0005,lrswm_lorawd_wd0p3_lr5e4,3,50.67,1.325,9.9,0.067,23.599,0.037,0.071,0.001,0.048,0.0,0.07,0.0
lrswm,sclora,0.0001,lrswm_sclora_r32_lr1e4,2,59.095,0.375,11.482,0.01,35.528,0.018,0.102,0.0,0.037,0.0,0.183,0.0
qwsw,lora,7e-05,qwsw_lora_r16_lr7e5,1,87.47,,2.603,,7.12,,0.115,,0.092,,0.075,
qwsw,dora,0.0001,qwsw_dora_r16_lr1e4,1,86.8,,3.11,,8.582,,0.115,,0.092,,0.074,
qwsw,lorawd,7e-05,qwsw_lorawd_wd0p3_lr7e5,1,87.77,,3.394,,11.877,,0.116,,0.093,,0.075,
qwsw,clora,0.0001,qwsw_clora_k1024_lr1e4,4,87.015,0.19,4.939,0.012,17.435,0.091,0.058,0.0,0.043,0.0,0.047,0.0
