run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,on_pool,forgetting_ce,base_entropy,forgetting_kl,log10_fdelta,retention_mean
frc_clora_k1024_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k1024_lr3e4_c256,False,False,True,2.2697829769998994,1.8520239240816387,0.4177590529182606,-0.3552660725528074,24.3
frc_clora_k1024_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k1024_lr3e4_c256,False,False,True,2.300955573423611,1.8520239240816387,0.4489316493419721,-0.3557584141562713,24.32
frc_clora_k1024_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,44.0,frc_clora_k1024_lr3e4_c256,False,False,True,2.300719129400923,1.8520239240816387,0.4486952053192841,-0.3454384452582567,24.54
frc_clora_k1024_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k1024_lr3e4_c256,False,False,True,2.209820737932891,1.810069211692996,0.3997515262398952,-0.3364875295848444,23.36
frc_clora_k128_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k128_lr3e4_c256,False,False,True,2.408633733779311,1.8520239240816387,0.5566098096976724,-0.2146701649892329,22.64
frc_clora_k128_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k128_lr3e4_c256,False,False,True,2.4122848917806365,1.8520239240816387,0.5602609676989978,-0.2098556349570994,22.88
frc_clora_k128_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,44.0,frc_clora_k128_lr3e4_c256,False,False,True,2.3643913779739862,1.810069211692996,0.5543221662809905,-0.2219935385764916,22.92
frc_clora_k128_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k128_lr3e4_c256,False,False,True,2.3616478338653977,1.810069211692996,0.5515786221724019,-0.1986649043254534,22.29
frc_clora_k2048_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k2048_lr3e4_c256,False,False,True,2.171742758854179,1.8520239240816387,0.3197188347725404,-0.4639468448407953,25.02
frc_clora_k2048_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k2048_lr3e4_c256,False,False,True,2.189928495759926,1.8520239240816387,0.3379045716782873,-0.4539511335982656,25.27
