family,fd_bin,method,n,mean,sd
lrsw,-1.0,lora,10,0.216,0.086
lrsw,-1.0,lora_null,10,0.085,0.032
lrsw,-1.0,lorawd,14,0.192,0.067
lrsw,-1.0,milora,10,0.1,0.06
lrsw,-1.0,milorawd,2,0.149,0.0
lrsw,-1.0,clora,10,0.104,0.054
lrsw,-1.0,dora,9,0.242,0.074
lrsw,-1.0,sclora,4,0.154,0.009
lrsw,-0.5,lora,12,0.461,0.19
lrsw,-0.5,lora_null,12,0.376,0.143
lrsw,-0.5,lorawd,11,0.218,0.092
lrsw,-0.5,milora,12,0.485,0.205
lrsw,-0.5,clora,11,0.459,0.157
lrsw,-0.5,dora,6,0.349,0.084
lrsw,-0.5,sclora,11,0.424,0.171
lrsw,0.0,lora,3,1.072,0.008
lrsw,0.0,lora_null,3,0.93,0.027
lrsw,0.0,milora,3,1.369,0.026
lrsw,0.0,clora,5,1.491,0.62
lrsw,0.0,dora,3,0.714,0.008
lrsw,0.0,sclora,9,2.091,1.454
lrswm,-1.0,lorawd,9,0.199,0.043
lrswm,-1.0,milora,9,0.142,0.075
lrswm,-1.0,clora,12,0.165,0.076
lrswm,-1.0,sclora,5,0.182,0.03
lrswm,-0.5,lora,18,0.326,0.2
lrswm,-0.5,lorawd,12,0.314,0.108
lrswm,-0.5,milora,9,0.541,0.153
lrswm,-0.5,clora,9,0.713,0.317
lrswm,-0.5,dora,18,0.309,0.219
lrswm,-0.5,sclora,8,0.731,0.311
lrswm,0.0,lora,3,1.287,0.053
lrswm,0.0,milora,3,1.656,0.07
lrswm,0.0,dora,3,1.853,0.417
lrswm,0.0,sclora,2,2.462,0.128
qwsw,-1.0,lora,8,0.138,0.104
qwsw,-1.0,lora_null,8,0.16,0.123
qwsw,-1.0,lorawd,13,0.151,0.073
qwsw,-1.0,milora,9,0.305,0.16
qwsw,-1.0,clora,8,0.273,0.135
qwsw,-1.0,dora,2,0.283,0.007
qwsw,-1.0,sclora,5,0.136,0.06
qwsw,-0.5,lora,6,0.761,0.335
qwsw,-0.5,lora_null,3,0.793,0.166
qwsw,-0.5,milora,7,1.009,0.429
qwsw,-0.5,clora,4,0.848,0.169
qwsw,-0.5,dora,2,0.901,0.25
qwsw,-0.5,sclora,7,0.82,0.383
qwswm,-1.5,lora,12,0.039,0.021
qwswm,-1.5,lora_null,5,0.046,0.023
qwswm,-1.5,lorawd,8,0.044,0.02
qwswm,-1.5,milora,7,0.113,0.052
qwswm,-1.5,clora,6,0.052,0.027
qwswm,-1.5,dora,3,0.033,0.017
qwswm,-1.5,sclora,2,0.045,0.0
qwswm,-1.0,lora,13,0.199,0.133
qwswm,-1.0,lora_null,4,0.127,0.03
qwswm,-1.0,lorawd,5,0.14,0.055
qwswm,-1.0,milora,5,0.295,0.053
qwswm,-1.0,clora,4,0.148,0.047
qwswm,-1.0,sclora,4,0.239,0.158
qwswm,-0.5,lora,6,1.176,0.741
qwswm,-0.5,clora,2,0.734,0.005
qwswm,-0.5,sclora,5,1.322,0.769
frc,-1.0,lora_null,6,0.21,0.096
frc,-1.0,lorawd,49,0.151,0.062
frc,-1.0,milora,10,0.137,0.066
frc,-1.0,sclora,3,0.184,0.07
frc,-0.5,lora,16,0.492,0.155
frc,-0.5,lora_null,9,0.652,0.123
frc,-0.5,lorawd,61,0.351,0.158
frc,-0.5,lorawdr16,8,0.131,0.004
frc,-0.5,milora,25,0.514,0.167
frc,-0.5,clora,21,0.459,0.091
frc,-0.5,dora,3,0.646,0.012
frc,-0.5,sclora,8,0.589,0.148
frc,0.0,lora_null,8,1.301,0.185
frc,0.0,lorawd,8,1.164,0.171
frc,0.0,milora,13,1.199,0.189
frc,0.0,sclora,10,1.322,0.349
frc,0.0,pissa,4,1.977,0.098
frc,0.5,lora_null,3,6.75,2.499
frc,0.5,lorawd,3,4.153,1.187
frc,0.5,milora,2,5.727,1.878
frc,0.5,sclora,3,7.894,0.702
frm,-0.5,lora_null,4,1.131,0.268
frm,-0.5,lorawd,61,0.52,0.235
frm,-0.5,milora,5,0.847,0.24
frm,-0.5,sclora,3,1.18,0.022
frm,0.0,lora,3,1.739,0.02
frm,0.0,lorawd,10,2.606,1.569
frm,0.0,milora,5,2.791,1.374
frm,0.0,clora,10,1.523,0.103
frm,0.0,dora,3,2.425,0.425
frm,0.0,sclora,3,2.014,0.02
