run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,straggler,on_pool,cs_avg,gsm8k,adapt_task,bbh,mmlu_pro,mmlu,arc_c,truthfulqa,retention_mean,retention_broad,fdelta,dw_sv_max,dw_sv_mean,adapt,fro_total,spec_max,spec_mean,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,forgetting_ce,base_entropy,forgetting_kl,log10_fdelta,log10_spec_max,log10_fro_total,log10_dw_sv_max,log10_dw_sv_mean
frc_clora_k1024_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k1024_lr3e4_c256,False,False,False,True,80.14,,cs,31.72,16.88,43.52,39.51,31.96,24.3,32.72,0.4413,21.1078,9.9019,80.14,370.6636015854243,21.114238739013672,9.903950087726116,7.465596397687664,22.098794024618247,0.058315760060984205,0.047342016639686485,0.056483724234019615,2.2697829769998994,1.8520239240816387,0.41775905291826065,-0.3552660725528074,1.3245754278208093,2.5689799412852596,1.3244429705103977,0.9957185360464158
frc_clora_k1024_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k1024_lr3e4_c256,False,False,False,True,59.72,,cs,32.05,16.6,36.79,37.88,35.14,24.32,31.69,0.4408,21.1398,9.9653,59.72,371.1311637703504,21.145610809326172,9.967087025940419,7.44785036999762,22.07402706618889,0.05843810505113093,0.04733963884388404,0.05657456759543041,2.300955573423611,1.8520239240816387,0.44893164934197216,-0.35575841415627135,1.3252202346372592,2.5695274234548164,1.3251008742056904,0.998490377435244
frc_clora_k1024_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,44.0,frc_clora_k1024_lr3e4_c256,False,False,False,True,79.93,,cs,32.59,16.5,38.71,39.42,35.1,24.54,32.46,0.4514,20.1383,9.9465,79.93,371.14403562842637,20.144256591796875,9.948599003255367,7.4604129749533135,22.128028477455025,0.058483365432449454,0.04726851219065712,0.05662746526064407,2.300719129400923,1.8520239240816387,0.4486952053192841,-0.34543844525825673,1.3041512447183028,2.569542485730747,1.3040228062483517,0.9976702869676901
frc_clora_k1024_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k1024_lr3e4_c256,False,False,False,True,79.71,,cs,31.15,15.58,39.61,38.4,36.97,23.36,32.34,0.4608,20.5513,9.9838,79.71,370.6602700785272,20.554834365844727,9.986488905549049,7.347158193279949,21.964719353277708,0.05882354241924175,0.04729036574456235,0.056771205877144716,2.209820737932891,1.8100692116929957,0.3997515262398952,-0.3364875295848444,1.3129139815158102,2.568976037849482,1.3128392989599895,0.9992958724418771
frc_clora_k128_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k128_lr3e4_c256,False,False,False,True,79.53,,cs,29.96,15.33,35.59,35.67,33.18,22.64,29.95,0.61,28.765,12.9739,79.53,495.2318396365657,28.76190185546875,12.974754011631012,8.814808413358941,23.96263260813208,0.06317497775439465,0.04604527948416902,0.06111704501117328,2.408633733779311,1.8520239240816387,0.5566098096976724,-0.21467016498923297,1.4588176000010653,2.6948085587381243,1.458864378361518,1.1130705461596802
frc_clora_k128_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k128_lr3e4_c256,False,False,False,True,78.91,,cs,31.09,14.66,37.04,36.69,33.77,22.88,30.65,0.6168,28.7719,13.1514,78.91,495.0759905431478,28.767335891723633,13.15238164961338,8.55526439630947,23.616135017848197,0.06321138754405234,0.045953857243561685,0.061324232269626265,2.4122848917806365,1.8520239240816387,0.5602609676989978,-0.20985563495709944,1.4588996442644484,2.694671865076261,1.4589685421916687,1.118971987039563
frc_clora_k128_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,44.0,frc_clora_k128_lr3e4_c256,False,False,False,True,79.21,,cs,29.95,15.89,33.24,37.71,33.96,22.92,30.15,0.5998,29.9815,12.8899,79.21,495.1471716870849,29.979999542236328,12.891291639208793,8.91212388943116,24.007522232909757,0.06309121074952964,0.046278947027695236,0.06110758669374298,2.3643913779739862,1.8100692116929957,0.5543221662809905,-0.22199353857649168,1.476831621881032,2.694734302674693,1.4768533571789215,1.1102495481046324
frc_clora_k128_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,45.0,frc_clora_k128_lr3e4_c256,False,False,False,True,69.69,,cs,30.56,14.02,33.49,38.57,33.84,22.29,30.1,0.6329,30.5106,13.1027,69.69,494.95934840625586,30.51935386657715,13.103454351425171,8.613040690293094,23.821291540443113,0.0634017760709365,0.04605613608848565,0.06131483183450961,2.3616478338653977,1.8100692116929957,0.5515786221724019,-0.19866490432545342,1.4845753348152624,2.694569531281393,1.4844507482562046,1.1173607975090305
frc_clora_k2048_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,42.0,frc_clora_k2048_lr3e4_c256,False,False,False,True,68.53,,cs,32.51,17.54,44.17,40.7,35.02,25.02,33.99,0.3436,16.4748,8.3793,68.53,293.1415066332131,16.493898391723633,8.38305759653449,5.956689094837085,18.9361682783548,0.05445072380749889,0.04895204183021555,0.052762462312051485,2.171742758854179,1.8520239240816387,0.3197188347725404,-0.4639468448407953,1.217323314826987,2.467077315625492,1.216820151070381,0.9232077395329982
frc_clora_k2048_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,clora,CLoRA,0.0003,43.0,frc_clora_k2048_lr3e4_c256,False,False,False,True,75.63,,cs,33.64,16.9,44.86,40.02,37.83,25.27,34.65,0.3516,17.5681,8.4944,75.63,293.7223695573525,17.571374893188477,8.497913520038129,5.863729316438789,18.76077019098201,0.05447111357040687,0.04855671137752721,0.05275055733866241,2.189928495759926,1.8520239240816387,0.33790457167828736,-0.45395113359826567,1.2448057447146244,2.4679370231498714,1.2447247948399311,0.9291327079970818
