family,method,method_cell,ref_cell,mode,d_adapt,t_adapt,df_adapt,p_adapt,lo_adapt,hi_adapt,d_ret,t_ret,df_ret,p_ret,lo_ret,hi_ret,p_ret_holm_family,p_ret_holm_all,p_adapt_holm_family,p_adapt_holm_all,ret_verdict_holm,adapt_verdict_holm
llama_cs,SC-LoRA,5e-5,5e-4,paired(n=3),-1.19,-8.2053,2,0.0145,-1.814,-0.566,-1.33,-1.5121,2,0.2696,-5.1145,2.4545,0.2696,1.0,0.0291,0.2325,n.s.,n.s.
llama_cs,LoRA,3e-4,5e-4,paired(n=4),-2.58,-15.3501,3,0.0006,-3.1149,-2.0451,-2.0,-4.7318,3,0.0179,-3.3451,-0.6549,0.0451,0.2684,0.0018,0.0132,n.s.,WORSE
llama_cs,LoRA-Null,5e-4,5e-4,paired(n=4),-2.885,-35.3118,3,0.0,-3.145,-2.625,-4.0975,-5.5948,3,0.0113,-6.4282,-1.7668,0.0451,0.2256,0.0002,0.0012,n.s.,WORSE
llama_cs,CLoRA,5e-4 k1024,5e-4,paired(n=4),-3.46,-38.2482,3,0.0,-3.7479,-3.1721,-4.255,-11.3988,3,0.0014,-5.443,-3.067,0.0087,0.0348,0.0002,0.001,WORSE,WORSE
llama_cs,DoRA,5e-4,5e-4,paired(n=3),-5.57,-6.4531,2,0.0232,-9.2838,-1.8562,-6.7767,-8.9222,2,0.0123,-10.0446,-3.5087,0.0451,0.2256,0.0291,0.3246,n.s.,n.s.
llama_cs,MiLoRA,5e-4,5e-4,paired(n=4),-4.5575,-22.668,3,0.0002,-5.1973,-3.9177,-4.425,-8.4668,3,0.0035,-6.0882,-2.7618,0.0173,0.0796,0.0008,0.0043,n.s.,WORSE
llama_math,LoRA,1e-4,2e-4,paired(n=3),-2.8067,-4.9488,2,0.0385,-5.2469,-0.3665,-2.28,-3.4151,2,0.0761,-5.1526,0.5926,0.1522,0.6848,0.077,0.4619,n.s.,n.s.
llama_math,MiLoRA,1e-4,2e-4,paired(n=3),-3.11,-3.5529,2,0.0709,-6.8763,0.6563,-1.1333,-2.0866,2,0.1722,-3.4703,1.2036,0.1722,1.0,0.077,0.7799,n.s.,n.s.
llama_math,CLoRA,3e-4 k256,2e-4,paired(n=3),-6.14,-26.1731,2,0.0015,-7.1494,-5.1306,-4.94,-9.1061,2,0.0118,-7.2742,-2.6058,0.0592,0.2256,0.0087,0.0306,n.s.,WORSE
llama_math,SC-LoRA,1e-4,2e-4,paired(n=3),-6.32,-8.4674,2,0.0137,-9.5315,-3.1085,-5.6333,-6.4718,2,0.0231,-9.3786,-1.8881,0.0922,0.3018,0.0546,0.2323,n.s.,n.s.
llama_math,DoRA,3e-4,2e-4,paired(n=3),-7.6067,-10.3011,2,0.0093,-10.7839,-4.4295,-5.4867,-6.127,2,0.0256,-9.3397,-1.6337,0.0922,0.3074,0.0465,0.1859,n.s.,n.s.
llama_math,LoRA-Null,2e-4,2e-4,paired(n=3),-4.93,-6.9882,2,0.0199,-7.9654,-1.8946,-4.6767,-10.1409,2,0.0096,-6.6609,-2.6924,0.0575,0.2013,0.0596,0.298,n.s.,n.s.
llama_math,PiSSA,3e-4,2e-4,welch(1v3),-17.1333,,0,,,,-26.3433,,0,,,,,,,,n.t.,n.t.
