family,method,n_common_seeds,cell_sd_ret,sd_paired_diff,mde_pp
llama_cs,SC-LoRA,3,4.157,1.523,4.973
llama_cs,LoRA,4,0.317,0.845,1.799
llama_cs,LoRA-Null,4,0.498,1.465,3.117
llama_cs,CLoRA,4,0.322,0.747,1.589
llama_cs,DoRA,3,0.28,1.316,4.294
llama_cs,MiLoRA,4,0.486,1.045,2.224
llama_math,LoRA,3,1.155,1.156,3.774
llama_math,MiLoRA,3,0.813,0.941,3.071
llama_math,CLoRA,3,0.584,0.94,3.067
llama_math,SC-LoRA,3,1.971,1.508,4.921
llama_math,DoRA,3,1.075,1.551,5.063
llama_math,LoRA-Null,3,0.631,0.799,2.607
llama_math,PiSSA,1,,,
qwen_cs,SC-LoRA,3,7.085,15.286,49.894
qwen_cs,LoRA,3,0.847,0.547,1.786
qwen_cs,LoRA-Null,3,0.805,0.503,1.641
qwen_cs,CLoRA,3,0.849,0.339,1.108
qwen_cs,DoRA,3,5.021,0.442,1.444
qwen_cs,MiLoRA,3,0.413,0.548,1.79
qwen_math,SC-LoRA,3,0.666,0.526,1.716
qwen_math,LoRA,3,0.818,1.682,5.491
qwen_math,LoRA(r32),2,1.447,2.92,33.73
qwen_math,LoRA-Null,3,0.824,0.6,1.959
qwen_math,CLoRA,3,0.963,0.403,1.314
qwen_math,DoRA,2,0.318,0.389,4.492
qwen_math,MiLoRA,3,1.032,1.611,5.259
