run                                       F_D       CE       KL spec_max    ret  adapt
lrsw_lorarep05_r16_lr3e4_s42               --    2.248    0.437   47.113     --     --
lrsw_lorarep05_r16_lr3e4_s43               --    2.204    0.394   44.704     --     --
lrsw_lorarep05_r16_lr5e4_s42               --    2.465    0.655   80.677     --     --
lrsw_lorarep05_r16_lr5e4_s43               --    2.462    0.651   91.021     --     --
lrsw_dorawd_wd0p3_r16_lr2e4_s42            --   20.833   19.023  112.833     --     --
lrsw_dorawd_wd0p3_r16_lr5e4_s42            --   10.369    8.559 1183.100     --     --
lrsw_lora_r16_lr3e4_s42                 0.623    2.307    0.455   40.674 24.420 79.110
lrsw_lora_r16_lr3e4_s43                 0.626    2.254    0.402   50.731 23.760 79.170
lrsw_lora_r16_lr5e4_s42                 0.924    2.551    0.699   88.291 20.560 77.300
lrsw_lora_r16_lr5e4_s43                 0.928    2.526    0.716   98.255 22.070 76.990
lrsw_dora_r16_lr2e4_s42                 0.445    2.126    0.274   38.857 24.840 78.270
lrsw_dora_r16_lr5e4_s42                 1.214    2.574    0.722  202.542 17.800 74.360
lrsw_milorawd_wd0p3_r32_lr2e4_s42       0.248    1.959    0.149   16.154 27.990 59.980
lrsw_milorawd_wd0p3_r32_lr5e4_s42       0.296    1.959    0.149   24.727 26.660 80.220
lrsw_milora_r32_lr2e4_s42               0.398    2.121    0.269   30.301 25.840 75.120
lrsw_milora_r32_lr5e4_s42               0.840    2.600    0.748  128.732 20.760 76.740
