architecture,design,run,C-B_retention_mean,D-A_retention_mean,B-A_retention_mean,C-A_retention_mean,C-B_cs_avg,D-A_cs_avg,B-A_cs_avg,C-A_cs_avg,C-B_fdelta,D-A_fdelta,B-A_fdelta,C-A_fdelta,C-B_bbh,D-A_bbh,B-A_bbh,C-A_bbh,C-B_mmlu_pro,D-A_mmlu_pro,B-A_mmlu_pro,C-A_mmlu_pro,E-B_retention_mean
Llama,LoRA+wd,tia1_frc_lorawd_wd0p3_lr5e4_s43,2.72,-4.63,-1.89,0.83,58.88,-71.19,-77.19,-18.31,-0.0402,0.0465,-0.0276,-0.0678,0.59,-0.96,0.37,0.96,4.85,-8.29,-4.14,0.71,3.2
Llama,CLoRA,tia1_frc_clora_k1024_lr3e4_s44,2.15,-4.71,1.15,3.3,29.12,-47.88,-32.69,-3.57,-0.0122,0.0189,-0.1118,-0.124,2.45,-2.0,2.29,4.74,1.85,-7.43,0.0,1.85,0.53
Llama,MiLoRA,tia1_frc_milora_lr3e4_s43,6.2,-12.35,-4.4,1.8,77.94,-64.06,-78.94,-1.0,-0.125,0.1952,-0.0878,-0.2128,4.52,-11.41,-1.93,2.59,7.86,-13.29,-6.86,1.0,6.08
Llama,LoRA,tia1_frc_lora_r16_lr3e4_s43,4.46,-19.88,1.38,5.84,65.63,-78.32,-68.57,-2.94,-0.1374,0.3236,-0.158,-0.2954,4.07,-26.89,1.63,5.7,4.85,-12.85,1.15,6.0,
Llama,LoRA-Null,tia1_frc_loranull_r16_lr5e4_s43,24.32,-22.04,-18.96,5.36,77.06,-78.5,-78.0,-0.94,-0.5298,1.0266,0.2505,-0.2793,29.78,-32.52,-26.37,3.41,18.86,-11.57,-11.57,7.29,
Qwen,LoRA,tia1_qwsw_lora_r16_lr5e5_s43,0.4,-1.37,0.24,0.64,0.57,-3.94,0.37,0.94,0.0007,-0.0007,-0.0158,-0.0151,0.96,-1.03,1.04,2.0,-0.14,-1.71,-0.57,-0.71,0.72
Qwen,MiLoRA,tia1_qwsw_milora_lr1e4_s43,-0.34,0.7,0.77,0.43,0.69,-0.56,-0.5,0.19,-0.0032,0.0033,-0.0019,-0.0051,1.04,-0.74,-1.04,0.0,-1.72,2.14,2.57,0.85,0.2
Qwen,LoRA+wd,tia1_qwsw_lorawd_wd0p3_lr1e4_s43,0.24,-0.25,0.67,0.91,1.38,-1.12,-1.0,0.38,-0.0109,0.0121,-0.0036,-0.0145,1.04,-2.07,-0.66,0.38,-0.57,1.57,2.0,1.43,-0.19
Qwen,CLoRA 2e-4,tia1_qwsw_clora_k1024_lr2e4_s43,1.92,-2.69,2.02,3.94,2.37,-2.69,-1.25,1.12,-0.0337,0.0439,-0.0264,-0.0601,1.56,-2.66,1.04,2.6,2.29,-2.71,3.0,5.29,
Qwen,CLoRA 3e-4,tia1_qwsw_clora_k1024_lr3e4_s43,1.81,-3.83,4.88,6.69,4.82,-6.81,-2.44,2.38,-0.0356,0.0484,-0.0424,-0.078,1.48,-0.81,4.6,6.08,2.14,-6.85,5.15,7.29,1.69
Qwen,LoRA-Null,tia1_qwsw_loranull_r16_lr2e4_s43,7.52,-14.66,-3.26,4.26,54.31,-83.06,-53.68,0.63,-0.0664,0.0956,0.0096,-0.0568,5.33,-10.74,-2.52,2.81,9.72,-18.57,-4.0,5.72,
