model,method,lr,run,intruder_frac,intruder_energy,arm,fdelta,task,retention
Llama-2-7B,LoRA+wd,5e-4,tia1_frc_lorawd_wd0p3_lr5e4_s43,0.5675,0.43257314482470977,A,0.3951,80.0,24.87
Llama-2-7B,LoRA+wd,5e-4,tia1_frc_lorawd_wd0p3_lr5e4_s43,0.5675,0.43257314482470977,B,0.3675,2.81,22.98
Llama-2-7B,LoRA+wd,5e-4,tia1_frc_lorawd_wd0p3_lr5e4_s43,0.5675,0.43257314482470977,C,0.3273,61.69,25.7
Llama-2-7B,LoRA+wd,5e-4,tia1_frc_lorawd_wd0p3_lr5e4_s43,0.5675,0.43257314482470977,D,0.4416,8.81,20.24
Llama-2-7B,LoRA+wd,5e-4,tia1_frc_lorawd_wd0p3_lr5e4_s43,0.5675,0.43257314482470977,E,0.3261,55.12,26.18
Llama-2-7B,LoRA+wd,5e-4,tia1_frc_lorawd_wd0p3_lr5e4_s43,0.5675,0.43257314482470977,Ep,0.2201,31.25,27.17
Llama-2-7B,LoRA+wd,5e-4,tia1_frc_lorawd_wd0p3_lr5e4_s43,0.5675,0.43257314482470977,F,0.4319,2.69,4.26
Llama-2-7B,MiLoRA,3e-4,tia1_frc_milora_lr3e4_s43,0.784375,0.5534146430902183,A,0.5577,80.0,24.28
Llama-2-7B,MiLoRA,3e-4,tia1_frc_milora_lr3e4_s43,0.784375,0.5534146430902183,B,0.4699,1.06,19.88
Llama-2-7B,MiLoRA,3e-4,tia1_frc_milora_lr3e4_s43,0.784375,0.5534146430902183,C,0.3449,79.0,26.08
Llama-2-7B,MiLoRA,3e-4,tia1_frc_milora_lr3e4_s43,0.784375,0.5534146430902183,D,0.7529,15.94,11.93
Llama-2-7B,MiLoRA,3e-4,tia1_frc_milora_lr3e4_s43,0.784375,0.5534146430902183,E,,,
Llama-2-7B,MiLoRA,3e-4,tia1_frc_milora_lr3e4_s43,0.784375,0.5534146430902183,Ep,,,
Llama-2-7B,MiLoRA,3e-4,tia1_frc_milora_lr3e4_s43,0.784375,0.5534146430902183,F,,,
Llama-2-7B,CLoRA,3e-4,tia1_frc_clora_k1024_lr3e4_s44,0.62,0.46144746540812775,A,0.4402,76.19,24.4
Llama-2-7B,CLoRA,3e-4,tia1_frc_clora_k1024_lr3e4_s44,0.62,0.46144746540812775,B,,,
Llama-2-7B,CLoRA,3e-4,tia1_frc_clora_k1024_lr3e4_s44,0.62,0.46144746540812775,C,,,
Llama-2-7B,CLoRA,3e-4,tia1_frc_clora_k1024_lr3e4_s44,0.62,0.46144746540812775,D,,,
Llama-2-7B,CLoRA,3e-4,tia1_frc_clora_k1024_lr3e4_s44,0.62,0.46144746540812775,E,,,
Llama-2-7B,CLoRA,3e-4,tia1_frc_clora_k1024_lr3e4_s44,0.62,0.46144746540812775,Ep,,,
Llama-2-7B,CLoRA,3e-4,tia1_frc_clora_k1024_lr3e4_s44,0.62,0.46144746540812775,F,,,
Qwen2.5-7B,LoRA+wd,1e-4,tia1_qwsw_lorawd_wd0p3_lr1e4_s43,,,A,,,
Qwen2.5-7B,LoRA+wd,1e-4,tia1_qwsw_lorawd_wd0p3_lr1e4_s43,,,B,,,
Qwen2.5-7B,LoRA+wd,1e-4,tia1_qwsw_lorawd_wd0p3_lr1e4_s43,,,C,,,
Qwen2.5-7B,LoRA+wd,1e-4,tia1_qwsw_lorawd_wd0p3_lr1e4_s43,,,D,,,
Qwen2.5-7B,LoRA+wd,1e-4,tia1_qwsw_lorawd_wd0p3_lr1e4_s43,,,E,,,
Qwen2.5-7B,LoRA+wd,1e-4,tia1_qwsw_lorawd_wd0p3_lr1e4_s43,,,Ep,,,
Qwen2.5-7B,LoRA+wd,1e-4,tia1_qwsw_lorawd_wd0p3_lr1e4_s43,,,F,,,
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,,,A,,,
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,,,B,,,
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,,,C,,,
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,,,D,,,
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,,,E,,,
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,,,Ep,,,
Qwen2.5-7B,MiLoRA,1e-4,tia1_qwsw_milora_lr1e4_s43,,,F,,,
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,,,A,,,
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,,,B,,,
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,,,C,,,
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,,,D,,,
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,,,E,,,
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,,,Ep,,,
Qwen2.5-7B,SC-LoRA,2e-5,tia1_qwsw_sclora_lr2e5_s43,,,F,,,
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s44,,,A,,,
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s44,,,B,,,
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s44,,,C,,,
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s44,,,D,,,
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s44,,,E,,,
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s44,,,Ep,,,
Qwen2.5-7B,CLoRA,2e-4,tia1_qwsw_clora_k1024_lr2e4_s44,,,F,,,
