task,condition,seed,run_id,example_count,held_aside_accuracy,held_aside_task_nll,checkpoint_sha256,validation_sha256,evaluation_source_revision,training_source_revision,fixed_optimizer_step,checkpoint_identifier,locked_split_fingerprint,inner_selection_accuracy,inner_selection_task_nll,band_config,protocol_sha256
rte,P1_HEAD_BASE,17,20260916T080555Z_ac67139ae7e0,277,0.5884476534296029,0.6794126629829407,cabdb47f0cbd95428ccb8d841913e5e9c03297d719b6b738f34a4a56b9a2a76e,390655c797302f23037c7b09eaccf2065235c36eeb2cff9543ad81dcc39d79ce,4af6033e5ec422f29024d969d4bc098f5e4b54d1,7b3c2dc1ca63ccc4de1f506b2c33a9c311215b0b,5670,step_00005670,318634818b79732816b5486404489d25dfd9d3de37aa4c111831dc9be070a3a8,0.5903614457831325,0.6557141446684259,null,721935221ca1b4db38736016fbb256fa1d355d4dcf8a90a693856eaf7614fdeb
rte,P1_HEAD_BASE,42,20260916T080431Z_707e77109a83,277,0.5812274368231047,0.6783517003059387,5b9e435521aa1305238871affa318624d0385e6ae3c5e76c8902714fa2c1ed36,79bd27ef86de9e9d658696e7217e08cadd6ea460eca5a3ee63d6fdfdb35e8e18,4af6033e5ec422f29024d969d4bc098f5e4b54d1,7b3c2dc1ca63ccc4de1f506b2c33a9c311215b0b,5670,step_00005670,318634818b79732816b5486404489d25dfd9d3de37aa4c111831dc9be070a3a8,0.6024096385542169,0.6545777203567535,null,721935221ca1b4db38736016fbb256fa1d355d4dcf8a90a693856eaf7614fdeb
rte,P1_HEAD_BASE,123,20260916T081037Z_3a95777a9a43,277,0.5740072202166066,0.6812778115272522,8ff2241b31d220a3e545b8e8fd8bce40de9f2ff727db19956f5954066a56b138,6558cbeaadbe7a54af8e1b313a95213a82cdd5055517e174172e4b866e79cd29,4af6033e5ec422f29024d969d4bc098f5e4b54d1,d391c4c34699319be6e0c68c18e32ec69d36bc5c,5670,step_00005670,318634818b79732816b5486404489d25dfd9d3de37aa4c111831dc9be070a3a8,0.6004016064257028,0.6523563684708622,null,721935221ca1b4db38736016fbb256fa1d355d4dcf8a90a693856eaf7614fdeb
rte,BAND_LEAD_DIAG,17,20260916T061115Z_cef6abeb647a,277,0.7364620938628159,1.7119368314743042,b64099017cc4c1db0e0b95f67f672b79f1ec86678b70d6f32dd5cc235ec64d3d,8e079a77dd87ef509be3e13d44bfe78222d2fce6850e23c7e9ba9b675c62b773,4af6033e5ec422f29024d969d4bc098f5e4b54d1,aca733a071e3210d795f661004ada8e64a7c6b8b,5670,step_00005670,318634818b79732816b5486404489d25dfd9d3de37aa4c111831dc9be070a3a8,0.7168674698795181,1.7377448889864497,"{""band_size"": 256, ""band_start"": 0, ""rotation_size"": 0}",721935221ca1b4db38736016fbb256fa1d355d4dcf8a90a693856eaf7614fdeb
rte,BAND_LEAD_DIAG,42,20260916T051228Z_e087ae3bb317,277,0.7111913357400722,1.8036223649978638,13886b262b448ca1dc96859fc42991b0a082d7ee3b46d1815bd44bd35211824f,b2d0aa9a0596383c12bc83190cba726be397378b28be7c256d92d79c8b01d29d,4af6033e5ec422f29024d969d4bc098f5e4b54d1,aca733a071e3210d795f661004ada8e64a7c6b8b,5670,step_00005670,318634818b79732816b5486404489d25dfd9d3de37aa4c111831dc9be070a3a8,0.7349397590361446,1.7356856036856472,"{""band_size"": 256, ""band_start"": 0, ""rotation_size"": 0}",721935221ca1b4db38736016fbb256fa1d355d4dcf8a90a693856eaf7614fdeb
rte,BAND_LEAD_DIAG,123,20260916T070645Z_42d074cd0e07,277,0.7328519855595668,1.8326499462127686,5703f92573c8e22c85ca489876cb30da993e6814879e2eceae44c105e8be3b42,fd93d5d37e6a605bc345a054d429a8e44318263658dda0711144a65a103e28aa,4af6033e5ec422f29024d969d4bc098f5e4b54d1,d0c73d0f0b9f4361c48a7d169e4fb7c348ea223c,5670,step_00005670,318634818b79732816b5486404489d25dfd9d3de37aa4c111831dc9be070a3a8,0.7008032128514057,1.8805460901145477,"{""band_size"": 256, ""band_start"": 0, ""rotation_size"": 0}",721935221ca1b4db38736016fbb256fa1d355d4dcf8a90a693856eaf7614fdeb
rte,BAND_LEAD_ROT64,17,20260916T123448Z_4d53529a1c7d,277,0.7581227436823105,1.930945873260498,9e3ebc45a5ab05ed40d15c470340c73157d6c46d3f5cfdef209d126b19ed3cc2,4e97d983155c6da1b81ca61a3901913588ef70ffe3509d0d3e2bff1379e931da,4af6033e5ec422f29024d969d4bc098f5e4b54d1,7dfce30d34d9d2e0c052be3f62aea63595119ea8,5670,step_00005670,318634818b79732816b5486404489d25dfd9d3de37aa4c111831dc9be070a3a8,0.7128514056224899,2.2103540121192435,"{""band_size"": 256, ""band_start"": 0, ""rotation_size"": 64}",721935221ca1b4db38736016fbb256fa1d355d4dcf8a90a693856eaf7614fdeb
rte,BAND_LEAD_ROT64,42,20260916T082801Z_baa7de7788ab,277,0.740072202166065,2.145564556121826,a0ab32a6447ca0de51b445c5f7d663d8cfc9326d816ed2bde5fe36e81486ee74,cd46ee709a95d7c4e36dfad2698ab903603d661d5efd1371c6e5d9a49e47b975,4af6033e5ec422f29024d969d4bc098f5e4b54d1,accb241083ff1c40f080a158cec05fc0ec201f92,5670,step_00005670,318634818b79732816b5486404489d25dfd9d3de37aa4c111831dc9be070a3a8,0.7329317269076305,1.995712990262901,"{""band_size"": 256, ""band_start"": 0, ""rotation_size"": 64}",721935221ca1b4db38736016fbb256fa1d355d4dcf8a90a693856eaf7614fdeb
rte,BAND_LEAD_ROT64,123,20260916T083001Z_bfc693e2e5fb,277,0.740072202166065,1.7197225093841553,825207e26f22b1b0007606b09e8c7c5120cc7cf03c55ea093bd2373fe292474e,0f1d74f4290b09c1263940aed1ad5527c189ad105f6645a290904f07bd939556,4af6033e5ec422f29024d969d4bc098f5e4b54d1,accb241083ff1c40f080a158cec05fc0ec201f92,5670,step_00005670,318634818b79732816b5486404489d25dfd9d3de37aa4c111831dc9be070a3a8,0.7208835341365462,2.018608578955792,"{""band_size"": 256, ""band_start"": 0, ""rotation_size"": 64}",721935221ca1b4db38736016fbb256fa1d355d4dcf8a90a693856eaf7614fdeb
rte,BAND_MID_DIAG,17,20260916T061323Z_27eb1f9cf4cc,277,0.7111913357400722,1.6559383869171143,2c1d07b6c892a884d7863c050677132e3edd654dfc5befd52bf0354b95f338c4,9cab62fdfc07fb0f3375be1f2ca58c8a41e5fa58c93e8aae128341093e97cbef,4af6033e5ec422f29024d969d4bc098f5e4b54d1,aca733a071e3210d795f661004ada8e64a7c6b8b,5670,step_00005670,318634818b79732816b5486404489d25dfd9d3de37aa4c111831dc9be070a3a8,0.7228915662650602,1.7361878707226979,"{""band_size"": 256, ""band_start"": 256, ""rotation_size"": 0}",721935221ca1b4db38736016fbb256fa1d355d4dcf8a90a693856eaf7614fdeb
