condition,fixed_checkpoint,initial_eqm_LL,initial_eqm_LT,initial_eqm_TL,initial_eqm_TT,initial_pooled_LL,initial_pooled_LT,initial_pooled_TL,initial_pooled_TT,initial_pooled_rho,learned_since_insertion_eqm_LL,learned_since_insertion_eqm_LT,learned_since_insertion_eqm_TL,learned_since_insertion_eqm_TT,learned_since_insertion_pooled_LL,learned_since_insertion_pooled_LT,learned_since_insertion_pooled_TL,learned_since_insertion_pooled_TT,learned_since_insertion_pooled_rho,run_id,seed,task,total_eqm_LL,total_eqm_LT,total_eqm_TL,total_eqm_TT,total_pooled_LL,total_pooled_LT,total_pooled_TL,total_pooled_TT,total_pooled_rho,validation_sha256
P1_MIX,/media/eimtest/data/guyb/UIOrthoLoRA/notebooks/iclr-campaign-20260914/campaign_outputs_confirmation_v1/runs/iclr_6aa54397/P1_MIX/mrpc/seed_17/20260915T203801Z_943d4b96cad1/engine/checkpoints/step_00002760,0.9950249632069035,4.267715132906526e-13,4.1732461885606054e-13,0.004975124995858326,0.9950249632069057,4.267715130360211e-13,4.1732461855470144e-13,0.0049751249958583125,0.004985510015973715,0.6319362707615405,0.03989276395475504,0.04602456192556701,0.2821464953418032,0.661231043399661,0.02662905277995965,0.02741985041095662,0.28472015315315885,0.03784316076014354,20260915T203801Z_943d4b96cad1,17,mrpc,0.7659490947978628,0.02612370614118965,0.02885716943543569,0.1790701233124958,0.7011749036684505,0.023435774227783892,0.024131741745623665,0.2512576790925446,0.04033904469138803,9a5a2fa1d0794df3d202dec2d6aa31f511624166c204a96fc92d3f0f77fc2e3b
P1_MIX,/media/eimtest/data/guyb/UIOrthoLoRA/notebooks/iclr-campaign-20260914/campaign_outputs_confirmation_v1/runs/iclr_6aa54397/P1_MIX/mrpc/seed_42/20260915T182600Z_bc137719ec8e/engine/checkpoints/step_00002760,0.9950249632069035,4.267715132906526e-13,4.1732461885606054e-13,0.004975124995858326,0.9950249632069057,4.267715130360211e-13,4.1732461855470144e-13,0.0049751249958583125,0.004985510015973715,0.6779246078689415,0.032665669229135226,0.04225109600020054,0.24715871539313408,0.6622559592178557,0.025090675165919195,0.027245043157946517,0.28540841388562876,0.03639333895552979,20260915T182600Z_bc137719ec8e,42,mrpc,0.7634853648513701,0.024897972963674117,0.03105465997726031,0.18056209208742022,0.7070537426761478,0.02170461766840659,0.023568247617774547,0.24767348413541282,0.039129293464363966,e7a174816cf6ea1df782967fdb3c69e56b5b538bf3e054f0386dda9257986e64
P1_MIX,/media/eimtest/data/guyb/UIOrthoLoRA/notebooks/iclr-campaign-20260914/campaign_outputs_confirmation_v1/runs/iclr_6aa54397/P1_MIX/mrpc/seed_123/20260915T225603Z_c2d576f8406b/engine/checkpoints/step_00002760,0.9950249632069035,4.267715132906526e-13,4.1732461885606054e-13,0.004975124995858326,0.9950249632069057,4.267715130360211e-13,4.1732461855470144e-13,0.0049751249958583125,0.004985510015973715,0.6301414396614405,0.030558033724468064,0.0392248264973224,0.30007578178552946,0.6421984785435493,0.02233558921262838,0.024276588063629492,0.3111894271822778,0.03985980297279289,20260915T225603Z_c2d576f8406b,123,mrpc,0.7561913395659984,0.02276326668058931,0.030812372961535783,0.190233108911491,0.6853488318001894,0.019592685306126477,0.021295321344790452,0.27376324521975387,0.04255855491496445,3a89f22cefe400293e93b649665296f93efb6fb89148f64841de4b6ea78c1579
P1_NORM,/media/eimtest/data/guyb/UIOrthoLoRA/notebooks/iclr-campaign-20260914/campaign_outputs_confirmation_v1/runs/iclr_6aa54397/P1_NORM/mrpc/seed_17/20260915T212602Z_58586c0a5cf0/engine/checkpoints/step_00002760,0.9950249632069035,4.267715132906526e-13,4.1732461885606054e-13,0.004975124995858326,0.9950249632069057,4.267715130360211e-13,4.1732461855470144e-13,0.0049751249958583125,0.004985510015973715,0.4180054886261863,0.22681166363944127,0.2235167131754877,0.13166622187566754,0.41075193116852693,0.22821606318065557,0.22971862938049054,0.13131348614206165,0.0428081791686099,20260915T212602Z_58586c0a5cf0,17,mrpc,0.402161992735472,0.23295188578645332,0.2296301317355237,0.13525607693154312,0.40423672788436776,0.2307568265348404,0.23227612103434156,0.13273043483887406,0.042571855706036076,ea50d4191c38996d7348737c23e73ed6ccd389036a8cf682282ec127402b2a91
P1_NORM,/media/eimtest/data/guyb/UIOrthoLoRA/notebooks/iclr-campaign-20260914/campaign_outputs_confirmation_v1/runs/iclr_6aa54397/P1_NORM/mrpc/seed_42/20260915T191101Z_5b8a71b69aca/engine/checkpoints/step_00002760,0.9950249632069035,4.267715132906526e-13,4.1732461885606054e-13,0.004975124995858326,0.9950249632069057,4.267715130360211e-13,4.1732461855470144e-13,0.0049751249958583125,0.004985510015973715,0.4200562040452211,0.22437717575628327,0.22641973273313942,0.12914697744777798,0.4135224133216827,0.22760845169785648,0.22893708970587576,0.12993215317739948,0.04199705059130104,20260915T191101Z_5b8a71b69aca,42,mrpc,0.405455989951115,0.22999101484532916,0.23227245371762084,0.13228063148388589,0.406519693699605,0.2303473415864642,0.2316919676183088,0.1314411053078482,0.04174662602529807,f55b456dbeb2554622052c4e0de72c3b41dd182d43eab0c7352df0c2d7c6962d
P1_NORM,/media/eimtest/data/guyb/UIOrthoLoRA/notebooks/iclr-campaign-20260914/campaign_outputs_confirmation_v1/runs/iclr_6aa54397/P1_NORM/mrpc/seed_123/20260915T233934Z_070308d31c17/engine/checkpoints/step_00002760,0.9950249632069035,4.267715132906526e-13,4.1732461885606054e-13,0.004975124995858326,0.9950249632069057,4.267715130360211e-13,4.1732461855470144e-13,0.0049751249958583125,0.004985510015973715,0.42117259029529414,0.2234104496620627,0.22729104446554313,0.12812601103318225,0.4147983557515773,0.22549744778923259,0.23063355072644243,0.1290707485103202,0.04275149112446913,20260915T233934Z_070308d31c17,123,mrpc,0.40742734105749506,0.228736460861222,0.23274674371032808,0.13108955021760085,0.408434615799282,0.22796780311751108,0.23316017273186435,0.13043751149744526,0.042519223573363456,9ea4da674ce48e2679cc8b52f2fceec1fd997251fbc60255a375d31c0d1b96ca
P1_UNREG,/media/eimtest/data/guyb/UIOrthoLoRA/notebooks/iclr-campaign-20260914/campaign_outputs_confirmation_v1/runs/iclr_6aa54397/P1_UNREG/mrpc/seed_17/20260915T195601Z_d3bd63b590af/engine/checkpoints/step_00002760,0.9950249632069035,4.267715132906526e-13,4.1732461885606054e-13,0.004975124995858326,0.9950249632069057,4.267715130360211e-13,4.1732461855470144e-13,0.0049751249958583125,0.004985510015973715,0.4801500747758234,0.21723570119349744,0.2067131590790109,0.09590115874968468,0.4776870220631615,0.2185032974625918,0.20670061430823575,0.0971091648661847,0.1791248029255756,20260915T195601Z_d3bd63b590af,17,mrpc,0.48156654054074916,0.21663372638216313,0.2061399980686568,0.09565982881583383,0.4789287869735215,0.2179758263915697,0.2062016351380654,0.0968938502053941,0.17934140047726851,7d5f554490e4ef02a54408266cc597cd9442766d04f8d0a5ccf423451270e350
P1_UNREG,/media/eimtest/data/guyb/UIOrthoLoRA/notebooks/iclr-campaign-20260914/campaign_outputs_confirmation_v1/runs/iclr_6aa54397/P1_UNREG/mrpc/seed_42/20260915T174530Z_478957d306e5/engine/checkpoints/step_00002760,0.9950249632069035,4.267715132906526e-13,4.1732461885606054e-13,0.004975124995858326,0.9950249632069057,4.267715130360211e-13,4.1732461855470144e-13,0.0049751249958583125,0.004985510015973715,0.48093934780974407,0.21801421283094868,0.20566231320728426,0.0953842175029594,0.4797295435669599,0.2186128117376095,0.20566996965740006,0.09598776930092438,0.18087883362616333,20260915T174530Z_478957d306e5,42,mrpc,0.4823163318258367,0.2174270263367676,0.20510815719285044,0.09514857597649458,0.48101006225445386,0.2180676047066512,0.2051570413031624,0.09576538599200189,0.1811048067751177,da734084eea3a5aeea159e554dd8ee843a83b5b429e8b4406a99567ee5781508
P1_UNREG,/media/eimtest/data/guyb/UIOrthoLoRA/notebooks/iclr-campaign-20260914/campaign_outputs_confirmation_v1/runs/iclr_6aa54397/P1_UNREG/mrpc/seed_123/20260915T221233Z_19931be7dae9/engine/checkpoints/step_00002760,0.9950249632069035,4.267715132906526e-13,4.1732461885606054e-13,0.004975124995858326,0.9950249632069057,4.267715130360211e-13,4.1732461855470144e-13,0.0049751249958583125,0.004985510015973715,0.48065104020734695,0.21580999661558667,0.20754843326950792,0.09599062118327455,0.47871202886065145,0.21699204346319434,0.20743303072605992,0.09686299190620759,0.18003821676019907,20260915T221233Z_19931be7dae9,123,mrpc,0.4822127284677821,0.21515145682035283,0.20691316294896267,0.09572274300767548,0.4801166715918942,0.2163993629729275,0.2068664592201078,0.0966176011690941,0.18028459496924493,ad880c1b134f211dcc0e377527f401cf2301ecc7643aa6500aa53b13d1857fa5
P1_MIX,/media/eimtest/data/guyb/UIOrthoLoRA/notebooks/iclr-campaign-20260914/campaign_outputs_confirmation_v1/runs/iclr_6aa54397/P1_MIX/rte/seed_17/20260915T200324Z_1d3c3268fbb6/engine/checkpoints/step_00005670,0.9999500906789046,4.209697327606764e-13,4.1142799309368853e-13,4.99975030165147e-05,0.9999500906789074,4.20969732512945e-13,4.114279927965519e-13,4.99975030165146e-05,4.9732167186206384e-05,0.6914297272622946,0.04714807186488371,0.03868131072866892,0.22274099495968055,0.4441120470141074,0.04532372312453722,0.04868435604782558,0.46187995772113316,0.07200076158499637,20260915T200324Z_1d3c3268fbb6,17,rte,0.630121751320278,0.06989415967586038,0.06913484003324255,0.23084934778755195,0.44412002220439695,0.045323070592994424,0.04868365513262884,0.4618733359802683,0.07200127989280279,577b85b9758f1f367a13212166b26e54e8eb8eefba1200afd76ce9ea7422bc88
