backbone,method,reported_params,source,mrpc_metric,reported_avg6,sst2_mean,sst2_sd,mrpc_mean,mrpc_sd,cola_mean,cola_sd,qnli_mean,qnli_sd,rte_mean,rte_sd,stsb_mean,stsb_sd
base,VeRA-1024,0.26M,RandLoRA-v2-Table4,accuracy,82.7,91.9,0.4,88.4,1.2,59.9,2.2,90.5,0.4,74.9,1.5,90.4,0.2
base,LoRA-4,0.7M,RandLoRA-v2-Table4,accuracy,82.4,94.4,0.5,87.3,0.2,58.4,0.8,92.7,0.2,71.5,1.2,90.5,0.1
base,RandLoRA-64,0.7M,RandLoRA-v2-Table4,accuracy,82.6,92.2,0.3,88.0,1.5,59.4,2.1,91.3,0.4,74.7,1.9,90.3,0.2
base,UIOrthoLoRA,0.4M,manuscript,accuracy,85.5,94.8,0.3,92.0,1.0,64.4,1.0,92.4,0.1,78.7,1.0,90.7,0.1
base,UILinLoRA,0.08M,manuscript,accuracy,84.68,93.1,1.0,90.0,1.0,65.8,1.0,92.4,0.2,76.2,1.0,90.6,0.1
large,VeRA-256,0.26M,RandLoRA-v2-Table4,accuracy,86.3,95.8,0.3,89.3,1.2,65.3,1.1,94.1,0.3,81.6,0.8,91.8,0.1
large,LoRA-4,1.8M,RandLoRA-v2-Table4,accuracy,86.2,95.5,0.2,87.2,0.7,64.7,1.2,94.5,0.1,83.6,0.4,91.8,0.1
large,RandLoRA-100,1.8M,RandLoRA-v2-Table4,accuracy,87.2,95.5,0.3,90.1,0.4,67.4,0.3,94.1,0.3,84.5,0.3,91.4,0.6
large,UIOrthoLoRA,0.6M,manuscript,accuracy,88.2,96.3,0.3,92.5,0.2,67.4,0.5,95.0,0.1,86.0,0.2,92.1,0.2
large,UILinLoRA,0.22M,manuscript,accuracy,88.5,96.3,0.2,93.4,0.7,68.7,1.0,94.7,0.1,86.0,1.1,92.0,0.2
