family,meta_learning_rate,meta_model_type,meta_num_beams,meta_num_svalues,meta_num_svectors,meta_seed,meta_target_modules,meta_torch,name_lr,name_prefix,name_scaler,name_seed,name_sigma,name_svalues,name_svectors,reproduces_paper_row_after_rounding,run_directory,run_metadata_present,run_metadata_sha256,score_BLEU,score_CIDEr,score_METEOR,score_NIST,score_ROUGE_L,scores_present,scores_sha256,system_outputs_present
uiortholora_results,,,,,,,,,0.03,2,0.1,17,0.1,256,0,,2lr_0.03_svalues_256_svectors_0_seed_17_init_sigma_0.1_init_scaler_0.1,False,,0.6934,2.4802,0.4676,8.771,0.7216,True,2d544352cec8c819e74f123c273f35af9c8a4ee84231220736a1192998452fe2,False
uiortholora_results,,,,,,,,,0.05,2,0.1,17,0.1,256,0,,2lr_0.05_svalues_256_svectors_0_seed_17_init_sigma_0.1_init_scaler_0.1,False,,0.6904,2.4875,0.4674,8.7473,0.7171,True,15c63310f8d8e79fd93b6d8b9d1d5e5c54fd7ffa7de1dc09b93b1f83f357c71f,False
uiortholora_results,,,,,,,,,0.05,2,0.1,17,0.1,256,15,,2lr_0.05_svalues_256_svectors_15_seed_17_init_sigma_0.1_init_scaler_0.1,False,,0.6846,2.4674,0.4651,8.6808,0.7129,True,9d5dc8c986975038037f8400cd4781ddfe63a60bd81f3afffa6095b442e519e0,False
uiortholora_results,,,,,,,,,0.05,2,0.1,17,0.1,256,30,,2lr_0.05_svalues_256_svectors_30_seed_17_init_sigma_0.1_init_scaler_0.1,False,,0.6829,2.4609,0.4644,8.6751,0.7129,True,11fd88ae841236a56654aa1c0dc6729b1bbafa81797a3d513b9fb0ce8648308f,False
uiortholora_results,,,,,,,,,0.07,2,0.1,17,0.1,256,0,,2lr_0.07_svalues_256_svectors_0_seed_17_init_sigma_0.1_init_scaler_0.1,False,,0.6797,2.4583,0.4645,8.6325,0.7125,True,8825d963b69c46816ab9e64b9d997e64667b11400980e5e0463242d792f3cd93,False
uiortholora_results,,,,,,,,,0.07,2,0.1,17,0.1,256,15,,2lr_0.07_svalues_256_svectors_15_seed_17_init_sigma_0.1_init_scaler_0.1,False,,0.6849,2.4736,0.4659,8.6997,0.7154,True,c84263f1d266dc235e10117dc12032493c02c3f29cec5d5f4237fa7db57b9ed9,False
uiortholora_results,,,,,,,,,0.07,2,0.1,17,0.1,256,30,,2lr_0.07_svalues_256_svectors_30_seed_17_init_sigma_0.1_init_scaler_0.1,False,,0.6845,2.4679,0.4673,8.697,0.7134,True,acde10d35f51099998110fb8997777d8bea6e30ed253a19fab9ea80b47ef0800,False
uiortholora_results,,,,,,,,,,,,,,,,,lr_0.001_svalues_256_svectors_30_seed_31415_init_sigma_0.1_init_scaler_0.1,,,,,,,,False,,
uiortholora_results,,,,,,,,,0.001,,0.1,31415,0.1,256,90,,lr_0.001_svalues_256_svectors_90_seed_31415_init_sigma_0.1_init_scaler_0.1,False,,0.6655,2.2325,0.4438,8.5461,0.6886,True,51438919b99b3ed37883f5ecbdc8699c55dfe0d90619af666dca524a0d8f8e51,True
uiortholora_results,,,,,,,,,0.05,,0.1,17,0.1,128,120,,lr_0.05_svalues_128_svectors_120_seed_17_init_sigma_0.1_init_scaler_0.1,False,,0.6661,2.4373,0.4617,8.4816,0.71,True,75041667013c96a83b99c9d1f664bf946d28d878defb00c65849effceb9fdb40,True
uiortholora_results,,,,,,,,,0.05,,0.1,17,0.1,128,30,,lr_0.05_svalues_128_svectors_30_seed_17_init_sigma_0.1_init_scaler_0.1,False,,0.6838,2.4687,0.4664,8.6857,0.7174,True,60504650614975c279aa1d6c126df8b37f67dbde08553c8fe6c510e644d88e43,True
uiortholora_results,,,,,,,,,0.05,,0.1,17,0.1,128,60,,lr_0.05_svalues_128_svectors_60_seed_17_init_sigma_0.1_init_scaler_0.1,False,,0.6785,2.4416,0.4637,8.6052,0.7126,True,8728d33d6ae43510b981b382e022b5a6fa9a36d6d606462bbcdc397d4a42ecd4,True
uiortholora_results,,,,,,,,,0.05,,0.1,17,0.1,256,15,,lr_0.05_svalues_256_svectors_15_seed_17_init_sigma_0.1_init_scaler_0.1,False,,0.6846,2.4674,0.4651,8.6808,0.7129,True,9d5dc8c986975038037f8400cd4781ddfe63a60bd81f3afffa6095b442e519e0,False
uiortholora_results,,,,,,,,,0.05,,0.1,17,0.1,256,30,UIOrthoLoRA,lr_0.05_svalues_256_svectors_30_seed_17_init_sigma_0.1_init_scaler_0.1,False,,0.6877,2.4707,0.4671,8.7291,0.7162,True,20efba24422d64374ef626a2fbc1f049406e333cd4db57b70fbec515d34f4c5e,True
uiortholora_results,,,,,,,,,0.05,,0.1,17,0.1,256,60,,lr_0.05_svalues_256_svectors_60_seed_17_init_sigma_0.1_init_scaler_0.1,False,,0.6874,2.4747,0.467,8.7131,0.7163,True,301276062a9f934fa8100dc47b997d6089191b461c7f99f3f5027dccaafd59c1,True
