task,condition,seed,run_id,checkpoint_identifier,checkpoint_sha256,fixed_optimizer_step,held_aside_accuracy,held_aside_f1,held_aside_loss,example_count,locked_split_fingerprint,task_input_manifest_sha256,model_input_manifest_sha256,source_revision,validation_report_sha256,inner_selection_accuracy
mrpc,P1_MIX,17,20260915T203801Z_943d4b96cad1,step_00002760,aef99151854b6e8b654e401c712aed1e47485863eb9d3b509061d261e43c8000,2760,0.8431372549019608,0.8896551724137931,0.42529019713401794,408,bcdb6d8bdf9f6f2b654e52d0109fbf6941af803144a0a368a6aba55fa5e6f573,bf93e8afbd40a166b8a8d99573d15562387935a29d11b1cd5f302bf840d218c8,d8383ac7675f36993f2a753426873dde996edee05b166b52a7857cc1f103df97,7e6f8ae3a7de17eb99ae07abf2052e7f4978b542,9a5a2fa1d0794df3d202dec2d6aa31f511624166c204a96fc92d3f0f77fc2e3b,0.8446866485013624
mrpc,P1_MIX,42,20260915T182600Z_bc137719ec8e,step_00002760,ef313cbf1d4c99bb944b114a8a058ca1bafaf279ecac5bbd1ab139ac7215d7f2,2760,0.8578431372549019,0.8996539792387543,0.37008240818977356,408,bcdb6d8bdf9f6f2b654e52d0109fbf6941af803144a0a368a6aba55fa5e6f573,bf93e8afbd40a166b8a8d99573d15562387935a29d11b1cd5f302bf840d218c8,d8383ac7675f36993f2a753426873dde996edee05b166b52a7857cc1f103df97,7e6f8ae3a7de17eb99ae07abf2052e7f4978b542,e7a174816cf6ea1df782967fdb3c69e56b5b538bf3e054f0386dda9257986e64,0.840599455040872
mrpc,P1_MIX,123,20260915T225603Z_c2d576f8406b,step_00002760,c07f84954bdc57e4de504b7f4fc1686f9e280222c73f2ebf476369da38be0a4f,2760,0.8627450980392157,0.901060070671378,0.38842689990997314,408,bcdb6d8bdf9f6f2b654e52d0109fbf6941af803144a0a368a6aba55fa5e6f573,bf93e8afbd40a166b8a8d99573d15562387935a29d11b1cd5f302bf840d218c8,d8383ac7675f36993f2a753426873dde996edee05b166b52a7857cc1f103df97,7e6f8ae3a7de17eb99ae07abf2052e7f4978b542,3a89f22cefe400293e93b649665296f93efb6fb89148f64841de4b6ea78c1579,0.8501362397820164
mrpc,P1_NORM,17,20260915T212602Z_58586c0a5cf0,step_00002760,2532c377f32d82e1eedd26c33b382144af03123bb7a1f32cf8f64e81a1798fbf,2760,0.8627450980392157,0.9024390243902439,0.7187058925628662,408,bcdb6d8bdf9f6f2b654e52d0109fbf6941af803144a0a368a6aba55fa5e6f573,bf93e8afbd40a166b8a8d99573d15562387935a29d11b1cd5f302bf840d218c8,d8383ac7675f36993f2a753426873dde996edee05b166b52a7857cc1f103df97,7e6f8ae3a7de17eb99ae07abf2052e7f4978b542,ea50d4191c38996d7348737c23e73ed6ccd389036a8cf682282ec127402b2a91,0.8487738419618529
mrpc,P1_NORM,42,20260915T191101Z_5b8a71b69aca,step_00002760,3fef5e15bf793b5612be00e0349024c644fb3f41bb49b286945104804426c440,2760,0.8504901960784313,0.893542757417103,0.829456090927124,408,bcdb6d8bdf9f6f2b654e52d0109fbf6941af803144a0a368a6aba55fa5e6f573,bf93e8afbd40a166b8a8d99573d15562387935a29d11b1cd5f302bf840d218c8,d8383ac7675f36993f2a753426873dde996edee05b166b52a7857cc1f103df97,7e6f8ae3a7de17eb99ae07abf2052e7f4978b542,f55b456dbeb2554622052c4e0de72c3b41dd182d43eab0c7352df0c2d7c6962d,0.8487738419618529
mrpc,P1_NORM,123,20260915T233934Z_070308d31c17,step_00002760,cad46f69774114b75533670948f0eb05eefeb387abb5bcd18b67690ca2a588da,2760,0.8602941176470589,0.9001751313485113,0.7182581424713135,408,bcdb6d8bdf9f6f2b654e52d0109fbf6941af803144a0a368a6aba55fa5e6f573,bf93e8afbd40a166b8a8d99573d15562387935a29d11b1cd5f302bf840d218c8,d8383ac7675f36993f2a753426873dde996edee05b166b52a7857cc1f103df97,7e6f8ae3a7de17eb99ae07abf2052e7f4978b542,9ea4da674ce48e2679cc8b52f2fceec1fd997251fbc60255a375d31c0d1b96ca,0.8460490463215259
mrpc,P1_UNREG,17,20260915T195601Z_d3bd63b590af,step_00002760,527f60092eb96a19edb2a5aca5c6a44f7b771d91e24b4686f2827fbd9c5bf141,2760,0.8578431372549019,0.8975265017667845,0.8724221587181091,408,bcdb6d8bdf9f6f2b654e52d0109fbf6941af803144a0a368a6aba55fa5e6f573,bf93e8afbd40a166b8a8d99573d15562387935a29d11b1cd5f302bf840d218c8,d8383ac7675f36993f2a753426873dde996edee05b166b52a7857cc1f103df97,7e6f8ae3a7de17eb99ae07abf2052e7f4978b542,7d5f554490e4ef02a54408266cc597cd9442766d04f8d0a5ccf423451270e350,0.8474114441416893
mrpc,P1_UNREG,42,20260915T174530Z_478957d306e5,step_00002760,c4f576ec28cc1c8f5192bdb4a36904b5fb42c98627ca77e7ac1d9fd7b4f70ff4,2760,0.8553921568627451,0.8973913043478261,0.9376066327095032,408,bcdb6d8bdf9f6f2b654e52d0109fbf6941af803144a0a368a6aba55fa5e6f573,bf93e8afbd40a166b8a8d99573d15562387935a29d11b1cd5f302bf840d218c8,d8383ac7675f36993f2a753426873dde996edee05b166b52a7857cc1f103df97,7e6f8ae3a7de17eb99ae07abf2052e7f4978b542,da734084eea3a5aeea159e554dd8ee843a83b5b429e8b4406a99567ee5781508,0.8501362397820164
mrpc,P1_UNREG,123,20260915T221233Z_19931be7dae9,step_00002760,e58b45a6153e33b7a29f4297dbf4075a2781cc9bdf45e01dc9c8bac27071b417,2760,0.8725490196078431,0.9087719298245615,0.8024466037750244,408,bcdb6d8bdf9f6f2b654e52d0109fbf6941af803144a0a368a6aba55fa5e6f573,bf93e8afbd40a166b8a8d99573d15562387935a29d11b1cd5f302bf840d218c8,d8383ac7675f36993f2a753426873dde996edee05b166b52a7857cc1f103df97,7e6f8ae3a7de17eb99ae07abf2052e7f4978b542,ad880c1b134f211dcc0e377527f401cf2301ecc7643aa6500aa53b13d1857fa5,0.8501362397820164
rte,P1_MIX,17,20260915T200324Z_1d3c3268fbb6,step_00005670,e1e2fb5165da4ef2594e2b60d4448bbbf64b857714cd63923ac6fbe47d8fd887,5670,0.6967509025270758,,1.3303815126419067,277,318634818b79732816b5486404489d25dfd9d3de37aa4c111831dc9be070a3a8,18ce7abed529d3a92f9625f6e629b668aedb37cd718ea16fc1bb2da9e51be28f,d8383ac7675f36993f2a753426873dde996edee05b166b52a7857cc1f103df97,7e6f8ae3a7de17eb99ae07abf2052e7f4978b542,577b85b9758f1f367a13212166b26e54e8eb8eefba1200afd76ce9ea7422bc88,0.7590361445783133
