block,task,condition,seed,run_id,source_revision,validation_sha256,fixed_optimizer_step,optimizer_step,cumulative_train_examples,checkpoint_sha256,averaging_window_start_step,averaging_window_end_step,split,metric_name,metric_value
band_flexibility_21,rte,BAND_LEAD_DIAG,17,20260916T061115Z_cef6abeb647a,aca733a071e3210d795f661004ada8e64a7c6b8b,8e079a77dd87ef509be3e13d44bfe78222d2fce6850e23c7e9ba9b675c62b773,5670,57,1824,8497c3e10f31d4391f3eea29af5bfc2f1cd299fcb83abb6d59ca21e64ce27842,1,57,train,task_loss_window_mean,0.7454326228614438
band_flexibility_21,rte,BAND_LEAD_DIAG,17,20260916T061115Z_cef6abeb647a,aca733a071e3210d795f661004ada8e64a7c6b8b,8e079a77dd87ef509be3e13d44bfe78222d2fce6850e23c7e9ba9b675c62b773,5670,57,1824,8497c3e10f31d4391f3eea29af5bfc2f1cd299fcb83abb6d59ca21e64ce27842,1,57,train,regularization_loss_window_mean,0.0
band_flexibility_21,rte,BAND_LEAD_DIAG,17,20260916T061115Z_cef6abeb647a,aca733a071e3210d795f661004ada8e64a7c6b8b,8e079a77dd87ef509be3e13d44bfe78222d2fce6850e23c7e9ba9b675c62b773,5670,57,1824,8497c3e10f31d4391f3eea29af5bfc2f1cd299fcb83abb6d59ca21e64ce27842,1,57,train,total_objective_window_mean,0.7454326228614438
band_flexibility_21,rte,BAND_LEAD_DIAG,17,20260916T061115Z_cef6abeb647a,aca733a071e3210d795f661004ada8e64a7c6b8b,8e079a77dd87ef509be3e13d44bfe78222d2fce6850e23c7e9ba9b675c62b773,5670,57,1824,8497c3e10f31d4391f3eea29af5bfc2f1cd299fcb83abb6d59ca21e64ce27842,1,57,train,gradient_norm_before_clipping_window_mean,1.8691189754427524
band_flexibility_21,rte,BAND_LEAD_DIAG,17,20260916T061115Z_cef6abeb647a,aca733a071e3210d795f661004ada8e64a7c6b8b,8e079a77dd87ef509be3e13d44bfe78222d2fce6850e23c7e9ba9b675c62b773,5670,128,4096,8d6e10b8af2096a09f8727dd8e1f6ab1d475121ae99e1290b8a3a0c6a243ff12,58,128,train,task_loss_window_mean,0.6937240808152817
band_flexibility_21,rte,BAND_LEAD_DIAG,17,20260916T061115Z_cef6abeb647a,aca733a071e3210d795f661004ada8e64a7c6b8b,8e079a77dd87ef509be3e13d44bfe78222d2fce6850e23c7e9ba9b675c62b773,5670,128,4096,8d6e10b8af2096a09f8727dd8e1f6ab1d475121ae99e1290b8a3a0c6a243ff12,58,128,train,regularization_loss_window_mean,0.0
band_flexibility_21,rte,BAND_LEAD_DIAG,17,20260916T061115Z_cef6abeb647a,aca733a071e3210d795f661004ada8e64a7c6b8b,8e079a77dd87ef509be3e13d44bfe78222d2fce6850e23c7e9ba9b675c62b773,5670,128,4096,8d6e10b8af2096a09f8727dd8e1f6ab1d475121ae99e1290b8a3a0c6a243ff12,58,128,train,total_objective_window_mean,0.6937240808152817
band_flexibility_21,rte,BAND_LEAD_DIAG,17,20260916T061115Z_cef6abeb647a,aca733a071e3210d795f661004ada8e64a7c6b8b,8e079a77dd87ef509be3e13d44bfe78222d2fce6850e23c7e9ba9b675c62b773,5670,128,4096,8d6e10b8af2096a09f8727dd8e1f6ab1d475121ae99e1290b8a3a0c6a243ff12,58,128,train,gradient_norm_before_clipping_window_mean,0.9341481500108477
band_flexibility_21,rte,BAND_LEAD_DIAG,17,20260916T061115Z_cef6abeb647a,aca733a071e3210d795f661004ada8e64a7c6b8b,8e079a77dd87ef509be3e13d44bfe78222d2fce6850e23c7e9ba9b675c62b773,5670,256,8192,29c0ccf09f02dbc1a4a3fa6def60891fc9b9a33511e99a9e8809194e65972659,129,256,train,task_loss_window_mean,0.6354455364053138
band_flexibility_21,rte,BAND_LEAD_DIAG,17,20260916T061115Z_cef6abeb647a,aca733a071e3210d795f661004ada8e64a7c6b8b,8e079a77dd87ef509be3e13d44bfe78222d2fce6850e23c7e9ba9b675c62b773,5670,256,8192,29c0ccf09f02dbc1a4a3fa6def60891fc9b9a33511e99a9e8809194e65972659,129,256,train,regularization_loss_window_mean,0.0
band_flexibility_21,rte,BAND_LEAD_DIAG,17,20260916T061115Z_cef6abeb647a,aca733a071e3210d795f661004ada8e64a7c6b8b,8e079a77dd87ef509be3e13d44bfe78222d2fce6850e23c7e9ba9b675c62b773,5670,256,8192,29c0ccf09f02dbc1a4a3fa6def60891fc9b9a33511e99a9e8809194e65972659,129,256,train,total_objective_window_mean,0.6354455364053138
band_flexibility_21,rte,BAND_LEAD_DIAG,17,20260916T061115Z_cef6abeb647a,aca733a071e3210d795f661004ada8e64a7c6b8b,8e079a77dd87ef509be3e13d44bfe78222d2fce6850e23c7e9ba9b675c62b773,5670,256,8192,29c0ccf09f02dbc1a4a3fa6def60891fc9b9a33511e99a9e8809194e65972659,129,256,train,gradient_norm_before_clipping_window_mean,1.0826668210793287
band_flexibility_21,rte,BAND_LEAD_DIAG,17,20260916T061115Z_cef6abeb647a,aca733a071e3210d795f661004ada8e64a7c6b8b,8e079a77dd87ef509be3e13d44bfe78222d2fce6850e23c7e9ba9b675c62b773,5670,284,9088,e61beb432d16f3b14cf3f1f37a04d1eb1f7b82292cb9098f19960cbc5c007724,257,284,train,task_loss_window_mean,0.5664582115464977
band_flexibility_21,rte,BAND_LEAD_DIAG,17,20260916T061115Z_cef6abeb647a,aca733a071e3210d795f661004ada8e64a7c6b8b,8e079a77dd87ef509be3e13d44bfe78222d2fce6850e23c7e9ba9b675c62b773,5670,284,9088,e61beb432d16f3b14cf3f1f37a04d1eb1f7b82292cb9098f19960cbc5c007724,257,284,train,regularization_loss_window_mean,0.0
band_flexibility_21,rte,BAND_LEAD_DIAG,17,20260916T061115Z_cef6abeb647a,aca733a071e3210d795f661004ada8e64a7c6b8b,8e079a77dd87ef509be3e13d44bfe78222d2fce6850e23c7e9ba9b675c62b773,5670,284,9088,e61beb432d16f3b14cf3f1f37a04d1eb1f7b82292cb9098f19960cbc5c007724,257,284,train,total_objective_window_mean,0.5664582115464977
