task,accuracy,accuracy_stderr,alias
mmlu,0.7140350877192982,0.018316327208615,mmlu
mmlu_abstract_algebra,0.6,0.16329931618554522,  - abstract_algebra
mmlu_anatomy,0.7,0.15275252316519466,  - anatomy
mmlu_astronomy,0.9,0.09999999999999999,  - astronomy
mmlu_business_ethics,0.6,0.16329931618554522,  - business_ethics
mmlu_clinical_knowledge,0.7,0.15275252316519466,  - clinical_knowledge
mmlu_college_biology,1.0,0.0,  - college_biology
mmlu_college_chemistry,0.7,0.15275252316519466,  - college_chemistry
mmlu_college_computer_science,0.3,0.15275252316519464,  - college_computer_science
mmlu_college_mathematics,0.2,0.13333333333333333,  - college_mathematics
mmlu_college_medicine,0.8,0.13333333333333333,  - college_medicine
mmlu_college_physics,0.5,0.16666666666666666,  - college_physics
mmlu_computer_security,0.8,0.13333333333333333,  - computer_security
mmlu_conceptual_physics,0.6,0.16329931618554522,  - conceptual_physics
mmlu_econometrics,0.6,0.16329931618554522,  - econometrics
mmlu_electrical_engineering,0.5,0.16666666666666666,  - electrical_engineering
mmlu_elementary_mathematics,0.6,0.16329931618554522,  - elementary_mathematics
mmlu_formal_logic,0.6,0.16329931618554522,  - formal_logic
mmlu_global_facts,0.7,0.15275252316519466,  - global_facts
mmlu_high_school_biology,0.8,0.13333333333333333,  - high_school_biology
mmlu_high_school_chemistry,0.9,0.09999999999999999,  - high_school_chemistry
mmlu_high_school_computer_science,0.8,0.13333333333333333,  - high_school_computer_science
mmlu_high_school_european_history,0.8,0.13333333333333333,  - high_school_european_history
mmlu_high_school_geography,0.8,0.13333333333333333,  - high_school_geography
mmlu_high_school_government_and_politics,0.8,0.13333333333333333,  - high_school_government_and_politics
mmlu_high_school_macroeconomics,0.8,0.13333333333333333,  - high_school_macroeconomics
mmlu_high_school_mathematics,0.4,0.16329931618554522,  - high_school_mathematics
mmlu_high_school_microeconomics,0.6,0.16329931618554522,  - high_school_microeconomics
mmlu_high_school_physics,0.5,0.16666666666666666,  - high_school_physics
mmlu_high_school_psychology,0.8,0.13333333333333333,  - high_school_psychology
mmlu_high_school_statistics,0.8,0.13333333333333333,  - high_school_statistics
mmlu_high_school_us_history,0.9,0.09999999999999999,  - high_school_us_history
mmlu_high_school_world_history,1.0,0.0,  - high_school_world_history
mmlu_human_aging,0.6,0.16329931618554522,  - human_aging
mmlu_human_sexuality,0.9,0.09999999999999999,  - human_sexuality
mmlu_humanities,0.7846153846153846,0.03496969665893809, - humanities
mmlu_international_law,0.9,0.09999999999999999,  - international_law
mmlu_jurisprudence,0.7,0.15275252316519466,  - jurisprudence
mmlu_logical_fallacies,1.0,0.0,  - logical_fallacies
mmlu_machine_learning,0.4,0.16329931618554522,  - machine_learning
mmlu_management,0.9,0.09999999999999999,  - management
mmlu_marketing,0.7,0.15275252316519466,  - marketing
mmlu_medical_genetics,0.9,0.09999999999999999,  - medical_genetics
mmlu_miscellaneous,0.8,0.13333333333333333,  - miscellaneous
mmlu_moral_disputes,0.5,0.16666666666666666,  - moral_disputes
mmlu_moral_scenarios,0.6,0.16329931618554522,  - moral_scenarios
mmlu_nutrition,0.8,0.13333333333333333,  - nutrition
mmlu_other,0.7230769230769231,0.0392232270276368, - other
mmlu_philosophy,0.9,0.09999999999999999,  - philosophy
mmlu_prehistory,0.9,0.09999999999999999,  - prehistory
mmlu_professional_accounting,0.4,0.16329931618554522,  - professional_accounting
mmlu_professional_law,0.6,0.16329931618554522,  - professional_law
mmlu_professional_medicine,0.9,0.09999999999999999,  - professional_medicine
mmlu_professional_psychology,0.9,0.09999999999999999,  - professional_psychology
mmlu_public_relations,0.6,0.16329931618554522,  - public_relations
mmlu_security_studies,0.7,0.15275252316519466,  - security_studies
mmlu_social_sciences,0.7583333333333333,0.03977172517576765, - social sciences
mmlu_sociology,0.7,0.15275252316519466,  - sociology
mmlu_stem,0.631578947368421,0.03310168818265475, - stem
mmlu_us_foreign_policy,0.9,0.09999999999999999,  - us_foreign_policy
mmlu_virology,0.6,0.16329931618554522,  - virology
mmlu_world_religions,0.8,0.13333333333333333,  - world_religions
