adapter,model,n_trained,accuracy,psc,nsc,psc_count,nsc_count
lora,meta-llama_Llama-3.1-8B-Instruct_lora_tr100_lora_r3_lr1e-5,100,0.385,3637.8,806.7,4911,1193
lora,meta-llama_Llama-3.1-8B-Instruct_lora_tr500_lora_r3_lr1e-5,500,0.22019999999999998,1802.2000000000003,1499.5,2420,2120
lora,meta-llama_Llama-3.1-8B-Instruct_lora_tr1000_lora_r3_lr1e-5,1000,0.03540000000000001,274.9,2012.1,389,2814
lora,meta-llama_Llama-3.1-8B-Instruct_lora_tr2000_lora_r3_lr1e-5,2000,0.17765,1546.8000000000002,1690.1999999999998,2053,2361
lora,meta-llama_Llama-3.1-8B-Instruct_lora_tr3000_lora_r3_lr1e-5,3000,0.07653333333333333,588.0000000000001,1999.3,797,2764
lora,meta-llama_Llama-3.1-8B-Instruct_lora_tr4000_lora_r3_lr1e-5,4000,0.07602500000000001,642.6,2033.9,862,2813
lora,meta-llama_Llama-3.1-8B-Instruct_lora_tr5000_lora_r3_lr1e-5,5000,0.055260000000000004,403.70000000000005,2119.8,552,2912
uiortholora,meta-llama_Llama-3.1-8B-Instruct_uiortholora_tr100_uiortholora_s256_v64_lr1e-5,100,0.006,50.0,60.3,93,113
uiortholora,meta-llama_Llama-3.1-8B-Instruct_uiortholora_tr500_uiortholora_s256_v64_lr1e-5,500,0.012199999999999999,53.800000000000004,66.3,102,124
uiortholora,meta-llama_Llama-3.1-8B-Instruct_uiortholora_tr1000_uiortholora_s256_v64_lr1e-5,1000,0.011100000000000002,86.6,101.4,160,188
uiortholora,meta-llama_Llama-3.1-8B-Instruct_uiortholora_tr2000_uiortholora_s256_v64_lr1e-5,2000,0.01295,130.8,215.1,224,386
uiortholora,meta-llama_Llama-3.1-8B-Instruct_uiortholora_tr3000_uiortholora_s256_v64_lr1e-5,3000,0.010733333333333334,165.9,431.2,271,749
uiortholora,meta-llama_Llama-3.1-8B-Instruct_uiortholora_tr4000_uiortholora_s256_v64_lr1e-5,4000,0.019475000000000003,191.3,644.0999999999999,300,1087
uiortholora,meta-llama_Llama-3.1-8B-Instruct_uiortholora_tr5000_uiortholora_s256_v64_lr1e-5,5000,0.047060000000000005,326.2,899.3,502,1445
vera,meta-llama_Llama-3.1-8B-Instruct_vera_tr100_vera_r3_lr1e-5,100,0.006,34.9,47.9,67,90
vera,meta-llama_Llama-3.1-8B-Instruct_vera_tr500_vera_r3_lr1e-5,500,0.0108,42.3,58.400000000000006,80,110
vera,meta-llama_Llama-3.1-8B-Instruct_vera_tr1000_vera_r3_lr1e-5,1000,0.010900000000000002,69.9,94.5,128,172
vera,meta-llama_Llama-3.1-8B-Instruct_vera_tr2000_vera_r3_lr1e-5,2000,0.011300000000000001,122.1,263.59999999999997,212,466
vera,meta-llama_Llama-3.1-8B-Instruct_vera_tr3000_vera_r3_lr1e-5,3000,0.0101,158.5,470.4,263,813
vera,meta-llama_Llama-3.1-8B-Instruct_vera_tr4000_vera_r3_lr1e-5,4000,0.0158,188.60000000000002,703.5,302,1174
vera,meta-llama_Llama-3.1-8B-Instruct_vera_tr5000_vera_r3_lr1e-5,5000,0.045380000000000004,354.3,1051.7,547,1656
randlora,meta-llama_Llama-3.1-8B-Instruct_randlora_tr100_randlora_r512_lr1e-5,100,0.012000000000000002,37.8,53.30000000000001,72,101
randlora,meta-llama_Llama-3.1-8B-Instruct_randlora_tr500_randlora_r512_lr1e-5,500,0.05660000000000001,351.5,799.8,540,1301
randlora,meta-llama_Llama-3.1-8B-Instruct_randlora_tr1000_randlora_r512_lr1e-5,1000,0.304,2829.7,850.8,3910,1275
randlora,meta-llama_Llama-3.1-8B-Instruct_randlora_tr2000_randlora_r512_lr1e-5,2000,0.33665,3760.3,811.5999999999999,5063,1186
randlora,meta-llama_Llama-3.1-8B-Instruct_randlora_tr3000_randlora_r512_lr1e-5,3000,0.2613333333333333,2967.4,993.2,4059,1437
randlora,meta-llama_Llama-3.1-8B-Instruct_randlora_tr4000_randlora_r512_lr1e-5,4000,0.13390000000000002,1432.6000000000001,1379.1,2028,1985
randlora,meta-llama_Llama-3.1-8B-Instruct_randlora_tr5000_randlora_r512_lr1e-5,5000,0.08997999999999999,933.5,1526.1,1355,2179
