model_path,base_model,peft_method,rank,learning_rate,trainable_modules,mean_accuracy,acc_analogical_similarity,acc_analytic_entailment,acc_causal_judgment,acc_cause_and_effect,acc_common_morpheme,acc_conceptual_combinations,acc_logical_deduction,acc_logical_sequence,acc_odd_one_out,stderr_analogical_similarity,stderr_analytic_entailment,stderr_causal_judgment,stderr_cause_and_effect,stderr_common_morpheme,stderr_conceptual_combinations,stderr_logical_deduction,stderr_logical_sequence,stderr_odd_one_out,results_file,eval_date,eval_duration_seconds
models/gemma-12b/hotpotqa/dora_trAll_lora_r1_lr1e-2,,dora,1,1e-2,trAll,0.370593406496486,0.15170278637770898,0.42857142857142855,0.4789473684210526,0.5163398692810458,0.3,0.22330097087378642,0.19533333333333333,0.6923076923076923,0.3488372093023256,0.019991384090033457,0.05957554687344993,0.036337395047733305,0.040533693641336535,0.06546536707079771,0.041235531898914324,0.010239891848624632,0.07487142513727502,0.05169478420708943,../results/bigbench/hotpotqa/google_gemma-3-12b-it_dora_trAll_lr1e-2_r1/models__gemma-12b__hotpotqa__dora_trAll_lora_r1_lr1e-2/results_2026-02-20T20-29-54.355636.json,1771611761.5166254,435.1037131883204
models/llama-3b/hotpotqa/dora_trAll_lora_r1_lr1e-2,,dora,1,1e-2,trAll,0.37268166611469744,0.15170278637770898,0.42857142857142855,0.4789473684210526,0.6209150326797386,0.26,0.23300970873786409,0.20066666666666666,0.5384615384615384,0.4418604651162791,0.019991384090033457,0.05957554687344993,0.036337395047733305,0.03935161627056306,0.06266203485560373,0.041858325989283136,0.010344291821381215,0.08087038200582258,0.05386473193904115,../results/bigbench/hotpotqa/meta-llama_Llama-3.2-3B-Instruct_dora_trAll_lr1e-2_r1/models__llama-3b__hotpotqa__dora_trAll_lora_r1_lr1e-2/results_2026-02-20T06-38-07.035853.json,1771561985.1208005,304.16924892691895
models/gemma-12b/hotpotqa/dora_trAll_lora_r1_lr1e-3,,dora,1,1e-3,trAll,0.33504590391774797,0.14551083591331268,0.42857142857142855,0.4789473684210526,0.5228758169934641,0.24,0.2524271844660194,0.202,0.38461538461538464,0.36046511627906974,0.01965047314597352,0.05957554687344993,0.036337395047733305,0.04051288756914286,0.0610118757258932,0.04301250399690879,0.010369941680660837,0.07892141169885801,0.05207799763759181,../results/bigbench/hotpotqa/google_gemma-3-12b-it_dora_trAll_lr1e-3_r1/models__gemma-12b__hotpotqa__dora_trAll_lora_r1_lr1e-3/results_2026-02-19T18-10-44.460843.json,1771517010.4417562,436.2999215540476
models/llama-3b/hotpotqa/dora_trAll_lora_r1_lr1e-3,,dora,1,1e-3,trAll,0.36272180862917264,0.16718266253869968,0.42857142857142855,0.5368421052631579,0.6078431372549019,0.38,0.27184466019417475,0.26666666666666666,0.38461538461538464,0.22093023255813954,0.0207942165189549,0.05957554687344993,0.03627078198521412,0.03960079226904003,0.06934092056863769,0.04405268024140923,0.011421792413262384,0.07892141169885801,0.044999354884257665,../results/bigbench/hotpotqa/meta-llama_Llama-3.2-3B-Instruct_dora_trAll_lr1e-3_r1/models__llama-3b__hotpotqa__dora_trAll_lora_r1_lr1e-3/results_2026-02-19T19-51-40.353353.json,1771523196.6941206,305.92211092682555
models/gemma-12b/hotpotqa/dora_trAll_lora_r1_lr1e-4,,dora,1,1e-4,trAll,0.6235282378461481,0.3746130030959752,0.42857142857142855,0.6263157894736842,0.7647058823529411,0.6,0.7378640776699029,0.3566666666666667,0.8974358974358975,0.8255813953488372,0.02697353781503226,0.05957554687344993,0.03518990966860908,0.034405744227388346,0.06998542122237651,0.04354631077260595,0.012372243880940515,0.04921614717627657,0.041159196671218555,../results/bigbench/hotpotqa/google_gemma-3-12b-it_dora_trAll_lr1e-4_r1/models__gemma-12b__hotpotqa__dora_trAll_lora_r1_lr1e-4/results_2026-02-18T15-33-43.982008.json,1771421187.6350102,438.60578656801954
models/llama-3b/hotpotqa/dora_trAll_lora_r1_lr1e-4,,dora,1,1e-4,trAll,0.4865632318265896,0.25077399380804954,0.42857142857142855,0.531578947368421,0.7254901960784313,0.56,0.6601941747572816,0.29133333333333333,0.38461538461538464,0.5465116279069767,0.024155705949743332,0.05957554687344993,0.036297038088316094,0.0361970276724367,0.07091242083423346,0.046897659372781356,0.01173586959872625,0.07892141169885801,0.053997458379123835,../results/bigbench/hotpotqa/meta-llama_Llama-3.2-3B-Instruct_dora_trAll_lr1e-4_r1/models__llama-3b__hotpotqa__dora_trAll_lora_r1_lr1e-4/results_2026-02-19T08-47-11.440643.json,1771483311.9014142,321.8173258630559
models/gemma-12b/hotpotqa/dora_trAll_lora_r1_lr1e-5,,dora,1,1e-5,trAll,0.6198708179391311,0.29721362229102166,0.42857142857142855,0.6105263157894737,0.8300653594771242,0.56,0.8155339805825242,0.30466666666666664,0.8717948717948718,0.8604651162790697,0.025469363219004684,0.05957554687344993,0.035469931637371645,0.030463185123198167,0.07091242083423346,0.038404236272882766,0.011887983093048473,0.05423355275954148,0.037583616572355615,../results/bigbench/hotpotqa/google_gemma-3-12b-it_dora_trAll_lr1e-5_r1/models__gemma-12b__hotpotqa__dora_trAll_lora_r1_lr1e-5/results_2026-02-17T12-40-27.772746.json,1771324288.900648,541.1295111021027
models/llama-3b/hotpotqa/dora_trAll_lora_r1_lr1e-5,,dora,1,1e-5,trAll,0.47259597257271285,0.19504643962848298,0.42857142857142855,0.49473684210526314,0.7581699346405228,0.5,0.6699029126213593,0.2826666666666667,0.4358974358974359,0.4883720930232558,0.02208139418143866,0.05957554687344993,0.0363676333778788,0.03473094752671374,0.07142857142857142,0.04656147110012349,0.011630462584154988,0.08044135838502686,0.054217947080641996,../results/bigbench/hotpotqa/meta-llama_Llama-3.2-3B-Instruct_dora_trAll_lr1e-5_r1/models__llama-3b__hotpotqa__dora_trAll_lora_r1_lr1e-5/results_2026-02-18T21-37-29.333519.json,1771443145.551163,306.0364881809801
models/gemma-12b/hotpotqa/dora_trAll_lora_r1_lr5e-3,,dora,1,5e-3,trAll,0.35881691284419154,0.15170278637770898,0.42857142857142855,0.4789473684210526,0.5686274509803921,0.2,0.24271844660194175,0.19933333333333333,0.5641025641025641,0.3953488372093023,0.019991384090033457,0.05957554687344993,0.036337395047733305,0.040171529668012226,0.05714285714285715,0.04245022486384496,0.010318463265419433,0.08044135838502686,0.05303141512089014,../results/bigbench/hotpotqa/google_gemma-3-12b-it_dora_trAll_lr5e-3_r1/models__gemma-12b__hotpotqa__dora_trAll_lora_r1_lr5e-3/results_2026-02-20T07-23-38.984921.json,1771564589.5303369,431.70909192599356
models/llama-3b/hotpotqa/dora_trAll_lora_r1_lr5e-3,,dora,1,5e-3,trAll,0.35892770125802526,0.14551083591331268,0.42857142857142855,0.4789473684210526,0.5947712418300654,0.22,0.22330097087378642,0.20066666666666666,0.5897435897435898,0.3488372093023256,0.01965047314597352,0.05957554687344993,0.036337395047733305,0.03982018891893144,0.059178043363451366,0.041235531898914324,0.010344291821381215,0.07979349797082042,0.05169478420708943,../results/bigbench/hotpotqa/meta-llama_Llama-3.2-3B-Instruct_dora_trAll_lr5e-3_r1/models__llama-3b__hotpotqa__dora_trAll_lora_r1_lr5e-3/results_2026-02-20T01-17-54.145284.json,1771542772.579931,303.82752662105486
