source_file,adapter_type,lr,rank,tr_from_name,tr_actual,accuracy,negative_shift_count,negative_shift_score,positive_shift_count,positive_shift_score,raw_adapter_name
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,1e-4,1.0,,11323,0.714607436191822,1217,1125.5,289,227.9,lora_trAll_lora_r1_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,1e-4,3.0,,11323,0.8211604698401483,1138,1052.4,283,224.0,lora_trAll_lora_r3_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,1e-4,8.0,,11323,0.852936500927316,1150,1060.6999999999998,300,239.5,lora_trAll_lora_r8_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,1e-5,16.0,,11323,0.1473902675969266,627,522.1,195,145.9,lora_trAll_lora_r16_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,1e-5,1.0,,11323,0.15841208160381526,692,587.7,204,152.20000000000002,lora_trAll_lora_r1_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,1e-5,32.0,,11323,0.14886514174688686,634,528.3000000000001,204,151.2,lora_trAll_lora_r32_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,1e-5,3.0,,11323,0.15118784774353086,645,544.9,201,148.5,lora_trAll_lora_r3_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,1e-5,64.0,,11323,0.14822043628013776,624,524.1000000000001,191,141.8,lora_trAll_lora_r64_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,1e-5,8.0,,11323,0.15013688951691248,633,533.0999999999999,198,146.2,lora_trAll_lora_r8_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,16.0,,11323,0.5934822926786187,1203,1103.3,262,205.5,lora_trAll_lora_r16_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,1.0,,11323,0.5225646913362183,1228,1128.1,226,179.40000000000003,lora_trAll_lora_r1_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,32.0,,11323,0.6039477170361212,1228,1124.1999999999998,259,205.4,lora_trAll_lora_r32_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,3.0,,11323,0.5763931820188996,1231,1130.4,242,190.2,lora_trAll_lora_r3_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,64.0,,11323,0.6062086019606111,1227,1127.0,259,203.9,lora_trAll_lora_r64_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,8.0,,11323,0.5871147222467544,1183,1088.9,260,204.3,lora_trAll_lora_r8_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,,,11323,0.4987105890665018,1252,1148.2,249,195.7,lora_trAll_sv_svec_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-6,16.0,,11323,0.10918484500574052,531,434.6000000000001,160,118.7,lora_trAll_lora_r16_lr5e-6
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-6,1.0,,11323,0.1107303718095911,541,446.9,159,118.30000000000001,lora_trAll_lora_r1_lr5e-6
