source_file,adapter_type,lr,rank,svals,svecs,tr_from_name,tr_actual,accuracy,negative_shift_count,negative_shift_score,positive_shift_count,positive_shift_score,raw_adapter_name
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-2,16.0,,,,11323,0.01498719420648238,2005,1986.7,1,0.9,dora_trAll_lora_r16_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-2,1.0,,,,11323,0.003329506314580942,2233,2207.0,0,0.0,dora_trAll_lora_r1_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-2,32.0,,,,11323,0.005360770113927405,2192,2162.7999999999997,0,0.0,dora_trAll_lora_r32_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-2,3.0,,,,11323,0.004415790868144484,2218,2188.2,0,0.0,dora_trAll_lora_r3_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-2,8.0,,,,11323,0.004389296122935618,2230,2200.3,0,0.0,dora_trAll_lora_r8_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-3,16.0,,,,11323,0.9975713150225205,1379,1362.0,67,60.300000000000004,dora_trAll_lora_r16_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-3,1.0,,,,11323,0.896520356795902,1302,1282.8000000000002,70,63.0,dora_trAll_lora_r1_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-3,32.0,,,,11323,0.9977126203303012,1340,1324.2,83,74.70000000000003,dora_trAll_lora_r32_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-3,3.0,,,,11323,0.9935176190055638,1359,1342.0,79,71.10000000000005,dora_trAll_lora_r3_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-3,8.0,,,,11323,0.997067914863552,1398,1381.4,83,74.70000000000003,dora_trAll_lora_r8_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-4,16.0,,,,11323,0.8584032500220791,841,827.6000000000001,96,86.40000000000002,dora_trAll_lora_r16_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-4,1.0,,,,11323,0.7071977391150756,928,912.7,85,76.50000000000004,dora_trAll_lora_r1_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-4,32.0,,,,11323,0.8607966086726132,825,811.9000000000001,91,81.90000000000003,dora_trAll_lora_r32_lr1e-4
