source_file,base_model,adapter_type,lr,rank,tr_from_name,tr_actual,accuracy,negative_shift_count,negative_shift_score,positive_shift_count,positive_shift_score,raw_adapter_name
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-4,4.0,100,100,0.28200000000000003,2270,2251.5,4,3.6,google_gemma-3-12b-it_lora_tr100_lora_r4_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-5,4.0,100,100,0.14800000000000002,74,72.4,19,17.099999999999998,google_gemma-3-12b-it_lora_tr100_lora_r4_lr1e-5
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-3,4.0,100,246,0.01991869918699187,4390,4385.299999999999,0,0.0,google_gemma-3-12b-it_lora_tr100_lora_r4_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-4,4.0,500,500,0.032,4419,4415.8,0,0.0,google_gemma-3-12b-it_lora_tr500_lora_r4_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-5,4.0,500,500,0.22579999999999997,1144,1129.6,9,8.1,google_gemma-3-12b-it_lora_tr500_lora_r4_lr1e-5
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-4,4.0,1000,1000,0.027200000000000002,4409,4405.599999999999,0,0.0,google_gemma-3-12b-it_lora_tr1000_lora_r4_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-5,4.0,1000,1000,0.034,4074,4057.8,0,0.0,google_gemma-3-12b-it_lora_tr1000_lora_r4_lr1e-5
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-3,4.0,500,1143,0.014873140857392825,4410,4406.5,1,0.9,google_gemma-3-12b-it_lora_tr500_lora_r4_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-3,4.0,1000,1147,0.05623365300784656,4344,4340.2,1,0.9,google_gemma-3-12b-it_lora_tr1000_lora_r4_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-4,4.0,2000,2000,0.0869,4038,4033.4,3,2.7,google_gemma-3-12b-it_lora_tr2000_lora_r4_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-5,4.0,2000,2000,0.016649999999999998,4341,4334.700000000001,0,0.0,google_gemma-3-12b-it_lora_tr2000_lora_r4_lr1e-5
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-3,4.0,2000,2291,0.02780445220427761,4412,4408.4,0,0.0,google_gemma-3-12b-it_lora_tr2000_lora_r4_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-4,4.0,3000,3000,0.0411,4289,4285.4,0,0.0,google_gemma-3-12b-it_lora_tr3000_lora_r4_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-5,4.0,3000,3000,0.011633333333333336,4381,4376.099999999999,0,0.0,google_gemma-3-12b-it_lora_tr3000_lora_r4_lr1e-5
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-3,4.0,3000,3236,0.05754017305315204,4275,4270.6,0,0.0,google_gemma-3-12b-it_lora_tr3000_lora_r4_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,gemma-3-12b-it,lora,1e-3,4.0,4000,3236,0.05509888751545118,4267,4263.9,0,0.0,google_gemma-3-12b-it_lora_tr4000_lora_r4_lr1e-3
