model_path,base_model,peft_method,rank,learning_rate,trainable_modules,mean_accuracy,acc_analogical_similarity,acc_analytic_entailment,acc_causal_judgment,acc_cause_and_effect,acc_common_morpheme,acc_conceptual_combinations,acc_logical_deduction,acc_logical_sequence,acc_odd_one_out,stderr_analogical_similarity,stderr_analytic_entailment,stderr_causal_judgment,stderr_cause_and_effect,stderr_common_morpheme,stderr_conceptual_combinations,stderr_logical_deduction,stderr_logical_sequence,stderr_odd_one_out,results_file,eval_date,eval_duration_seconds
models/gemma-12b/triviaqa/dora_trAll_lora_r1_lr1e-2,,dora,1,1e-2,trAll,0.3877966037085151,0.13622291021671826,0.42857142857142855,0.4789473684210526,0.6797385620915033,0.24,0.22330097087378642,0.19933333333333333,0.7435897435897436,0.36046511627906974,0.019116042249105448,0.05957554687344993,0.036337395047733305,0.037844387863265216,0.0610118757258932,0.041235531898914324,0.010318463265419433,0.07083413480167725,0.05207799763759181,../results/bigbench/triviaqa/google_gemma-3-12b-it_dora_trAll_lr1e-2_r1/models__gemma-12b__triviaqa__dora_trAll_lora_r1_lr1e-2/results_2026-02-25T17-10-13.584219.json,1772031781.88693,433.95001388387755
models/llama-3b/triviaqa/dora_trAll_lora_r1_lr1e-2,,dora,1,1e-2,trAll,0.38547673764907164,0.13622291021671826,0.42857142857142855,0.4789473684210526,0.6209150326797386,0.24,0.2815533980582524,0.20466666666666666,0.717948717948718,0.36046511627906974,0.019116042249105448,0.05957554687344993,0.036337395047733305,0.03935161627056306,0.0610118757258932,0.044532548363264673,0.010420710578176402,0.07299934324587597,0.05207799763759181,../results/bigbench/triviaqa/meta-llama_Llama-3.2-3B-Instruct_dora_trAll_lr1e-2_r1/models__llama-3b__triviaqa__dora_trAll_lora_r1_lr1e-2/results_2026-02-22T12-36-21.329134.json,1771756267.0026302,316.61012390907854
models/gemma-12b/triviaqa/dora_trAll_lora_r1_lr1e-3,,dora,1,1e-3,trAll,0.37599836908335565,0.15170278637770898,0.42857142857142855,0.4789473684210526,0.6274509803921569,0.26,0.27184466019417475,0.20333333333333334,0.717948717948718,0.2441860465116279,0.019991384090033457,0.05957554687344993,0.036337395047733305,0.0392156862745098,0.06266203485560373,0.04405268024140923,0.01039541416601801,0.07299934324587597,0.04659704878317674,../results/bigbench/triviaqa/google_gemma-3-12b-it_dora_trAll_lr1e-3_r1/models__gemma-12b__triviaqa__dora_trAll_lora_r1_lr1e-3/results_2026-02-23T13-03-05.795901.json,1771844143.3866696,444.69374117208645
models/llama-3b/triviaqa/dora_trAll_lora_r1_lr1e-3,,dora,1,1e-3,trAll,0.34108165653522055,0.15479876160990713,0.42857142857142855,0.46842105263157896,0.5947712418300654,0.44,0.30097087378640774,0.20933333333333334,0.3333333333333333,0.13953488372093023,0.020157462823895463,0.05957554687344993,0.036297038088316094,0.03982018891893144,0.07091242083423346,0.045416094465039504,0.010507879723495518,0.07647191129018727,0.037583616572355615,../results/bigbench/triviaqa/meta-llama_Llama-3.2-3B-Instruct_dora_trAll_lr1e-3_r1/models__llama-3b__triviaqa__dora_trAll_lora_r1_lr1e-3/results_2026-02-21T08-17-53.652931.json,1771654355.4229512,320.49679741077125
models/gemma-12b/triviaqa/dora_trAll_lora_r1_lr1e-4,,dora,1,1e-4,trAll,0.6252926935072849,0.33746130030959753,0.42857142857142855,0.5578947368421052,0.8758169934640523,0.7,0.7572815533980582,0.39666666666666667,0.7948717948717948,0.7790697674418605,0.026350549577810505,0.05957554687344993,0.03612501803855088,0.02674951886232827,0.06546536707079771,0.04245022486384496,0.01263544951862972,0.06550424345215437,0.044999354884257665,../results/bigbench/triviaqa/google_gemma-3-12b-it_dora_trAll_lr1e-4_r1/models__gemma-12b__triviaqa__dora_trAll_lora_r1_lr1e-4/results_2026-02-21T09-16-18.875303.json,1771657730.8263063,450.2882710858248
models/llama-3b/triviaqa/dora_trAll_lora_r1_lr1e-4,,dora,1,1e-4,trAll,0.4582786467050464,0.20743034055727555,0.42857142857142855,0.5210526315789473,0.738562091503268,0.44,0.5922330097087378,0.2813333333333333,0.5897435897435898,0.32558139534883723,0.022595758573413196,0.05957554687344993,0.0363373950477333,0.03564150157965489,0.07091242083423346,0.048657775704107696,0.011613778275098132,0.07979349797082042,0.05082590242265215,../results/bigbench/triviaqa/meta-llama_Llama-3.2-3B-Instruct_dora_trAll_lr1e-4_r1/models__llama-3b__triviaqa__dora_trAll_lora_r1_lr1e-4/results_2026-02-20T03-43-04.196386.json,1771551480.656233,305.8026593779214
models/gemma-12b/triviaqa/dora_trAll_lora_r1_lr1e-5,,dora,1,1e-5,trAll,0.6010815408531321,0.25077399380804954,0.42857142857142855,0.5736842105263158,0.8431372549019608,0.54,0.7864077669902912,0.32466666666666666,0.8717948717948718,0.7906976744186046,0.024155705949743332,0.05957554687344993,0.035972552523024615,0.029497638654192884,0.07119963311072636,0.04058042015646035,0.012094199488004649,0.05423355275954148,0.04412480456048901,../results/bigbench/triviaqa/google_gemma-3-12b-it_dora_trAll_lr1e-5_r1/models__gemma-12b__triviaqa__dora_trAll_lora_r1_lr1e-5/results_2026-02-19T04-57-48.127228.json,1771469435.0491476,435.34309751726687
models/llama-3b/triviaqa/dora_trAll_lora_r1_lr1e-5,,dora,1,1e-5,trAll,0.457346866191487,0.19814241486068113,0.42857142857142855,0.5210526315789473,0.7908496732026143,0.38,0.6310679611650486,0.27466666666666667,0.46153846153846156,0.43023255813953487,0.02221311223016424,0.05957554687344993,0.0363373950477333,0.0329878833016494,0.06934092056863769,0.0477761518115674,0.01152845158972489,0.08087038200582258,0.05370206525289722,../results/bigbench/triviaqa/meta-llama_Llama-3.2-3B-Instruct_dora_trAll_lr1e-5_r1/models__llama-3b__triviaqa__dora_trAll_lora_r1_lr1e-5/results_2026-02-18T23-14-46.318392.json,1771448982.5042639,306.0632800213061
models/gemma-12b/triviaqa/dora_trAll_lora_r1_lr5e-3,,dora,1,5e-3,trAll,0.34170994734094123,0.14551083591331268,0.42857142857142855,0.4789473684210526,0.7058823529411765,0.22,0.24271844660194175,0.202,0.2564102564102564,0.3953488372093023,0.01965047314597352,0.05957554687344993,0.036337395047733305,0.03695769779044372,0.059178043363451366,0.04245022486384496,0.010369941680660837,0.07083413480167725,0.05303141512089014,../results/bigbench/triviaqa/google_gemma-3-12b-it_dora_trAll_lr5e-3_r1/models__gemma-12b__triviaqa__dora_trAll_lora_r1_lr5e-3/results_2026-02-24T15-30-29.319926.json,1771939400.9309964,430.6605910998769
models/llama-3b/triviaqa/dora_trAll_lora_r1_lr5e-3,,dora,1,5e-3,trAll,0.34888302621122685,0.13622291021671826,0.42857142857142855,0.4789473684210526,0.5098039215686274,0.32,0.27184466019417475,0.20266666666666666,0.5128205128205128,0.27906976744186046,0.019116042249105448,0.05957554687344993,0.036337395047733305,0.04054755842492702,0.06663945022680343,0.04405268024140923,0.010382700013273828,0.08108404256841999,0.048651199409893806,../results/bigbench/triviaqa/meta-llama_Llama-3.2-3B-Instruct_dora_trAll_lr5e-3_r1/models__llama-3b__triviaqa__dora_trAll_lora_r1_lr5e-3/results_2026-02-21T22-34-47.581192.json,1771705784.9331236,304.9136177650653
models/gemma-12b/triviaqa/dora_trAll_lora_r1_lr5e-4,,dora,1,5e-4,trAll,0.3689076717868612,0.21671826625386997,0.42857142857142855,0.48947368421052634,0.7189542483660131,0.24,0.36893203883495146,0.28,0.3333333333333333,0.2441860465116279,0.022960366833113505,0.05957554687344993,0.03636158772354764,0.0364600571933533,0.0610118757258932,0.0477761518115674,0.011596967697341495,0.07647191129018727,0.04659704878317674,../results/bigbench/triviaqa/google_gemma-3-12b-it_dora_trAll_lr5e-4_r1/models__gemma-12b__triviaqa__dora_trAll_lora_r1_lr5e-4/results_2026-02-22T11-20-24.609951.json,1771751588.7031217,438.18526322813705
models/llama-3b/triviaqa/dora_trAll_lora_r1_lr5e-4,,dora,1,5e-4,trAll,0.3882761039641237,0.16408668730650156,0.42857142857142855,0.46842105263157896,0.6797385620915033,0.26,0.4368932038834951,0.23,0.5128205128205128,0.313953488372093,0.02063903362994227,0.05957554687344993,0.036297038088316094,0.037844387863265216,0.06266203485560373,0.04911147107365778,0.010869472401494835,0.08108404256841999,0.050338465646658795,../results/bigbench/triviaqa/meta-llama_Llama-3.2-3B-Instruct_dora_trAll_lr5e-4_r1/models__llama-3b__triviaqa__dora_trAll_lora_r1_lr5e-4/results_2026-02-20T17-58-02.728441.json,1771602780.1927657,304.79992662835866
models/gemma-12b/triviaqa/dora_trAll_lora_r1_lr5e-5,,dora,1,5e-5,trAll,0.6254749743718327,0.3684210526315789,0.42857142857142855,0.5473684210526316,0.8431372549019608,0.72,0.7961165048543689,0.34933333333333333,0.8205128205128205,0.7558139534883721,0.026881785181855217,0.05957554687344993,0.036206070458230516,0.029497638654192884,0.06414269805898185,0.0398913985953177,0.012313980934477425,0.062254049094039386,0.04659704878317674,../results/bigbench/triviaqa/google_gemma-3-12b-it_dora_trAll_lr5e-5_r1/models__gemma-12b__triviaqa__dora_trAll_lora_r1_lr5e-5/results_2026-02-20T07-01-38.195786.json,1771563263.6441648,436.8202892909758
models/llama-3b/triviaqa/dora_trAll_lora_r1_lr5e-5,,dora,1,5e-5,trAll,0.44465947268308387,0.17027863777089783,0.42857142857142855,0.48947368421052634,0.738562091503268,0.38,0.6116504854368932,0.28,0.46153846153846156,0.4418604651162791,0.020946828818365727,0.05957554687344993,0.03636158772354764,0.03564150157965489,0.06934092056863769,0.04825729337356393,0.011596967697341495,0.08087038200582258,0.05386473193904115,../results/bigbench/triviaqa/meta-llama_Llama-3.2-3B-Instruct_dora_trAll_lr5e-5_r1/models__llama-3b__triviaqa__dora_trAll_lora_r1_lr5e-5/results_2026-02-19T13-24-28.872798.json,1771499965.8894017,305.26506928307936
models/gemma-12b/triviaqa/dora_trAll_lora_r3_lr1e-2,,dora,3,1e-2,trAll,0.35038485835091376,0.13622291021671826,0.42857142857142855,0.4789473684210526,0.5490196078431373,0.28,0.2621359223300971,0.20133333333333334,0.41025641025641024,0.4069767441860465,0.019116042249105448,0.05957554687344993,0.036337395047733305,0.040359981975286216,0.06414269805898185,0.04354631077260595,0.010357139004911517,0.07979349797082042,0.05328576389483535,../results/bigbench/triviaqa/google_gemma-3-12b-it_dora_trAll_lr1e-2_r3/models__gemma-12b__triviaqa__dora_trAll_lora_r3_lr1e-2/results_2026-02-25T22-43-42.336254.json,1772051775.1358232,449.4483224567957
models/llama-3b/triviaqa/dora_trAll_lora_r3_lr1e-2,,dora,3,1e-2,trAll,0.3495450803687808,0.13622291021671826,0.42857142857142855,0.4789473684210526,0.5555555555555556,0.28,0.2524271844660194,0.19933333333333333,0.38461538461538464,0.43023255813953487,0.019116042249105448,0.05957554687344993,0.036337395047733305,0.04030423611722288,0.06414269805898185,0.04301250399690879,0.010318463265419433,0.07892141169885801,0.05370206525289722,../results/bigbench/triviaqa/meta-llama_Llama-3.2-3B-Instruct_dora_trAll_lr1e-2_r3/models__llama-3b__triviaqa__dora_trAll_lora_r3_lr1e-2/results_2026-02-22T15-31-36.240769.json,1771766788.0183163,310.4798921807669
models/gemma-12b/triviaqa/dora_trAll_lora_r3_lr1e-3,,dora,3,1e-3,trAll,0.33802248473807794,0.14860681114551083,0.42857142857142855,0.4789473684210526,0.5490196078431373,0.34,0.24271844660194175,0.20466666666666666,0.358974358974359,0.29069767441860467,0.019822412406748303,0.05957554687344993,0.036337395047733305,0.040359981975286216,0.0676726816132972,0.04245022486384496,0.010420710578176402,0.07781756136754922,0.049252355752105854,../results/bigbench/triviaqa/google_gemma-3-12b-it_dora_trAll_lr1e-3_r3/models__gemma-12b__triviaqa__dora_trAll_lora_r3_lr1e-3/results_2026-02-23T18-26-06.675641.json,1771863522.3225958,446.6160960472189
models/llama-3b/triviaqa/dora_trAll_lora_r3_lr1e-3,,dora,3,1e-3,trAll,0.34201950144371346,0.15479876160990713,0.42857142857142855,0.46842105263157896,0.5947712418300654,0.4,0.2815533980582524,0.21666666666666667,0.358974358974359,0.1744186046511628,0.020157462823895463,0.05957554687344993,0.036297038088316094,0.03982018891893144,0.06998542122237651,0.044532548363264673,0.010640659310800585,0.07781756136754922,0.04115919667121856,../results/bigbench/triviaqa/meta-llama_Llama-3.2-3B-Instruct_dora_trAll_lr1e-3_r3/models__llama-3b__triviaqa__dora_trAll_lora_r3_lr1e-3/results_2026-02-21T11-16-51.096960.json,1771665107.7368813,305.6207690271549
models/gemma-12b/triviaqa/dora_trAll_lora_r3_lr1e-4,,dora,3,1e-4,trAll,0.6296220028024428,0.4953560371517028,0.42857142857142855,0.531578947368421,0.8104575163398693,0.68,0.7961165048543689,0.3413333333333333,0.7692307692307693,0.813953488372093,0.02786270875486773,0.05957554687344993,0.036297038088316094,0.03179044570018348,0.06663945022680344,0.0398913985953177,0.012246764801012557,0.06834794743374142,0.04220861455688512,../results/bigbench/triviaqa/google_gemma-3-12b-it_dora_trAll_lr1e-4_r3/models__gemma-12b__triviaqa__dora_trAll_lora_r3_lr1e-4/results_2026-02-21T14-37-05.176180.json,1771676974.2005496,453.2097383039072
models/llama-3b/triviaqa/dora_trAll_lora_r3_lr1e-4,,dora,3,1e-4,trAll,0.4516820760578124,0.18575851393188855,0.42857142857142855,0.5105263157894737,0.7647058823529411,0.42,0.6116504854368932,0.2986666666666667,0.46153846153846156,0.38372093023255816,0.021673200128992987,0.05957554687344993,0.03636158772354764,0.034405744227388346,0.07050835816716038,0.04825729337356393,0.011821015898411875,0.08087038200582258,0.05274569153679126,../results/bigbench/triviaqa/meta-llama_Llama-3.2-3B-Instruct_dora_trAll_lr1e-4_r3/models__llama-3b__triviaqa__dora_trAll_lora_r3_lr1e-4/results_2026-02-20T06-39-02.256654.json,1771562034.0195043,310.49839411024004
models/gemma-12b/triviaqa/dora_trAll_lora_r3_lr1e-5,,dora,3,1e-5,trAll,0.5984522804533094,0.2848297213622291,0.42857142857142855,0.5684210526315789,0.8235294117647058,0.56,0.7475728155339806,0.32466666666666666,0.8461538461538461,0.8023255813953488,0.025151821686179444,0.05957554687344993,0.03602751443822839,0.03092102841399099,0.07091242083423346,0.04301250399690879,0.012094199488004649,0.05852968540405247,0.04319575725815514,../results/bigbench/triviaqa/google_gemma-3-12b-it_dora_trAll_lr1e-5_r3/models__gemma-12b__triviaqa__dora_trAll_lora_r3_lr1e-5/results_2026-02-19T10-16-24.431989.json,1771488533.5829136,453.1556022441946
