adapter,lr,avg_mmlu_acc,std_mmlu_acc,num_experiments,mmlu_humanities_acc_mean,mmlu_other_acc_mean,mmlu_social_sciences_acc_mean,mmlu_stem_acc_mean
lora,1e-3,0.3352,0.1166,27,0.3246,0.3451,0.3591,0.3179
lora,1e-4,0.6485,0.0542,28,0.5853,0.7096,0.7496,0.5837
lora,1e-5,0.6829,0.0379,28,0.6349,0.739,0.7755,0.6089
randlora,1e-3,0.6362,0.0463,21,0.5814,0.699,0.7332,0.5612
randlora,1e-4,0.6694,0.036,21,0.6256,0.7262,0.7599,0.5904
randlora,1e-5,0.6732,0.0386,21,0.633,0.7301,0.7598,0.5926
uiortholora,1e-3,0.6717,0.0358,21,0.6335,0.7279,0.7586,0.5883
uiortholora,1e-4,0.6735,0.0388,21,0.6342,0.7309,0.7589,0.592
uiortholora,1e-5,0.6739,0.0397,21,0.6334,0.7315,0.76,0.5935
vera,1e-3,0.6696,0.0368,21,0.6278,0.7268,0.7595,0.5877
vera,1e-4,0.6732,0.0385,21,0.6335,0.7303,0.7596,0.5916
vera,1e-5,0.673,0.0405,20,0.6321,0.7308,0.7586,0.5933
