model,model_full,adapter,lr,avg_mmlu_acc,std_mmlu_acc,num_experiments,mmlu_humanities_acc_mean,mmlu_other_acc_mean,mmlu_social_sciences_acc_mean,mmlu_stem_acc_mean
gemma-12b,Gemma-3-12B,lora,1e-3,0.3358,0.1294,14,0.3275,0.3405,0.3569,0.3229
gemma-12b,Gemma-3-12B,lora,1e-4,0.6871,0.0234,14,0.6063,0.7464,0.8001,0.639
gemma-12b,Gemma-3-12B,lora,1e-5,0.7143,0.0036,14,0.6439,0.7678,0.8189,0.6647
gemma-12b,Gemma-3-12B,randlora,1e-3,0.6766,0.0184,7,0.593,0.7368,0.7944,0.6269
gemma-12b,Gemma-3-12B,randlora,1e-4,0.7064,0.0058,7,0.6262,0.7626,0.8164,0.6634
gemma-12b,Gemma-3-12B,randlora,1e-5,0.713,0.002,7,0.6383,0.765,0.8179,0.6708
gemma-12b,Gemma-3-12B,uiortholora,1e-3,0.7092,0.0037,7,0.639,0.7618,0.8138,0.6601
gemma-12b,Gemma-3-12B,uiortholora,1e-4,0.714,0.0018,7,0.6391,0.7667,0.8182,0.672
gemma-12b,Gemma-3-12B,uiortholora,1e-5,0.7153,0.0002,7,0.6396,0.7679,0.8201,0.6741
gemma-12b,Gemma-3-12B,vera,1e-3,0.7078,0.0034,7,0.6323,0.7621,0.8157,0.6615
gemma-12b,Gemma-3-12B,vera,1e-4,0.7132,0.0042,7,0.6401,0.7648,0.8176,0.6695
gemma-12b,Gemma-3-12B,vera,1e-5,0.7149,0.0005,7,0.6388,0.7677,0.8193,0.6746
llama-3b,Llama-3.2-3B,lora,1e-3,0.3876,0.115,7,0.3611,0.4092,0.4337,0.3607
llama-3b,Llama-3.2-3B,lora,1e-4,0.5708,0.0351,7,0.5453,0.6188,0.6432,0.4909
llama-3b,Llama-3.2-3B,lora,1e-5,0.6235,0.0024,7,0.6112,0.6784,0.6912,0.5217
llama-3b,Llama-3.2-3B,randlora,1e-3,0.5822,0.027,7,0.5566,0.6388,0.656,0.4925
llama-3b,Llama-3.2-3B,randlora,1e-4,0.6226,0.0016,7,0.611,0.677,0.6903,0.5201
llama-3b,Llama-3.2-3B,randlora,1e-5,0.6228,0.0018,7,0.6119,0.6828,0.6853,0.5189
llama-3b,Llama-3.2-3B,uiortholora,1e-3,0.6253,0.0019,7,0.6157,0.682,0.6895,0.5213
llama-3b,Llama-3.2-3B,uiortholora,1e-4,0.623,0.0014,7,0.6122,0.6843,0.6836,0.5193
llama-3b,Llama-3.2-3B,uiortholora,1e-5,0.6221,0.0006,7,0.6096,0.6838,0.6848,0.5186
llama-3b,Llama-3.2-3B,vera,1e-3,0.6217,0.0028,7,0.6118,0.6771,0.6889,0.5164
llama-3b,Llama-3.2-3B,vera,1e-4,0.623,0.0013,7,0.6116,0.6838,0.6865,0.5181
llama-3b,Llama-3.2-3B,vera,1e-5,0.622,0.0006,7,0.6109,0.683,0.6842,0.5177
llama-8b,Llama-3.1-8B,lora,1e-3,0.2727,0.0527,6,0.2751,0.2814,0.2771,0.2562
llama-8b,Llama-3.1-8B,lora,1e-4,0.6489,0.0174,7,0.5834,0.7268,0.7551,0.5662
llama-8b,Llama-3.1-8B,lora,1e-5,0.6794,0.0029,7,0.6406,0.7419,0.7728,0.5844
llama-8b,Llama-3.1-8B,randlora,1e-3,0.6497,0.0236,7,0.5946,0.7213,0.7493,0.5642
llama-8b,Llama-3.1-8B,randlora,1e-4,0.6792,0.0029,7,0.6395,0.739,0.7731,0.5877
llama-8b,Llama-3.1-8B,randlora,1e-5,0.6839,0.0005,7,0.6489,0.7427,0.7763,0.5882
llama-8b,Llama-3.1-8B,uiortholora,1e-3,0.6804,0.0031,7,0.6459,0.7399,0.7725,0.5834
llama-8b,Llama-3.1-8B,uiortholora,1e-4,0.6835,0.0008,7,0.6514,0.7418,0.7748,0.5848
llama-8b,Llama-3.1-8B,uiortholora,1e-5,0.6843,0.0007,7,0.651,0.7427,0.7751,0.5876
llama-8b,Llama-3.1-8B,vera,1e-3,0.6791,0.0034,7,0.6393,0.7411,0.7739,0.5852
llama-8b,Llama-3.1-8B,vera,1e-4,0.6833,0.0004,7,0.6489,0.7424,0.7746,0.5872
llama-8b,Llama-3.1-8B,vera,1e-5,0.6835,0.0006,6,0.6491,0.7434,0.7747,0.5868
