model_path,base_model,peft_method,rank,learning_rate,trainable_modules,mean_accuracy,acc_analogical_similarity,acc_analytic_entailment,acc_causal_judgment,acc_cause_and_effect,acc_common_morpheme,acc_conceptual_combinations,acc_logical_deduction,acc_logical_sequence,acc_odd_one_out,stderr_analogical_similarity,stderr_analytic_entailment,stderr_causal_judgment,stderr_cause_and_effect,stderr_common_morpheme,stderr_conceptual_combinations,stderr_logical_deduction,stderr_logical_sequence,stderr_odd_one_out,results_file,eval_date,eval_duration_seconds
models/google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-2,google/gemma-3-12b-it_lora_trAll_lora_r3_lr1e-2,lora,3,1e-2,trAll,0.31243575127909523,0.15170278637770898,0.42857142857142855,0.4789473684210526,0.47058823529411764,0.2,0.22330097087378642,0.20466666666666666,0.28205128205128205,0.37209302325581395,0.019991384090033457,0.05957554687344993,0.036337395047733305,0.040485129506569725,0.05714285714285715,0.041235531898914324,0.010420710578176402,0.07299934324587597,0.05242808018387298,../results/bigbench/google_gemma-3-12b-it_lora_trAll_lr1e-2/models__google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-2/results_2026-01-19T18-45-03.491702.json,1768840572.673153,533.0813384739449
models/google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-3,google/gemma-3-12b-it_lora_trAll_lora_r3_lr1e-3,lora,3,1e-3,trAll,0.3142073835831756,0.16408668730650156,0.42857142857142855,0.4789473684210526,0.477124183006536,0.3,0.2524271844660194,0.196,0.20512820512820512,0.32558139534883723,0.02063903362994227,0.05957554687344993,0.036337395047733305,0.04051288756914286,0.06546536707079771,0.04301250399690879,0.010253101192129011,0.06550424345215437,0.05082590242265215,../results/bigbench/google_gemma-3-12b-it_lora_trAll_lr1e-3/models__google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-3/results_2026-01-17T17-20-19.239266.json,1768662687.0981452,534.4158012269763
models/google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-4,google/gemma-3-12b-it_lora_trAll_lora_r3_lr1e-4,lora,3,1e-4,trAll,0.6117873257025798,0.43034055727554177,0.42857142857142855,0.6473684210526316,0.8169934640522876,0.48,0.7864077669902912,0.36333333333333334,0.8205128205128205,0.7325581395348837,0.027592169766443558,0.05957554687344993,0.03475405259582098,0.031363231043705656,0.0713714056959817,0.04058042015646035,0.012422467278161754,0.062254049094039386,0.04800940002762615,../results/bigbench/google_gemma-3-12b-it_lora_trAll_lr1e-4/models__google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-4/results_2026-01-16T23-32-54.882614.json,1768598630.8006992,546.3427716470324
models/google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-5,google/gemma-3-12b-it_lora_trAll_lora_r3_lr1e-5,lora,3,1e-5,trAll,0.6056148327753288,0.15789473684210525,0.42857142857142855,0.631578947368421,0.8562091503267973,0.56,0.7766990291262136,0.32133333333333336,0.8461538461538461,0.872093023255814,0.020320719539614323,0.05957554687344993,0.03508771929824561,0.028459925798746184,0.07091242083423346,0.041235531898914324,0.0120616114095372,0.05852968540405247,0.03622588967678621,../results/bigbench/google_gemma-3-12b-it_lora_trAll_lr1e-5/models__google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-5/results_2026-01-19T03-31-05.455545.json,1768785722.8613114,544.8411364990752
models/google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-6,google/gemma-3-12b-it_lora_trAll_lora_r3_lr1e-6,lora,3,1e-6,trAll,0.6156766220040255,0.23219814241486067,0.42857142857142855,0.6263157894736842,0.8496732026143791,0.54,0.8446601941747572,0.31066666666666665,0.8717948717948718,0.8372093023255814,0.023530221420663064,0.05957554687344993,0.03518990966860908,0.028988274781797944,0.07119963311072636,0.03586594738573976,0.011952566048734424,0.05423355275954148,0.0400426076639687,../results/bigbench/google_gemma-3-12b-it_lora_trAll_lr1e-6/models__google_gemma-3-12b-it_lora_trAll_lora_r3_lr1e-6/results_2026-01-18T23-31-09.329644.json,1768771326.2043355,545.3880368929822
models/google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-3,google/gemma-3-12b-it_lora_trAll_lora_r3_lr5e-3,lora,3,5e-3,trAll,0.3299322471527842,0.15170278637770898,0.42857142857142855,0.4789473684210526,0.5294117647058824,0.2,0.23300970873786409,0.20266666666666666,0.38461538461538464,0.36046511627906974,0.019991384090033457,0.05957554687344993,0.036337395047733305,0.040485129506569725,0.05714285714285715,0.041858325989283136,0.010382700013273828,0.07892141169885801,0.05207799763759181,../results/bigbench/google_gemma-3-12b-it_lora_trAll_lr5e-3/models__google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-3/results_2026-01-19T11-29-20.842677.json,1768814427.9593291,535.15787645604
models/google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-4,google/gemma-3-12b-it_lora_trAll_lora_r3_lr5e-4,lora,3,5e-4,trAll,0.3109721930026639,0.15170278637770898,0.42857142857142855,0.4473684210526316,0.5555555555555556,0.18,0.2621359223300971,0.20066666666666666,0.28205128205128205,0.29069767441860467,0.019991384090033457,0.05957554687344993,0.03616759320717246,0.04030423611722288,0.054883922035138706,0.04354631077260595,0.010344291821381215,0.07299934324587597,0.049252355752105854,../results/bigbench/google_gemma-3-12b-it_lora_trAll_lr5e-4/models__google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-4/results_2026-01-17T09-25-12.778769.json,1768634173.201594,541.8362940250663
models/google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-5,google/gemma-3-12b-it_lora_trAll_lora_r3_lr5e-5,lora,3,5e-5,trAll,0.6213277894980297,0.3281733746130031,0.42857142857142855,0.5789473684210527,0.8431372549019608,0.56,0.7961165048543689,0.348,0.8717948717948718,0.8372093023255814,0.026166904017550802,0.05957554687344993,0.03591342566450239,0.029497638654192884,0.07091242083423346,0.0398913985953177,0.012303044742662687,0.05423355275954148,0.0400426076639687,../results/bigbench/google_gemma-3-12b-it_lora_trAll_lr5e-5/models__google_gemma-3-12b-it_lora_trAll_lora_r3_lr5e-5/results_2026-01-19T07-31-02.411338.json,1768800118.0188985,546.6582288250793
models/google_gemma-3-12b-it_lora_trAll_lora_r3_lr7e-3,google/gemma-3-12b-it_lora_trAll_lora_r3_lr7e-3,lora,3,7e-3,trAll,0.32243651571742415,0.15170278637770898,0.42857142857142855,0.5,0.5228758169934641,0.22,0.22330097087378642,0.20133333333333334,0.28205128205128205,0.37209302325581395,0.019991384090033457,0.05957554687344993,0.036369648372665396,0.04051288756914286,0.059178043363451366,0.041235531898914324,0.010357139004911517,0.07299934324587597,0.05242808018387298,../results/bigbench/google_gemma-3-12b-it_lora_trAll_lr7e-3/models__google_gemma-3-12b-it_lora_trAll_lora_r3_lr7e-3/results_2026-01-19T14-53-22.196640.json,1768826670.0378425,534.444967141957
models/google_gemma-3-12b-it_lora_trAll_lora_r3_lr7e-4,google/gemma-3-12b-it_lora_trAll_lora_r3_lr7e-4,lora,3,7e-4,trAll,0.32235524679393024,0.14241486068111456,0.42857142857142855,0.48947368421052634,0.5294117647058824,0.24,0.24271844660194175,0.19533333333333333,0.3076923076923077,0.32558139534883723,0.019475487710131797,0.05957554687344993,0.03636158772354764,0.040485129506569725,0.0610118757258932,0.04245022486384496,0.010239891848624632,0.07487142513727502,0.05082590242265215,../results/bigbench/google_gemma-3-12b-it_lora_trAll_lr7e-4/models__google_gemma-3-12b-it_lora_trAll_lora_r3_lr7e-4/results_2026-01-17T13-22-04.691616.json,1768648390.7446408,536.2653610730777
