model,layer,out_features,in_features,method,device,weight_dtype,wall_s,flops,peak_cuda_bytes,rss_delta_kb
Llama-3.2-3B-Instruct,q_proj,3072,3072,raw_svd,cpu,torch.float32,3.906278391000342,483183820800,0,284588
Llama-3.2-3B-Instruct,q_proj,3072,3072,uiortholora,cpu,torch.float32,3.944196830000692,483183820800,0,286272
Llama-3.2-3B-Instruct,q_proj,3072,3072,lora,cpu,torch.float32,0.002143447999515047,98304,0,286272
Llama-3.2-3B-Instruct,k_proj,1024,3072,raw_svd,cpu,torch.float32,0.7763901750004152,47960468138,0,286272
Llama-3.2-3B-Instruct,k_proj,1024,3072,uiortholora,cpu,torch.float32,0.7462368500000593,47960468138,0,286272
Llama-3.2-3B-Instruct,k_proj,1024,3072,lora,cpu,torch.float32,0.0016634670000712504,65536,0,286272
Llama-3.2-3B-Instruct,v_proj,1024,3072,raw_svd,cpu,torch.float32,0.779123520000212,47960468138,0,286272
Llama-3.2-3B-Instruct,v_proj,1024,3072,uiortholora,cpu,torch.float32,0.7591193809994365,47960468138,0,286272
Llama-3.2-3B-Instruct,v_proj,1024,3072,lora,cpu,torch.float32,0.0015644679997421918,65536,0,286272
Llama-3.2-3B-Instruct,o_proj,3072,3072,raw_svd,cpu,torch.float32,3.609006394000062,483183820800,0,318916
Llama-3.2-3B-Instruct,o_proj,3072,3072,uiortholora,cpu,torch.float32,3.362730431000273,483183820800,0,318916
Llama-3.2-3B-Instruct,o_proj,3072,3072,lora,cpu,torch.float32,0.00183139500040852,98304,0,318916
Llama-3.2-3B-Instruct,gate_proj,8192,3072,raw_svd,cpu,torch.float32,4.518502781999814,1159641169920,0,558848
Llama-3.2-3B-Instruct,gate_proj,8192,3072,uiortholora,cpu,torch.float32,4.689079140999638,1159641169920,0,563288
Llama-3.2-3B-Instruct,gate_proj,8192,3072,lora,cpu,torch.float32,0.002453316999890376,180224,0,563288
Llama-3.2-3B-Instruct,up_proj,8192,3072,raw_svd,cpu,torch.float32,4.513637461999679,1159641169920,0,563288
Llama-3.2-3B-Instruct,up_proj,8192,3072,uiortholora,cpu,torch.float32,4.5794936580005015,1159641169920,0,563288
Llama-3.2-3B-Instruct,up_proj,8192,3072,lora,cpu,torch.float32,0.002417009000055259,180224,0,563288
Llama-3.2-3B-Instruct,down_proj,3072,8192,raw_svd,cpu,torch.float32,11.045395697999993,1159641169920,0,563288
Llama-3.2-3B-Instruct,down_proj,3072,8192,uiortholora,cpu,torch.float32,10.97264564499983,1159641169920,0,563288
Llama-3.2-3B-Instruct,down_proj,3072,8192,lora,cpu,torch.float32,0.002990739999404468,180224,0,563288
