model,layer,out_features,in_features,method,device,weight_dtype,wall_s,flops,peak_cuda_bytes,rss_delta_kb
Llama-3.2-3B-Instruct,q_proj,3072,3072,raw_svd,cuda,torch.bfloat16,0.8607215259999066,483183820800,246330368,55736
Llama-3.2-3B-Instruct,q_proj,3072,3072,uiortholora,cuda,torch.bfloat16,0.8697511529999247,483183820800,246330368,55836
Llama-3.2-3B-Instruct,q_proj,3072,3072,lora,cuda,torch.bfloat16,0.0030215500000849715,98304,19070976,68196
Llama-3.2-3B-Instruct,k_proj,1024,3072,raw_svd,cuda,torch.bfloat16,0.25485903000026155,47960468138,78210048,109356
Llama-3.2-3B-Instruct,k_proj,1024,3072,uiortholora,cuda,torch.bfloat16,0.09211695700014388,47960468138,78210048,127788
Llama-3.2-3B-Instruct,k_proj,1024,3072,lora,cuda,torch.bfloat16,0.0023212470005091745,65536,6422528,127916
Llama-3.2-3B-Instruct,v_proj,1024,3072,raw_svd,cuda,torch.bfloat16,0.08859147400016809,47960468138,78210048,127916
Llama-3.2-3B-Instruct,v_proj,1024,3072,uiortholora,cuda,torch.bfloat16,0.09340458799943008,47960468138,78210048,127916
Llama-3.2-3B-Instruct,v_proj,1024,3072,lora,cuda,torch.bfloat16,0.0024113669996950193,65536,6422528,127916
Llama-3.2-3B-Instruct,o_proj,3072,3072,raw_svd,cuda,torch.bfloat16,0.852470515999812,483183820800,246330368,164780
Llama-3.2-3B-Instruct,o_proj,3072,3072,uiortholora,cuda,torch.bfloat16,0.8634558189996824,483183820800,246330368,164864
Llama-3.2-3B-Instruct,o_proj,3072,3072,lora,cuda,torch.bfloat16,0.0026272089999110904,98304,19070976,164864
Llama-3.2-3B-Instruct,gate_proj,8192,3072,raw_svd,cuda,torch.bfloat16,0.8901338450004914,1159641169920,530592256,275456
Llama-3.2-3B-Instruct,gate_proj,8192,3072,uiortholora,cuda,torch.bfloat16,0.8834927119996792,1159641169920,530592256,275456
Llama-3.2-3B-Instruct,gate_proj,8192,3072,lora,cuda,torch.bfloat16,0.0033432430000175373,180224,50692096,275456
Llama-3.2-3B-Instruct,up_proj,8192,3072,raw_svd,cuda,torch.bfloat16,0.8886511470000187,1159641169920,530592256,275456
Llama-3.2-3B-Instruct,up_proj,8192,3072,uiortholora,cuda,torch.bfloat16,0.8964949350001916,1159641169920,530592256,275456
Llama-3.2-3B-Instruct,up_proj,8192,3072,lora,cuda,torch.bfloat16,0.0032039910001913086,180224,50692096,275456
Llama-3.2-3B-Instruct,down_proj,3072,8192,raw_svd,cuda,torch.bfloat16,0.8793328849997124,1159641169920,631255552,275464
Llama-3.2-3B-Instruct,down_proj,3072,8192,uiortholora,cuda,torch.bfloat16,0.8865692469998976,1159641169920,631255552,275464
Llama-3.2-3B-Instruct,down_proj,3072,8192,lora,cuda,torch.bfloat16,0.004022654999971564,180224,50692096,275464
Gemma-3-12B-IT,q_proj,4096,3840,raw_svd,cuda,torch.bfloat16,1.6708132799994928,996566630400,457457152,0
Gemma-3-12B-IT,q_proj,4096,3840,uiortholora,cuda,torch.bfloat16,1.6683696720001535,996566630400,457457152,0
Gemma-3-12B-IT,q_proj,4096,3840,lora,cuda,torch.bfloat16,0.004569617000015569,126976,31711232,0
Gemma-3-12B-IT,k_proj,2048,3840,raw_svd,cuda,torch.bfloat16,0.3632479309999326,248392275285,209723904,0
Gemma-3-12B-IT,k_proj,2048,3840,uiortholora,cuda,torch.bfloat16,0.3693186259997674,248392275285,209723904,0
Gemma-3-12B-IT,k_proj,2048,3840,lora,cuda,torch.bfloat16,0.002697177000300144,94208,16965632,0
Gemma-3-12B-IT,v_proj,2048,3840,raw_svd,cuda,torch.bfloat16,0.36357352300001367,248392275285,209723904,0
Gemma-3-12B-IT,v_proj,2048,3840,uiortholora,cuda,torch.bfloat16,0.3660225539997555,248392275285,209723904,0
Gemma-3-12B-IT,v_proj,2048,3840,lora,cuda,torch.bfloat16,0.0025879360000544693,94208,16965632,0
Gemma-3-12B-IT,o_proj,3840,4096,raw_svd,cuda,torch.bfloat16,1.656213575000038,996566630400,466089984,0
Gemma-3-12B-IT,o_proj,3840,4096,uiortholora,cuda,torch.bfloat16,1.6894812979999188,996566630400,466089984,0
Gemma-3-12B-IT,o_proj,3840,4096,lora,cuda,torch.bfloat16,0.002834167999935744,126976,31711232,0
Gemma-3-12B-IT,gate_proj,15360,3840,raw_svd,cuda,torch.bfloat16,1.7712173809995875,3321888768000,1185693184,226300
Gemma-3-12B-IT,gate_proj,15360,3840,uiortholora,cuda,torch.bfloat16,1.7683404510007676,3321888768000,1185693184,226300
Gemma-3-12B-IT,gate_proj,15360,3840,lora,cuda,torch.bfloat16,0.00432096399981674,307200,118579200,226300
Gemma-3-12B-IT,up_proj,15360,3840,raw_svd,cuda,torch.bfloat16,1.79401715899985,3321888768000,1185693184,226300
Gemma-3-12B-IT,up_proj,15360,3840,uiortholora,cuda,torch.bfloat16,1.7728788260001238,3321888768000,1185693184,226300
Gemma-3-12B-IT,up_proj,15360,3840,lora,cuda,torch.bfloat16,0.004366909000054875,307200,118579200,226300
Gemma-3-12B-IT,down_proj,3840,15360,raw_svd,cuda,torch.bfloat16,1.775587574000383,3321888768000,1420863488,226300
Gemma-3-12B-IT,down_proj,3840,15360,uiortholora,cuda,torch.bfloat16,1.775339902000269,3321888768000,1420863488,226300
Gemma-3-12B-IT,down_proj,3840,15360,lora,cuda,torch.bfloat16,0.007856680999793753,307200,118579200,226336
